用户名,视频编号,点赞数,评论数,评论
Pony朴惠敏,6-16,31000,934,2️⃣个锦鲤🉐️护发宝贝！
Pony朴惠敏,6-16,31000,934,谁推荐都不好使 看到Pony推荐立马加入了购物车[耶]
Pony朴惠敏,6-16,31000,934,为啥中国人在韩国发展都说韩文，韩国人来中国就可以只说韩文呢。想在中国捞金，请先从讲中文开始吧
Pony朴惠敏,6-16,31000,934,不是说她对中国有些意见吗。。。（别喷我）
Pony朴惠敏,6-16,31000,934,我买来十多就行 就是里面只有一半的量 我用着就和普通的复发素一样 没区别
Pony朴惠敏,6-16,31000,934,我本来头发就顺，用了更顺，我想要蓬松[泣不成声]
Pony朴惠敏,6-16,31000,934,所以我发现韩语比起中文一句话说的要多
Pony朴惠敏,6-16,31000,934,@我想睡觉 这人韩语说那么好
Pony朴惠敏,6-16,31000,934,我刚刚好有 还没用[捂脸]
Pony朴惠敏,6-16,31000,934,是不是忘放三十块钱优惠券了[看]
Pony朴惠敏,6-16,31000,934,@Lust_4 @啊哦啊哦啊哦啊哦 @阿珂 就这个就这个，上次跟你们提的特别好用，用完特别柔顺[赞]
Pony朴惠敏,6-16,31000,934,～~~
Pony朴惠敏,6-16,31000,934,不是我喷啊 我就是想说实话 用了和没用的感觉 三十块钱的护发素真不去蜂花好用呢
Pony朴惠敏,6-16,31000,934,真的超级好用，我是大二上学期用的，原本特别干燥的头发，用了之后很顺滑，而且不用天天用，我差不多两三天用一次，真的很好，一生推，我身边的好多朋友都在用，很平价，性价比超级高呀！
Pony朴惠敏,6-16,31000,934,无无无
Pony朴惠敏,6-16,31000,934,@胡萝卜糊了. 给我评论下
Pony朴惠敏,6-16,31000,934,@D. 窝用的的就是这个！！好好闻
Pony朴惠敏,6-16,31000,934,@LA. 嘻嘻嘻
Pony朴惠敏,6-16,31000,934,锦鲤护体
Pony朴惠敏,6-16,31000,934,🤲
Pony朴惠敏,6-17,11000,426,2️⃣个宝贝儿送🎁
Pony朴惠敏,6-17,11000,426,今天是推广专场呀[疑问]
Pony朴惠敏,6-17,11000,426,一直没有有效的去黑头方法[泪奔]看到价格我就死心了[泪奔][泪奔]
