用户名,视频编号,点赞数,评论数,评论
大C,6-12,27000,830,用了长毛吗？[捂脸]
大C,6-12,27000,830,怎么买呀！我早都想下手科颜氏但是一直没敢！这个白天能用吗！有的美白产品白天不能用
大C,6-12,27000,830,痘痘肌可以用吗
大C,6-12,27000,830,这个的确很好用，不油腻
大C,6-12,27000,830,油痘肌可以用吗 夏天会不会油腻
大C,6-12,27000,830,科颜氏对学生党来说有点贵了[捂脸]
大C,6-12,27000,830,我用了两瓶，一点效果没有，但是我朋友说效果很好。看来还是因人而异
大C,6-12,27000,830,脸上出油毛孔粗大怎么弄
大C,6-12,27000,830,这一期用的哪款唇膏呀[爱心]
大C,6-12,27000,830,感谢分享[比心][比心][比心][比心]
大C,6-12,27000,830,什么肤质都可以用吗？
大C,6-12,27000,830,[赞][赞][赞][赞][玫瑰][玫瑰][玫瑰]
大C,6-12,27000,830,祛斑哪款好呢？
大C,6-12,27000,830,[赞][赞][赞]
大C,6-12,27000,830,[鼓掌]
大C,6-12,27000,830,怎么购买
大C,6-12,27000,830,[比心][比心]
大C,6-12,27000,830,每次用多少
大C,6-12,27000,830,有效成分越靠后计量越少哎
大C,6-12,27000,830,[666][666][666]
大C,6-24,25000,434,CT家的东西真的都超级好用，尤其眼影口红太值得买了[泣不成声][泣不成声][泣不成声]
大C,6-24,25000,434,期待CT口红合集，来
大C,6-24,25000,434,在哪里买[泣不成声]
大C,6-24,25000,434,每次一打开就是你[捂脸]
大C,6-24,25000,434,CT粉饼要用刷子刷才叫自带模式滤镜[呲牙]
大C,6-24,25000,434,我的天，我最爱的CT，来……了
大C,6-24,25000,434,姐姐，从哪里买
大C,6-24,25000,434,CT是什么[捂脸]
大C,6-24,25000,434,看着姆们北京大妞就高兴[捂脸]
大C,6-24,25000,434,好想把头寄给大C，有时候化妆手太残了[捂脸]
大C,6-24,25000,434,给个链接呗[呲牙]
大C,6-24,25000,434,请问四格眼影什么色号～
大C,6-24,25000,434,修容盘真的太大了，用到站在还没铁皮
大C,6-24,25000,434,口红色号给我，就现在
大C,6-24,25000,434,喜欢你的声音 喜欢你的每个推荐 更喜欢你 太美了
大C,6-24,25000,434,ct死忠粉 遮瑕粉底都好用
大C,6-24,25000,434,中国哪里能买到CT
大C,6-24,25000,434,大C姐能给推荐一个干皮混合肌适合的奶油雾面的粉底吗@大C
大C,6-24,25000,434,要眼影的搭配、十二色的
大C,6-24,25000,434,真的是太爱大c了推荐的东西都很好，我一大油皮用ct眼影10个小时都不脱妆，腮红也特别好用
大C,7-19,11000,193,说实话 你推荐的 我一般都不会怀疑 感觉是自己想用的 果断买 [呆无辜]
大C,7-19,11000,193,Nars毛孔隐形和贝玲妃对比呢？
大C,7-19,11000,193,唔無限回購的眼部打底
大C,7-19,11000,193,眼部打底，真的很好用[赞]
大C,7-19,11000,193,眼部打底霜是粉底之后用还是散粉之后用？用完还需要定妆吗[捂脸]，没用过，想了解之后用
大C,7-19,11000,193,课代表来迟了！nars妆前产品：毛孔细纹隐形棒、眼部打底霜、妆前乳灰管[看][看][看]
大C,7-19,11000,193,皮肤干，那个毛孔隐形棒，会不会用了会干
大C,7-19,11000,193,大c大c 快推荐好用的定妆喷雾
大C,7-19,11000,193,用的什么眼影盘？
大C,7-19,11000,193,想知道你画的眼影[比心][偷笑]
大C,7-19,11000,193,毛孔隐形棒和眼部打底是不是一个东西啊？
大C,7-19,11000,193,nars 铁粉一名[碰拳]
大C,7-19,11000,193,我想知道你用的唇膏，很好看的颜色
大C,7-19,11000,193,一直在等美瞳
大C,7-19,11000,193,有没有收缩毛孔好用的推荐[捂脸]@大C
大C,7-19,11000,193,明人不说暗话，我想要你的美瞳
大C,7-19,11000,193,nars蜜粉饼、腮红、唇膏笔都爱
大C,7-19,11000,193,每次都是业界良心推[色][色][色]
大C,7-19,11000,193,灰管真的超级好用 大油皮[流泪]
大C,7-19,11000,193,大C真的好喜欢Nars
大C,7-9,10000,396,辣妹的精华油，当发油也超好用的！！！
大C,7-9,10000,396,好想喊一声大姐头[泣不成声][泣不成声]
大C,7-9,10000,396,姐姐能不能推荐小众好用的，学生党能接受的[泣不成声]
大C,7-9,10000,396,推荐一下学生党买得起的[比心][比心][比心]
大C,7-9,10000,396,大C 希思黎好用不？
大C,7-9,10000,396,那个面霜是啥牌子的，没听懂[泪奔]
大C,7-9,10000,396,Age搓泥
大C,7-9,10000,396,大C我老粉了，想请教毛孔粗大爱出油，上粉底起粉刺的解决办法[泣不成声][泣不成声][泣不成声]求
大C,7-9,10000,396,这款敏感肌可以用吗 因为现在的雀斑好不容易好了 可不敢再乱用了 博主求回复
大C,7-9,10000,396,在哪买
大C,7-9,10000,396,[赞][赞][赞]
大C,7-9,10000,396,[玫瑰][玫瑰]
大C,7-9,10000,396,你的口红色号
大C,7-9,10000,396,推荐的好物太多啦
大C,7-9,10000,396,长得真好看
大C,7-9,10000,396,唇膏太好了，用了两天唇纹就淡了。🙏谢谢
大C,7-9,10000,396,[捂脸][捂脸][捂脸]
大C,7-9,10000,396,伊菲丹的面膜也超好用，缺点：贵！[泣不成声][泣不成声][泣不成声]
大C,7-9,10000,396,脸颊有红血丝适合用啥精华
大C,7-9,10000,396,睫毛膏，睫毛膏，睫毛膏，从开始是喜欢大C 的声音，后来爱上大C 推荐的好物
