用户名,视频编号,点赞数,评论数,评论
小颠儿Kini,6-24,23000,357,老师敏感肌肤能用吗？
小颠儿Kini,6-24,23000,357,斑不是一两天去掉的，我用所有方法都没用，最后还经过内调再好的[呲牙][呲牙][呲牙]
小颠儿Kini,6-24,23000,357,靠谱[玫瑰]
小颠儿Kini,6-24,23000,357,感谢分享[比心][比心]
小颠儿Kini,6-24,23000,357,谢谢分享[比心]
小颠儿Kini,6-24,23000,357,[赞][赞][赞][赞][赞][赞]
小颠儿Kini,6-24,23000,357,求方法
小颠儿Kini,6-24,23000,357,[666][666][666]
小颠儿Kini,6-24,23000,357,听完就想买
小颠儿Kini,6-24,23000,357,适合自己最重要
小颠儿Kini,6-24,23000,357,男人现在都在抢我们活
小颠儿Kini,6-24,23000,357,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
小颠儿Kini,6-24,23000,357,哈哈哈
小颠儿Kini,6-24,23000,357,好用吗
小颠儿Kini,6-24,23000,357,谢谢分享[比心]
小颠儿Kini,6-24,23000,357,[发呆][发呆][发呆]
小颠儿Kini,6-24,23000,357,才子都在抖音里
小颠儿Kini,6-24,23000,357,孕妇可以用吗[捂脸]
小颠儿Kini,6-24,23000,357,谢谢分享[鼓掌][鼓掌][鼓掌]
小颠儿Kini,6-24,23000,357,[赞]
小颠儿Kini,6-25,34000,143,我是那种一到夏天，就暴汗的那种，头发都湿透的那种[流泪][流泪][流泪]我真的为了夏天的妆操碎了心，各种定妆还是花啊[流泪][流泪][流泪]
小颠儿Kini,6-25,34000,143,我缺的是一块好的脸[捂脸][捂脸][捂脸]
小颠儿Kini,6-25,34000,143,多少米一支?[捂脸]让我si心[捂脸]
小颠儿Kini,6-25,34000,143,分享你吧，男神[呲牙]
小颠儿Kini,6-25,34000,143,雅诗兰黛的粉底液 是真的遮盖力挺好的 [666][666][666]
小颠儿Kini,6-25,34000,143,什么色号？？
小颠儿Kini,6-25,34000,143,怎么卖的
小颠儿Kini,6-25,34000,143,我好喜欢你吖
小颠儿Kini,6-25,34000,143,贵呀
小颠儿Kini,6-25,34000,143,感觉还行
小颠儿Kini,6-25,34000,143,[发呆][发呆]
小颠儿Kini,6-25,34000,143,去哪买？
小颠儿Kini,6-25,34000,143,在哪买呀
小颠儿Kini,6-25,34000,143,[捂脸][捂脸]
小颠儿Kini,6-25,34000,143,你这口音太东北了 哈哈
小颠儿Kini,6-25,34000,143,我还干皮会干啊
小颠儿Kini,6-25,34000,143,黑眼圈还好吧，我的就没有了啊
小颠儿Kini,6-25,34000,143,是的[赞]
小颠儿Kini,6-25,34000,143,@贺贺呀 超喜欢的博主
小颠儿Kini,6-25,34000,143,郑爽啊
小颠儿Kini,6-30,25000,275,颠儿哥olay老粉了
小颠儿Kini,6-30,25000,275,简直说到我心里了[捂脸]
小颠儿Kini,6-30,25000,275,颠儿哥，混油皮可用不[泣不成声][泣不成声][泣不成声]
小颠儿Kini,6-30,25000,275,对的基底健康才是好皮肤
小颠儿Kini,6-30,25000,275,[赞][赞][赞]
小颠儿Kini,6-30,25000,275,不能再同意[赞]
小颠儿Kini,6-30,25000,275,是补水的吗？还是可以美白的
小颠儿Kini,6-30,25000,275,白天能用吗
小颠儿Kini,6-30,25000,275,咋买呢？我是混干皮，能用吗
小颠儿Kini,6-30,25000,275,感谢分享
小颠儿Kini,6-30,25000,275,对，只选对的，不选贵的
小颠儿Kini,6-30,25000,275,分享给你们加油[赞]
小颠儿Kini,6-30,25000,275,[比心][比心]
小颠儿Kini,6-30,25000,275,[捂脸]孩子，我是孩子妈，是八班长了，还有救吗？
小颠儿Kini,6-30,25000,275,对啊再也不能不护肤了这么好的产品不要浪费了
小颠儿Kini,6-30,25000,275,看上去很好[666][666]
小颠儿Kini,6-30,25000,275,怎么买
小颠儿Kini,6-30,25000,275,敏感肌应该能用叭？
小颠儿Kini,6-30,25000,275,我也只用对的
小颠儿Kini,6-30,25000,275,[发呆][发呆][发呆]
小颠儿Kini,7-15,6439,192,六神留香很短，半小时不到就买了[泣不成声][泣不成声][泣不成声]
小颠儿Kini,7-15,6439,192,颠哥喷六神的时候有点妖娆[看]
小颠儿Kini,7-15,6439,192,完了 六神是不是得涨价了[看][捂脸][捂脸]
小颠儿Kini,7-15,6439,192,哈哈哈哈
小颠儿Kini,7-15,6439,192,乐死了[捂脸]
小颠儿Kini,7-15,6439,192,哈哈哈彩妆母1
小颠儿Kini,7-15,6439,192,颠哥，颠嫂呢[呲牙]
小颠儿Kini,7-15,6439,192,今天这堂课喜欢🥰🥰
小颠儿Kini,7-15,6439,192,妖娆的帅哥[比心][比心][比心][比心]
小颠儿Kini,7-15,6439,192,买个六神试试
小颠儿Kini,7-15,6439,192,[赞][赞][赞]
小颠儿Kini,7-15,6439,192,可以^ω^[赞]
小颠儿Kini,7-15,6439,192,[捂脸]
小颠儿Kini,7-15,6439,192,妖娆的让我心动了
小颠儿Kini,7-15,6439,192,[赞][赞]
小颠儿Kini,7-15,6439,192,呢[玫瑰]
小颠儿Kini,7-15,6439,192,你推荐的东西真的很好的
小颠儿Kini,7-15,6439,192,颠儿哥！！你推荐的东西真的超好用！！！
小颠儿Kini,7-15,6439,192,口罩
小颠儿Kini,7-15,6439,192,[赞][赞][赞]
小颠儿Kini,7-16,6095,501,揪三个宝宝song🎁
小颠儿Kini,7-16,6095,501,双颊敏感泛红，额头和下巴长痘闭口，这咋整啊[捂脸]
小颠儿Kini,7-16,6095,501,善草纪茶树系列个这个德妃哪个好？[发呆]
小颠儿Kini,7-16,6095,501,芙丽芳丝用过，现在还在用，确实很温和清爽，水用来湿敷也棒棒的。德妃还没用过，之前一直用的黛珂紫苏系列，德妃的功效应该是差不多的，都是清爽祛痘的，混油皮真的很喜欢这两款，下款入德妃试试 颠儿最靠谱
小颠儿Kini,7-16,6095,501,德妃的再生修复那个系列也特好用
小颠儿Kini,7-16,6095,501,我能拥有姓名吗
小颠儿Kini,7-16,6095,501,太有才了，亲爱的，我来了
小颠儿Kini,7-16,6095,501,真的吗 [摸头][摸头]
小颠儿Kini,7-16,6095,501,良心美妆博主，虽然我不化妆又很懒。。。。推荐的东西都是从大批大批的东西测出来精品。。无论你是什么皮，总有一款适合你
小颠儿Kini,7-16,6095,501,啾啾啾
小颠儿Kini,7-16,6095,501,[泣不成声][泣不成声][泣不成声]颠哥家的东西买过无数次了，没有下个踩雷。尤其是上次入手的那只凑单买的眉笔，九块钱，超级好用啊啊啊啊啊啊啊啊啊
小颠儿Kini,7-16,6095,501,揪我揪我，颠哥
小颠儿Kini,7-16,6095,501,正想买一个，你就给我挑好了。[赞][赞]
小颠儿Kini,7-16,6095,501,[笑哭]颠哥儿！翻我翻我
