用户名,视频编号,点赞数,评论数,评论
李濠pe7er,6-16,1329,28,二百多……花西子真是越来越贵了……贫民女孩我是买不起了[微笑]
李濠pe7er,6-16,1329,28,我以为你不火了，原来是我来早了[泣不成声]
李濠pe7er,6-16,1329,28,脸颊都是豆，难道都是产品的事[疑问]
李濠pe7er,6-16,1329,28,屁塔 求粉底液推荐[捂脸]
李濠pe7er,6-16,1329,28,博主，求同款睫毛夹，18号那期
李濠pe7er,6-16,1329,28,化妆累吧
李濠pe7er,6-16,1329,28,我可能不是女人[捂脸]觉得好麻烦
李濠pe7er,6-16,1329,28,好贵
李濠pe7er,6-16,1329,28,看半天我只在意开头的摩托车
李濠pe7er,6-16,1329,28,这普通话有点魔力[发呆]
李濠pe7er,6-16,1329,28,小贵[泪奔]有没有活动呀[呲牙]
李濠pe7er,6-16,1329,28,看见你没有过万的视频
李濠pe7er,6-16,1329,28,翻我嘛
李濠pe7er,6-16,1329,28,泡泡
李濠pe7er,6-16,1329,28,第二
李濠pe7er,6-16,1329,28,第一
李濠pe7er,6-20,4053,30,有没有适合手残党的打底的产品
李濠pe7er,6-20,4053,30,[爱心][爱心][爱心][666][玫瑰][赞][赞][赞][赞]
李濠pe7er,6-20,4053,30,11师兄
李濠pe7er,6-20,4053,30,虽然开了美颜，但我还是看出了你的敏感肌[呲牙]
李濠pe7er,6-20,4053,30,视黄醇是八是要避光用鸭
李濠pe7er,6-20,4053,30,用视黄醇要用防晒使用
李濠pe7er,6-20,4053,30,贵哦买不起呐
李濠pe7er,6-20,4053,30,哇，那个源啥的拿来湿敷好奢侈[泣不成声]
李濠pe7er,6-20,4053,30,帮我化吧
李濠pe7er,6-20,4053,30,支持
李濠pe7er,6-20,4053,30,[赞][赞][赞][赞][赞][赞][爱心]
李濠pe7er,6-20,4053,30,@美美哒[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
李濠pe7er,6-20,4053,30,没有链接[捂脸]
李濠pe7er,6-20,4053,30,[鼓掌][鼓掌][鼓掌]
李濠pe7er,6-20,4053,30,注意安全[玫瑰]
李濠pe7er,6-20,4053,30,@[666][666][666][666][666][666][666]
李濠pe7er,6-20,4053,30,@[耶][耶][给力][给力][给力][给力][给力][给力]
李濠pe7er,6-20,4053,30,太吓人了
李濠pe7er,6-20,4053,30,
李濠pe7er,6-20,4053,30,[OK][OK][鼓掌][鼓掌][比心][比心][比心][悠闲][悠闲][悠闲][玫瑰][玫瑰]
李濠pe7er,6-23,11000,246,我的比她的还多[打脸]
李濠pe7er,6-23,11000,246,我用了脱毛仪长出来还是扎人[微笑]
李濠pe7er,6-23,11000,246,激光吧！搞那么麻烦[捂脸]
李濠pe7er,6-23,11000,246,胡子管用吗
李濠pe7er,6-23,11000,246,嗯全身都可以脱这个可以有，洁癖的我不喜欢去美容院就是大家都是用那台！
李濠pe7er,6-23,11000,246,每次刮刀刮完之后，扎手得都不敢跟朋友手挽手了，还是换脱毛仪吧
李濠pe7er,6-23,11000,246,同款耶，冲着这个院级效果下单的，试用两个后表示这个对得起这个价钱
李濠pe7er,6-23,11000,246,我买了他们家白色那款，功能差不多，价格又比这个便宜，但是效果是我觉得OK的，买回来用了四五次，手毛几乎都不长了
李濠pe7er,6-23,11000,246,我也是这款呀，去美容院都是按部位收费还不是一次性能搞定，这个全身都可以耶，怎么算还是脱毛仪划算吧。
李濠pe7er,6-23,11000,246,同怕痛星人，看到这个冰晶石我心动了，我买的那个价格也差不多，但是痛的我用了一次就搁置了害
李濠pe7er,6-23,11000,246,看到那么多人安利已经忍不住下单了，迫不及待想试验一下。
李濠pe7er,6-23,11000,246,强推小猫安妮，这个脱毛效果对得起这个价格，我们是整个宿舍一起来用弄的好像美容院一样
李濠pe7er,6-23,11000,246,但是用这个也还是需要先把表皮毛脱掉啊 还是要用刀和膏[捂脸]
李濠pe7er,6-23,11000,246,给手毛涂一点护发素￼
李濠pe7er,6-23,11000,246,卧槽[捂脸]
李濠pe7er,6-23,11000,246,刚想下单，然后发现她们家有白色的，那个便宜而且效果也差不多！现在还送Usmile的电动牙刷！冲鸭姐妹们
李濠pe7er,6-23,11000,246,有一说一，脱毛仪我宁愿买这种贵点的有效果的，便宜弄伤了皮肤才真的哭都没眼泪，别问问就是踩过坑
李濠pe7er,6-23,11000,246,所以这叫啥啊
李濠pe7er,6-23,11000,246,前三条商家自己的店员吧，说的比唱的好听[看][鼓掌]
李濠pe7er,6-23,11000,246,2499？血赚？
李濠pe7er,6-28,4794,39,我居然没有红色 买
李濠pe7er,6-28,4794,39,彩色睫毛膏有推荐么，新买的canmake双头，不卷翘定型不好
李濠pe7er,6-28,4794,39,第一吗 翻我就买[爱心][爱心]
李濠pe7er,6-28,4794,39,可是为什么画内眼线不上色呢[流泪]画在睫毛根部空隙里 画半天都填不满
李濠pe7er,6-28,4794,39,女生用了不会看起来很奇怪吗[抠鼻]
李濠pe7er,6-28,4794,39,我用会掉
李濠pe7er,6-28,4794,39,@兰小茶 想到我的眼线我笑死了
李濠pe7er,6-28,4794,39,屁塔加油[害羞][爱心][爱心][爱心][爱心][爱心]
李濠pe7er,6-28,4794,39,紫色超适合你[赞]
李濠pe7er,6-28,4794,39,可以出一个遮斑的嘛
李濠pe7er,6-28,4794,39,我用就晕
李濠pe7er,6-28,4794,39,买买买
李濠pe7er,6-28,4794,39,@🦋 人间桃花眼
李濠pe7er,6-28,4794,39,夏天必入的彩色哦 我入手了！[灵机一动]
李濠pe7er,6-28,4794,39,啊都好喜欢 全买！！@凌柒原地裂开
李濠pe7er,6-28,4794,39,@:-D [大笑]
李濠pe7er,6-28,4794,39,33
李濠pe7er,6-28,4794,39,前排[偷笑]
李濠pe7er,6-28,4794,39,@R.
李濠pe7er,6-28,4794,39,@初洛且美女69
李濠pe7er,7-10,5622,33,最后那个跑出去很灵魂
李濠pe7er,7-10,5622,33,这个眉笔看起来挺好用的诶
李濠pe7er,7-10,5622,33,真的是好多了
李濠pe7er,7-10,5622,33,公司还缺人吗？在不在广州[微笑]
李濠pe7er,7-10,5622,33,眉毛会往下掉怎么弄，下意识皱眉会变成八字眉[泣不成声]
李濠pe7er,7-10,5622,33,眉毛是最重要的[灵机一动]
李濠pe7er,7-10,5622,33,为什么我的脸现在摸起来有点像磨砂一样 一点都不滑溜[流泪][流泪][流泪]
李濠pe7er,7-10,5622,33,[玫瑰]
李濠pe7er,7-10,5622,33,看到你搂她，我居然有吃醋的感觉[震惊]
