用户名,视频编号,点赞数,评论数,评论
认真少女_颜九,6-15,132000,5648,期待舅舅们给我试用反馈哦～
认真少女_颜九,6-15,132000,5648,msq产品超好。支持支持，msq越来越好。大卖特卖[鼓掌][鼓掌]
认真少女_颜九,6-15,132000,5648,面部眼部的刷子和我现在有的刷形一模一样，快夸我会买刷子哈哈哈哈[看]
认真少女_颜九,6-15,132000,5648,终于等来了
认真少女_颜九,6-15,132000,5648,付定金啦，选的是刷包
认真少女_颜九,6-15,132000,5648,当你说那句在双眼皮的褶子上铺色的时候我就知道我不配了
认真少女_颜九,6-15,132000,5648,化妆刷颜值真的高
认真少女_颜九,6-15,132000,5648,@认真少女_颜九 刷包和刷桶哪个比较好用呢？
认真少女_颜九,6-15,132000,5648,让九九翻一次真难，从18年关注到现在，没被翻过一次[泣不成声]
认真少女_颜九,6-15,132000,5648,原来九儿跟我一样都喜欢绿色[呲牙][呲牙][呲牙]
认真少女_颜九,6-15,132000,5648,刷包还是刷桶呢，好纠结[泣不成声]
认真少女_颜九,6-15,132000,5648,居然没有唇刷[泪奔]但我还是买了
认真少女_颜九,6-15,132000,5648,但是我感觉还是好贵怎么办
认真少女_颜九,6-15,132000,5648,包装真的好好看
认真少女_颜九,6-15,132000,5648,这次是什么发色！
认真少女_颜九,6-15,132000,5648,我给我妹妹买了一套
认真少女_颜九,6-15,132000,5648,不会画眼妆的看着这个刷子好看怎么办[泪奔]
认真少女_颜九,6-15,132000,5648,我觉得紫葡萄也不错[坏笑]
认真少女_颜九,6-15,132000,5648,买了！
认真少女_颜九,6-15,132000,5648,哈哈哈就是因为你才买哒[飞吻]
认真少女_颜九,6-26,200000,1624,你们说我买个包不过分吧[思考]
认真少女_颜九,6-26,200000,1624,舅舅们最近还有什么好用的小众唇釉给我种个草啊[灵机一动]
认真少女_颜九,6-26,200000,1624,smart cookies 胶片组 我已经加入购物车了[泣不成声][泣不成声][泣不成声]
认真少女_颜九,6-26,200000,1624,太美啦太美啦 妈耶头发妆容都太好看了！！
认真少女_颜九,6-26,200000,1624,混脸熟来了[大金牙]
认真少女_颜九,6-26,200000,1624,做你的头发也挺可怜的[捂脸]
认真少女_颜九,6-26,200000,1624,又双叒换头发了
认真少女_颜九,6-26,200000,1624,啊，我最近也是买了小包，监控嘛，什么时候[看]
认真少女_颜九,6-26,200000,1624,你是真的想不到我有多爱黑发的你[泪奔]
认真少女_颜九,6-26,200000,1624,头发越来越短[捂脸]
认真少女_颜九,6-26,200000,1624,这个发型真的好好看啊爱了[色]
认真少女_颜九,6-26,200000,1624,这个包有点可爱哦
认真少女_颜九,6-26,200000,1624,这个头发的颜色好好看[拥抱]
认真少女_颜九,6-26,200000,1624,我的眼睛离不开九的红头
认真少女_颜九,6-26,200000,1624,头发好好看呀，下面的发色是神仙发色了[赞]
认真少女_颜九,6-26,200000,1624,头发好好看啊[鼓掌]
认真少女_颜九,6-26,200000,1624,翻翻我，之前刷子没买到还能买吗
认真少女_颜九,6-26,200000,1624,九九，这三支黑黄皮🉑吗
认真少女_颜九,6-26,200000,1624,这发型发色好好看[泣不成声][泣不成声]别改了[捂脸]
认真少女_颜九,6-26,200000,1624,今天的视频……依然没有“嗨，我是颜九~”[白眼]
认真少女_颜九,7-12,55000,572,富婆就是这样炼成的.
认真少女_颜九,7-12,55000,572,卸妆到位了 皮肤才会好呀～
认真少女_颜九,7-12,55000,572,所以应该带你的小助理去爬山才可以[看]
认真少女_颜九,7-12,55000,572,要乳化吗[拥抱]
认真少女_颜九,7-12,55000,572,所以钱都是省出来的[灵机一动]
认真少女_颜九,7-12,55000,572,九儿你的眉毛是纹的还是画的啊？感觉很好看很适合你唉[白眼]
认真少女_颜九,7-12,55000,572,九九的睫毛怎么做到这么卷翘？
认真少女_颜九,7-12,55000,572,我先存存钱
认真少女_颜九,7-12,55000,572,唇釉是不是sephora的套装，我生日朋友送了，特难卸[泣不成声]
认真少女_颜九,7-12,55000,572,买买买，卸妆油还是最好用的
认真少女_颜九,7-12,55000,572,这个口红颜色挺好看，涂这么多有点心疼[泣不成声]
认真少女_颜九,7-12,55000,572,嘤嘤嘤，阿九要是早发，我就买了，买了一个一般般不太喜欢的卸妆水
认真少女_颜九,7-12,55000,572,阿九 推荐一下身体乳吧[玫瑰][玫瑰]
认真少女_颜九,7-12,55000,572,九，求嘴上口红色号
认真少女_颜九,7-12,55000,572,敏感肌可以用不？感觉卸的蛮干净的，比植村秀划算
认真少女_颜九,7-12,55000,572,九儿 干皮用卸妆油和卸妆水那个好 干皮
认真少女_颜九,7-12,55000,572,这款干皮用怎么样
认真少女_颜九,7-12,55000,572,这个超难卸的口红是什么[捂脸]
认真少女_颜九,7-12,55000,572,那你就承认你是富婆了？[泣不成声]
认真少女_颜九,7-12,55000,572,我要打开我的橘色小软件了[灵机一动]
认真少女_颜九,7-3,53000,493,我也要去试试
认真少女_颜九,7-3,53000,493,哇，点赞四百？新鲜热乎的
认真少女_颜九,7-3,53000,493,我真的要好好反省一下自己了，关注阿九已经这么久了，不仅没学到什么变美技巧，反而让自己越来越黑！就是懒 没别的理由——就是懒
认真少女_颜九,7-3,53000,493,我真好奇诶，想要白起码得几个月吧，刚上的新品，才上一天就能让你变白？就算是博主可以提前拿到，也不会提前好几个月吧
认真少女_颜九,7-3,53000,493,新品刚出来没多久你就白了？
认真少女_颜九,7-3,53000,493,为什么dior forever最白色号一天下来比我本身肤色还要黑...
认真少女_颜九,7-3,53000,493,[赞][赞]
认真少女_颜九,7-3,53000,493,补水修护👍
认真少女_颜九,7-3,53000,493,好用么
认真少女_颜九,7-3,53000,493,脸上的红血丝去掉之后用过这个，挺不错的
认真少女_颜九,7-3,53000,493,我想问问我的兜，你原意让她成为我的朋友吗
认真少女_颜九,7-3,53000,493,刚刚用了、感觉皮肤超级润
认真少女_颜九,7-3,53000,493,@ᴘɪʜʀɪʟ💙 变白哥
认真少女_颜九,7-3,53000,493,好用吗
认真少女_颜九,7-3,53000,493,[赞][赞][赞]
认真少女_颜九,7-3,53000,493,斑点可以去除吗
认真少女_颜九,7-3,53000,493,皮肤都这么好的么
认真少女_颜九,7-3,53000,493,@
认真少女_颜九,7-3,53000,493,油皮敏感肌可以用吗
认真少女_颜九,7-3,53000,493,我是有多长时间没看颜九了？？？瘦回来了？？[捂脸]
