用户名,视频编号,点赞数,评论数,评论
谢欣桐,6-12,13000,649,第二个跟第四个区别求！！
谢欣桐,6-12,13000,649,完美日记！！！！！！想看姐姐试小酒馆[泣不成声]
谢欣桐,6-12,13000,649,@晴 第一个87号色！！ 我好喜欢！！！！
谢欣桐,6-12,13000,649,能试下26绵绵麻薯和17肉桂豆沙嘛 主要想看下87和17的差别
谢欣桐,6-12,13000,649,姐姐可不可以出一个黄皮适合涂的颜色呀[送心]
谢欣桐,6-12,13000,649,没有25号色吧，找不见
谢欣桐,6-12,13000,649,我居然一个小时才刷到[泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声]
谢欣桐,6-12,13000,649,@拒绝易烊千玺99次 就你一个人刷抖音吗？
谢欣桐,6-12,13000,649,虽然我是男的，但是你的视频就算是美妆我也要点赞！！[惊喜][惊喜]
谢欣桐,6-12,13000,649,@哩哩不想理你 她头像发色好看
谢欣桐,6-12,13000,649,不适合我这种温柔
谢欣桐,6-12,13000,649,@晚. @⑥☔️好美皮肤好好
谢欣桐,6-12,13000,649,@露哥🔗 唇釉绝了好温柔
谢欣桐,6-12,13000,649,@Y*** 好看哈哈哈哈
谢欣桐,6-12,13000,649,@可乐要加冰. 喜欢哪个
谢欣桐,6-12,13000,649,@qzuser 好看
谢欣桐,6-12,13000,649,[发呆][发呆]
谢欣桐,6-12,13000,649,眼皮是做的吗，挺漂亮的
谢欣桐,6-12,13000,649,[强壮]
谢欣桐,6-12,13000,649,这个奶油栗子会拔干嘛啊啊啊
谢欣桐,6-22,3022,161,[泣不成声]看我
谢欣桐,6-22,3022,161,求同款发色 好奇是什么颜色[泣不成声][泣不成声][泣不成声]
谢欣桐,6-22,3022,161,阿巴阿巴姐姐翻我[泣不成声][泣不成声]
谢欣桐,6-22,3022,161,姐姐好仙٩(๑òωó๑)۶[玫瑰]
谢欣桐,6-22,3022,161,@付北辰
谢欣桐,6-22,3022,161,这个衣服 链接[流泪]
谢欣桐,6-22,3022,161,他家图片拍的好丑啊，小仙女涂什么都很好看啊
谢欣桐,6-22,3022,161,@花心的女人 好好看
谢欣桐,6-22,3022,161,我買的不知道為什麼一坨坨 也幹
谢欣桐,6-22,3022,161,@食堂不会泼辣酱 我现在好喜欢她！！get到她的颜了！！
谢欣桐,6-22,3022,161,衣服衣服，想要衣服[色][色][色]
谢欣桐,6-22,3022,161,@qzuser 都还挺好看
谢欣桐,6-22,3022,161,@小鸭. @～ @S v09真的绝了有了[泣不成声]
谢欣桐,6-22,3022,161,@要记得KX啊 觉得她好好看[泣不成声]
谢欣桐,6-22,3022,161,想看唇部护理
谢欣桐,6-22,3022,161,@山复尔尔 @二三♡ 我想买09
谢欣桐,6-22,3022,161,@ʚ妮崽ɞ @7 09
谢欣桐,6-22,3022,161,@小松可可奈. 买[泪奔]
谢欣桐,6-22,3022,161,姐姐好像知否里的如兰！但是好温柔！
谢欣桐,6-22,3022,161,好软萌
谢欣桐,6-28,7266,218,漫野仙语有两家店，所以是哪家啊，一家是旗舰店，一家是原创店[泪奔]
谢欣桐,6-28,7266,218,桐桐桐桐高光高光平价高光啊啊啊啊啊啊啊啊啊[泣不成声]
谢欣桐,6-28,7266,218,噢买尬这颜值真实存在吗
谢欣桐,6-28,7266,218,眼镜有链接嘛，小姐姐
谢欣桐,6-28,7266,218,口红色号[偷笑]
谢欣桐,6-28,7266,218,我的修复面膜，太爱了
谢欣桐,6-28,7266,218,@人人 我就说 那个面膜好好用
谢欣桐,6-28,7266,218,有啥好面膜推荐一下！
谢欣桐,6-28,7266,218,我买的国货白泥敷完后黑头自动浮出来的 现在黑头越来越少了
谢欣桐,6-28,7266,218,能分享一下眼镜吗[泪奔][泪奔][泪奔][泪奔]（求）
谢欣桐,6-28,7266,218,春雨那面膜我洗完之后脸都紫了[微笑][微笑][微笑][捂脸][捂脸][捂脸]
谢欣桐,6-28,7266,218,即热咯哦
谢欣桐,6-28,7266,218,请你敷面膜[大笑][大笑][大笑]
谢欣桐,6-28,7266,218,在哪里买？
谢欣桐,6-28,7266,218,@@-谢欣桐- 眼睛有🔗吗
谢欣桐,6-28,7266,218,@叽叽 我喜欢她的发色
谢欣桐,6-28,7266,218,夏天晚上卸完妆敷哪款好
谢欣桐,6-28,7266,218,哇，好多面膜吧[捂脸]
谢欣桐,6-28,7266,218,啊我淦这也太好看了！！[皱眉][皱眉]
谢欣桐,6-28,7266,218,求眼镜
谢欣桐,7-11,2274,137,我也是！！明明毛不算特别长也没有很多，但是一涂防晒发现涂不均匀就心塞！这款好用吗，mini版美容院好像挺靠谱的
谢欣桐,7-11,2274,137,你和steph都是同时发阿
谢欣桐,7-11,2274,137,你好美抢了脱毛仪的镜头
谢欣桐,7-11,2274,137,@. @猪头 @123猪猪侠 两千多了解一下
谢欣桐,7-11,2274,137,@兤曆鮃 想买！
谢欣桐,7-11,2274,137,@夏百万 奥利奥
谢欣桐,7-11,2274,137,好贵啊[看]
谢欣桐,7-11,2274,137,衣服衣服 有链接吗？
谢欣桐,7-11,2274,137,后面镜子是裂了吗
谢欣桐,7-11,2274,137,头发怎么搞的呀姐姐
谢欣桐,7-11,2274,137,什么牌子
谢欣桐,7-11,2274,137,妈呀！头发和耳链太好看啦！！！！
谢欣桐,7-11,2274,137,小姐姐住这里晚上睡觉不吵吗
谢欣桐,7-11,2274,137,拜托 一档我都觉得烫了
谢欣桐,7-11,2274,137,@Stella 我们有钱安排吧
谢欣桐,7-11,2274,137,@绾绾. 有点像孔雪儿
谢欣桐,7-11,2274,137,
谢欣桐,7-11,2274,137,@今天你爱崔芷萸了吗 这是个啥牌子
谢欣桐,7-11,2274,137,有链接么
谢欣桐,7-11,2274,137,@XhTx1128 来吧
谢欣桐,7-18,107000,3818,才知道搬上海了[泣不成声]
谢欣桐,7-18,107000,3818,你的发型感觉好随意又感觉好好看！啊真是的[色]
谢欣桐,7-18,107000,3818,美女姐姐头发烫的什么卷卷啊(｢･ω･)｢嘿
谢欣桐,7-18,107000,3818,该怎么跟tony老师形容你的发型
谢欣桐,7-18,107000,3818,可以在姐姐的鼻梁上滑滑梯嘛[看]
谢欣桐,7-18,107000,3818,好喜欢这样的发型
谢欣桐,7-18,107000,3818,美女可以推推常用美瞳隐形眼镜嘛！！
谢欣桐,7-18,107000,3818,散粉全抖到一点点奶茶里了
谢欣桐,7-18,107000,3818,11.52
谢欣桐,7-18,107000,3818,@执事灼 你看她鼻子我哭了
谢欣桐,7-18,107000,3818,晚上11点五十二刷到你抖音
谢欣桐,7-18,107000,3818,啊好好看[泣不成声]
谢欣桐,7-18,107000,3818,定妆粉的效果是真的一绝~跪求链接~[泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声]
谢欣桐,7-18,107000,3818,化妆刷是啥的
谢欣桐,7-18,107000,3818,高光是什么啊 好看
谢欣桐,7-18,107000,3818,@清明时雨. @笙聚. @z j 这个颜值，素颜出门穿个人字拖回头率都是百分百[强壮]
谢欣桐,7-18,107000,3818,@呦呦呦旭 ✌ 这发型！
谢欣桐,7-18,107000,3818,@周嘎嘎儿 刚开始这个发型好适合你[微笑]
谢欣桐,7-18,107000,3818,@小九 @十 @我已经很乖了 太好看了
谢欣桐,7-18,107000,3818,想表白一下梨泰院里的seventeen的BGM：boomboom[泣不成声]
谢欣桐,7-2,6536,509,做发每条评论都回复[看]
谢欣桐,7-2,6536,509,hi 美女姐姐
谢欣桐,7-2,6536,509,1
谢欣桐,7-2,6536,509,太可爱了[泣不成声]
谢欣桐,7-2,6536,509,姐姐热乎么
谢欣桐,7-2,6536,509,[呲牙]
谢欣桐,7-2,6536,509,11111
谢欣桐,7-2,6536,509,第一[灵机一动]
谢欣桐,7-2,6536,509,姐姐我来了
谢欣桐,7-2,6536,509,第一！！！！
谢欣桐,7-2,6536,509,欣桐小姐姐，你是不是去当大众评委了，我在我是创作人看到你了！！！！
谢欣桐,7-2,6536,509,耳饰也太美了 有链接吗
谢欣桐,7-2,6536,509,所以姐姐一八零嘛
谢欣桐,7-2,6536,509,@流川枫不会笑 来看美女
谢欣桐,7-2,6536,509,高光是啥啊 求
谢欣桐,7-2,6536,509,那个面膜绝了，好用！！！！
谢欣桐,7-2,6536,509,衣服衣服 [灵机一动][灵机一动][灵机一动]
谢欣桐,7-2,6536,509,姐姐可以翻我一下嘛[泣不成声]喜欢你很久很久啦！！
谢欣桐,7-2,6536,509,@August的阳、 宝贝买面膜好可爱呜呜
谢欣桐,7-2,6536,509,来晚了我枯
