用户名,视频编号,点赞数,评论数,评论
豆豆_Babe,6-16,314000,15000,"我来啦 尔木萄4色眼影 昙雅眉笔 pf粉底液
ukiss睫毛打底"
豆豆_Babe,6-16,314000,15000,豆豆 好喜欢你呀
豆豆_Babe,6-16,314000,15000,学生党都快死在试卷堆里了[泪奔]
豆豆_Babe,6-16,314000,15000,豆豆~豆豆~你过来一下[不看]
豆豆_Babe,6-16,314000,15000,想要唇釉链接
豆豆_Babe,6-16,314000,15000,豆豆，遮瑕是那个品牌
豆豆_Babe,6-16,314000,15000,@俗人 这个怎么样，可以我学
豆豆_Babe,6-16,314000,15000,好像泰国的MAI
豆豆_Babe,6-16,314000,15000,[比心][比心][比心][比心]
豆豆_Babe,6-16,314000,15000,@初三粑粑 给我记在小本本
豆豆_Babe,6-16,314000,15000,diudiu～过来一sia
豆豆_Babe,6-16,314000,15000,皮肤保养的好美呀[玫瑰]
豆豆_Babe,6-16,314000,15000,@小李 这个妆
豆豆_Babe,6-16,314000,15000,好通透
豆豆_Babe,6-16,314000,15000,@七秋 [捂脸]
豆豆_Babe,6-16,314000,15000,有没有集美真实使用过觉得好用？
豆豆_Babe,6-16,314000,15000,[赞]
豆豆_Babe,6-16,314000,15000,绝美了
豆豆_Babe,6-16,314000,15000,豆豆好喜欢你
豆豆_Babe,6-16,314000,15000,豆豆画啥都好看
豆豆_Babe,6-29,298000,7232,猪猪们 我染了一个很厉害的头发 过两天给你们发视频 反差真的很大 害怕
豆豆_Babe,6-29,298000,7232,笔记 黑爪香水(￼凉月薄荷 椰影白沙 雪梨冰沙 纯净之水)我去次饭啦
豆豆_Babe,6-29,298000,7232,豆豆这个耳钉好好看啥牌子的或者有链接吗[不失礼貌的微笑]
豆豆_Babe,6-29,298000,7232,椰影白沙雪梨冰沙不就是娇兰的那几款[捂脸]
豆豆_Babe,6-29,298000,7232,豆豆真的是我很喜欢的博主了，特别喜欢你，推的东西我也都很喜欢，这的爱了[色]
豆豆_Babe,6-29,298000,7232,三叶草是什么味道[白眼]
豆豆_Babe,6-29,298000,7232,豆豆今天没有画眼线
豆豆_Babe,6-29,298000,7232,之前买了纯净之水，西柚和无花果都好好闻
豆豆_Babe,6-29,298000,7232,搞点香薰好吗 我的豆儿
豆豆_Babe,6-29,298000,7232,@sophie♡：化妆刷，化妆刷，化妆刷，听见了没，我的豆[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸
豆豆_Babe,6-29,298000,7232,第一[呲牙]
豆豆_Babe,6-29,298000,7232,"黑爪香水
1.凉月薄荷：前：柠檬＋三叶草 后：薄荷
2.椰影白沙：前：椰香 后：木质香
3.雪梨冰沙：前：葡萄柚＋香梨 后：木质香
4.纯净之水：前：柑橘清香 中：薄荷香（香皂味）"
豆豆_Babe,6-29,298000,7232,你让自己兴奋的样子，好可爱啊[憨笑][憨笑]
豆豆_Babe,6-29,298000,7232,香水可以带上动车吗[捂脸]
豆豆_Babe,6-29,298000,7232,@讲道理我最可爱 关注她[灵机一动]
豆豆_Babe,6-29,298000,7232,小姐姐好可爱，哈哈哈
豆豆_Babe,6-29,298000,7232,@豆豆_Babe 豆豆，百香果的腻不腻吖[玫瑰][玫瑰]
豆豆_Babe,6-29,298000,7232,@四五五五 这个🉑
豆豆_Babe,6-29,298000,7232,@miasanmiaZLZ 要吗
豆豆_Babe,6-29,298000,7232,买了
豆豆_Babe,7-14,92000,3606,烦死了 怎么没我人注意到我最后的原创歌曲呀
豆豆_Babe,7-14,92000,3606,笔记 纽西之谜睡眠面膜 绿色款
豆豆_Babe,7-14,92000,3606,看到你也长痘我就放心了
豆豆_Babe,7-14,92000,3606,原来仙女如你也要长痘痘啊！我瞬间就平衡了（对不起）[捂脸][捂脸][捂脸][捂脸][捂脸]
豆豆_Babe,7-14,92000,3606,换包装了吗 之前不是蓝色[抠鼻]
豆豆_Babe,7-14,92000,3606,你的豆他都是自己下去的吗？有没有祛痘的应急 急救方法，看你都不会留下印 能不能出个单独的视频呀[玫瑰][玫瑰][玫瑰][玫瑰]
豆豆_Babe,7-14,92000,3606,豆豆起痘痘了
豆豆_Babe,7-14,92000,3606,啊啊啊啊啊啊啊啊啊啊啊救命！！！太帅了吧[泪奔][泪奔][泪奔]
豆豆_Babe,7-14,92000,3606,你短发真是要把我掰弯[微笑]
豆豆_Babe,7-14,92000,3606,日系小哥哥的feel出来了[摸头][摸头]
豆豆_Babe,7-14,92000,3606,11111111
豆豆_Babe,7-14,92000,3606,姐姐姐姐！！推荐痘肌遮瑕好么！求求了
豆豆_Babe,7-14,92000,3606,为什么我用就是油呢……
豆豆_Babe,7-14,92000,3606,@77：姐姐什么时候在只二上发布二手商品[白眼][流泪] 我等着呢
豆豆_Babe,7-14,92000,3606,@Cassie 这个是这样用的
豆豆_Babe,7-14,92000,3606,干皮不长痘的 可以用吗[泪奔]最近在找睡眠面膜
豆豆_Babe,7-14,92000,3606,啊啊啊啊啊 要被掰弯了
豆豆_Babe,7-14,92000,3606,买了，到了就立马试了一个，好好用啊，喜欢😘
豆豆_Babe,7-14,92000,3606,绿色和蓝色啥区别啊[捂脸][捂脸]
豆豆_Babe,7-14,92000,3606,最后的是佛系祛痘法吗[偷笑]
豆豆_Babe,7-16,125000,3458,笔记 花西子蜜粉饼(01带珠光 02哑光）
豆豆_Babe,7-16,125000,3458,我一直想不明白，脖子到底怎么弄，也是要上粉底？
豆豆_Babe,7-16,125000,3458,油朋是豆豆的表姐妹吗？有的地方好像啊[泣不成声]
豆豆_Babe,7-16,125000,3458,我好想知道粉底刷是什么@豆豆_Babe
豆豆_Babe,7-16,125000,3458,几个美妆博主，还是最喜欢豆豆，自然，不做作，看着很舒服
豆豆_Babe,7-16,125000,3458,小七会走路了
豆豆_Babe,7-16,125000,3458,想要化妆刷
豆豆_Babe,7-16,125000,3458,我来了！！！我昨天染了红头发真的好看哈哈哈[看][看]快夸我豆豆
豆豆_Babe,7-16,125000,3458,粉底！！！求！！[泣不成声]
豆豆_Babe,7-16,125000,3458,豆姐求bgm也太好听了！！！！
豆豆_Babe,7-16,125000,3458,豆 你是瘦了吗[泪奔]
豆豆_Babe,7-16,125000,3458,防嗮搽了，妆容定了。在搽粉底液啊？
豆豆_Babe,7-16,125000,3458,同名狗仔🐶路过[捂脸]
豆豆_Babe,7-16,125000,3458,哈哈哈我家的小狗🐶也叫小七[捂脸]
豆豆_Babe,7-16,125000,3458,我用着没这么好
豆豆_Babe,7-16,125000,3458,帽子有没有链接
豆豆_Babe,7-16,125000,3458,豆豆脸上有斑怎么办，有没有祛斑产品啊
豆豆_Babe,7-16,125000,3458,皮肤好好啊
豆豆_Babe,7-16,125000,3458,[捂脸]身边缺个会化妆的你
豆豆_Babe,7-16,125000,3458,麻烦推荐好用的定妆喷雾 蟹蟹
豆豆_Babe,7-6,227000,8211,笔记 泠水沐浴露 丸森下树手足膜 萝萝拉吸油纸 light wing洁面巾 就酱
豆豆_Babe,7-6,227000,8211,对了 明天高考 猪猪们要加油哦 不要紧张 发挥自己的最好水平 爱你们💗💗💗
豆豆_Babe,7-6,227000,8211,豆豆这个发色美炸了！！！！！快翻我一下！
豆豆_Babe,7-6,227000,8211,不管什么发型，豆只要留了几天，还是逃不过三七分的命运[泪奔]
豆豆_Babe,7-6,227000,8211,我想知道豆妈知道染头发后啥反应[泪奔]对这个颜色有什么评价没有[泪奔]啊抱歉忘了豆妈姓啥了[泪奔]李？刘？
豆豆_Babe,7-6,227000,8211,足膜店铺还没上？
豆豆_Babe,7-6,227000,8211,店铺有这些吗
豆豆_Babe,7-6,227000,8211,护发护发，来来来我们一起喊护发[看]
豆豆_Babe,7-6,227000,8211,前排！这个颜色很好看！[舔屏][舔屏]
豆豆_Babe,7-6,227000,8211,"这个发色显白吗？[泣不成声]
感觉豆的脸都亮了好多[看]"
豆豆_Babe,7-6,227000,8211,第一次这么靠前居然不知道说啥。嗯嗯嗯嗯我喜欢你
豆豆_Babe,7-6,227000,8211,头发什么颜色
豆豆_Babe,7-6,227000,8211,想要口红色号
豆豆_Babe,7-6,227000,8211,太帅了
豆豆_Babe,7-6,227000,8211,豆豆呀.口红什么色号呀[色]
豆豆_Babe,7-6,227000,8211,吸油纸哪里有
豆豆_Babe,7-6,227000,8211,口红口红💄，色号
豆豆_Babe,7-6,227000,8211,@大脸猫猫神 沐浴露
豆豆_Babe,7-6,227000,8211,口红！！！口红！！@豆豆_Babe
豆豆_Babe,7-6,227000,8211,亲，手足膜有没有链接啊
豆豆_Babe,7-9,129000,3536,喷雾太讨厌了，火车高铁不让上就算了，地铁也不行
豆豆_Babe,7-9,129000,3536,这个喷雾是不是只能托运[捂脸][捂脸][捂脸]
豆豆_Babe,7-9,129000,3536,没看错的话应该是椰子新出的拖鞋？
豆豆_Babe,7-9,129000,3536,豆豆豆豆！！！！！顺便安利颐莲洗面奶，辣木籽的那个！！！！！！好好用好用到哭，入颐莲的第一件东西，上了大学一直在用，已经第四瓶了！！！！活动的时候超级便宜！！！你一定要回我，我一定要安利！！！！真的啊
豆豆_Babe,7-9,129000,3536,这个和雅漾更推荐哪个？
豆豆_Babe,7-9,129000,3536,我也早就换成这个了，我是在京东做活动买的，59买一赠一。
豆豆_Babe,7-9,129000,3536,豆豆，翻我一下，颐莲的水乳是不是也适合夏天用特别清爽，因为我是混合型皮肤，么么哒
豆豆_Babe,7-9,129000,3536,第一
豆豆_Babe,7-9,129000,3536,能不能推荐一下去后背痘印的，都是痘印，超级难看
豆豆_Babe,7-9,129000,3536,可以推荐一些去闭口粉刺的东西么 偶尔额头还会有白色的小米粒一样的东西[捂脸]
豆豆_Babe,7-9,129000,3536,@糖糖糖 她也推这个了
豆豆_Babe,7-9,129000,3536,国产的夸迪也很好用，华熙生物旗下的
