视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0701,500,32,第三条亮色的哪里买,视频第一个蓝色哪里有,第三套有吗？,最后一套链接,"i老铁V587,666",[666][666][666],[鼓掌][鼓掌]↑,最后一套链接,喜欢这个视频的系列,裙子都好看耶
070102,1461,70,名字,08可以穿多少斤,最后那套黑色的怎样没有,关键不是衣服的问题，而是百分之九十以上的人没有呢性感漂亮,买了两套。质量只能呵呵了。,果然身材好穿什么都好看[调皮],第四套好看,第五套,[比心],好看
0702,871,398,你们这么统一口径也太拼了[捂脸],一件都不喜欢，来我家擦厕所[捂脸],已经五十好几了，我也想穿一下试试，有没有支持我试一下的,一件都不喜欢，来我家摖厕所[捂脸],快来擦啊，怎么说话不兑现[捂脸],你要用软刷子还是硬刷子呢？,你是自带洗厕所的动作还是用我家的？,[比心][比心][比心],来吧,厕所正缺人擦[大笑]
070202,2619,30,第一套好好看,都好喜欢，怎么买,你怎么穿都好看,只能穿裤子，目前没看到有卖男士裙子的,很好看必须买,[比心][比心][比心][比心],她穿起来真好看,美,没身材[泪奔]衣服都喜欢,喜欢锤子[看][看]
0703,590,48,第一套多少钱怎么买,想要第一套,第一套没有,几点会直播，有券么？,一定要精致,第一套要链接,[比心][比心][比心],[666][666][666],我刚做衣服的！天天打卡你的！学习,[鼓掌][鼓掌]
070302,521,20,比较喜欢裙装,那个牛仔连衣裤 好好看。,牛仔连体衣爱了爱了❤️❤️❤️,牛仔连衣裤好看[玫瑰],跟地震一样,睡衣好看,最后一套好看,:,这里,666
0704,780,58,79,有搭配哦，也可以问下客服,黑色围你就当送你的吧,七天无理由 还有运费险,你好黑色短裤怎么购买，多少钱,淘宝里的评价太低了吧[捂脸]都不敢下手,这衣服不要那个黑色围的那个可以吗,你们女生的鞋子为什么这样穿，漏脚脖？，照这样以后直接生产漏脚脖的鞋子，这样还更潮流,我买的是白色围的，好看[呲牙],一套怎么卖
070402,544,75,1米高的那叫梯子[捂脸],然后你在踩个高跷就2米5了,忽然间，有点羡慕160以下的了[捂脸][捂脸][捂脸]，172的我用这种方法就180+了，这可该怎么办？请问有什么方法可以让人看起来矮一些[捂脸][捂脸][捂脸],170不好看，女人最标准的身高是163！,我不用这么费劲的吹[偷笑]，光脚丫就172,竟然和我一样身高,[比心][比心][比心][比心],同感,[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸],买回来穿上和大妈一样[微笑]
0705,860,24,错了，皮肤白适合所有色[调皮][调皮],第三套想要,第三套怎么没链接,链接跟视频都不拉搭,[比心][比心][比心][比心][比心][比心][比心],最后一套好看[比心],又瘦又黑呢？[捂脸],收了，以后照着穿[捂脸],强[赞],有[勾引]↑
070502,1576,98,赞同[赞],我缺的不是衣服，而是身材[捂脸],我不缺衣服，我缺大长腿[捂脸],我缺的不是衣服，也不是身材，而是身高[捂脸][捂脸],不要在穿衬衫了，衬衫上多条围巾不热么,好看,[抠鼻][抠鼻],帅，可惜我没有大长腿,夏天多一块布料都嫌弃[捂脸],怪我咯咯俺妈
0706,681,61,喜欢第三套和第五套[比心][比心],安排一下。过来吧[微笑],来吧，厕所给你留好几天了[捂脸],你可以收拾过来了,到处都是要扫厕所的人啊，文案一样一样的,第一套好看[比心],想做你一样的发型，，什么烫，能做成这样,[666][666][666],最后一套[赞],[比心][比心][比心]
070602,914,17,说类挺对,开衫有吗,真的很喜欢这一件[呲牙],我烟酒不Z但是 不会为了男人而放弃什么,名字是,身材好到爆[捂脸],[玫瑰][玫瑰][玫瑰],是的,唉，,这个模特的有私人抖音号吗
0707,518,18,这么好的皮肤为什么要纹身,青春靓丽色，好看,说得对,扎心了[泣不成声][泣不成声][泣不成声],好美[赞][赞][赞],[玫瑰][玫瑰][玫瑰],说的太对了,同款鞋子[玫瑰],鞋子好看,说的对[捂脸]
070702,551,73,微信,我看上鞋子有没有链接,很酷啊！买它,我男朋友看上你了，有链接吗,鞋子有链接没？,不是凉鞋的那个。,[玫瑰][玫瑰][玫瑰],裤子，超帅气[玫瑰][赞],年纪大了就喜欢这种休闲风[捂脸][捂脸]。一看上身穿着就舒服,这套衣服想起了之前很火的地下车库那个女孩[捂脸][捂脸]
0708,18000,42,有的,又[左上][玫瑰],又[左上][看],第三套的裤子有吗,第二套有卖的吗？,[玫瑰][玫瑰][玫瑰],看到回复一下,[赞][赞][赞],第一套好看[调皮][调皮],牛仔裙有吗
0709,636,53,第三套哪里买,最后面那一套，求链接,一二三怎么买,我喜欢一套和三套,最后一套哪里买,[送心],第一套看起来很有气质,美,1薇,你这身材望尘莫及
070902,479,54,我明天必须给你安排上,第二套和第三套链接在哪里？,第二套链接在哪里啊？[吐][吐][捂脸][捂脸][捂脸],女人就该尝试不同风格,漂亮气质[赞]喜欢最后一款,我也想要第二套,我的衣服大部分都是这几个色系，好看,[灵机一动],好漂亮啊,找我
0710,316,111,不吹牛，我就没有裙装[捂脸][捂脸],[灵机一动][灵机一动],不是我吹牛 你的裙装我都穿不上,不是你吹牛，美女穿什么衣服都好看[赞],第二套第四套的链接在哪里呀,这里,牛仔上衣那套怎么没有？,[巧克力][巧克力][巧克力][巧克力],第三套在哪,夏天穿短的比较舒服点
071002,1505,145,宝宝们别急，喜欢哪套告诉我，小黄车我明天就安排上,拍照可以，爬山就算了,[奸笑][奸笑][奸笑][奸笑]一起吗？去爬山我拍照片的那种[大笑][大笑][大笑],白色套装好看[比心][比心],白色的那套露肩连衣裙有黑色的吗？我喜欢,我一个男的觉得第一第二套好看[泣不成声],等我找到女朋友了 我也给他买 [不失礼貌的微笑],喜欢第三套从哪下单？,不错哦,[捂脸]我看完难过，缺的不是衣服
0711,659,16,说的有道理[赞][赞],黑色连衣裙好看,当看到美美的衣服，总是忍不住点个赞[捂脸],[拥抱][拥抱],这下单[微笑],我爱了[耶],[玫瑰],[来看我][来看我][来看我][来看我][来看我][来看我][来看我][来看我][来看我][耶][耶][耶][耶][耶][耶],好看,第三套
0712,454,69,喜欢在评论区看你们的评论，很有学文，伦家太崇拜你了！[酷拽],[比心][比心],第二套哪里买，小黄车没有,我觉得第三套太漂亮了。,双肩包可以推荐一下不,确实顶不住 这颜值炸天哦[灵光一闪],[图片表情],好好看[玫瑰][玫瑰][玫瑰],第二套漂亮,也太美丽了吧
071202,369,36,明天上新 明天发单独的视频,看中三四套，找不到链接啊,每一套我都喜欢你的[色],第一套哪里有,倒数第二套好看,第五好看,牛仔的那套链接在哪,好看[赞],真羡慕你们这些长得丑的人，失恋了至少还可以说一句“谁让我丑呢”来安慰自己。,剪完头理发师问我怎么样，我点了根烟，沉默了一会对他说：“大哥，你开心就好。”
0713,1549,31,第二件和第三件我喜欢,第二套，好看又轻便，在哪买,第二套哪里呀在,第二套没看到啊,第四套休闲漂亮,有大码嘛,好,好好看[呲牙],质量看起来不错，也好看,名字
071302,3825,42,左下角小黄车，或者在我的商品橱窗里,第一套在哪里买？,第二套在那里买呀,第五套去哪里买？￼,黑白这套有现货吗？,你这的衣服都很好看,第二第三套好看,为什么不直播呢？,绿色的好看,好清新
0714,436,24,这身材，这衣服都太好看了,好喜欢你家衣服[耶],不会爆光吗,这套在哪里吗？,[比心][比心][比心],衣服怎么买？,转发,[左边][左边][左边],怎么买？,上衣怎么买
071402,938,40,我也看好鞋子了[微笑],唉，皮肤天生黑，不敢穿,有鞋的链接吗？,下单！看到自己喜欢的就要买,身材好怎么穿怎么好看[送心],等我瘦了再说[捂脸][捂脸][捂脸],蘑菇街直播间有卖,眼镜特别,没[赞],名字
071403,668,24,有点,大夏天穿这个鞋子 不捂脚吗[尴尬][尴尬],这套咋买,这鞋配的什么鬼[捂脸][捂脸],不要问鞋子热不热，爱美的女孩都不怕热[泣不成声],鞋子哪里有卖,这个短靴现在可火了,[玫瑰][玫瑰][玫瑰],名字,名字
0715,2271,2115,喜欢的左下角购物车可以看看，,这些都是早秋的新款了，现在很少能看到夏天的新款。现在下单天气凉了就能穿出去，到时候你就是最靓的仔,第一套在左下角小黄车[微笑],左下角小黄车,第一套左下角小黄车就有哦,这一套性价比真的超高,会穿才是最重要的,[大金牙],夏天穿吗靴子那个叫一酸爽,我缺的是身材吗？不。我缺的是钱[捂脸][捂脸]
0716,667,50,最后一套西装链接给你们上咯，喜欢的就先架构[鼓掌],倒数第二套链接呢,你家衣服好是好看，唯一的缺点就是要单件拍[捂脸],小姐姐，这个要怎么买,穿不进去[捂脸],好看,围星拍,我想[泣不成声]惯传你,shou身就是为了穿好看的衣服,我已发表的12件作品中，有一件能媲美？
071602,624,180,提醒一下，市面上盗用我家的视频和图片的抖音号一概不要相信，大家都谨慎一些，谨防被骗,我要提醒大家，人家长得漂亮穿起来才好看！,看到你評論立即唔想買￼[微笑],人家都说了快速[憨笑],确实够快 都没看清楚,[666][666],我也觉得[泣不成声],等一下我为什么会刷到这个🌝你听我解释🌝这是第一次🌝真的,哈哈哈哈[奸笑],只是让你看衣服，没别的意思[看]
0717,825,32,[赞][赞][赞][赞]好像有这样的身高体重 衣服更是想要的,我不缺衣服，缺的是像她一样的身材,喜欢第1套，可惜没身材穿[捂脸][捂脸],第四套橘色裙子找不到,看上你家模特了[呲牙],模特太瘦了吧！[捂脸],名字,[玫瑰][玫瑰][玫瑰][玫瑰],@橘子番茄酱 喜欢第一套奈何没身材,喜欢过了[玫瑰][玫瑰][玫瑰]
071702,409,75,看上衣服可以，看上模特那是门都没有,看上你家的模特了，怎么办呢？,没有门那就来个窗,款式挺好质量能跟上就好了[灵机一动],全程只在看你的手像个大摆锤,白色裙子有没有链接,太多了，不眨眼 眼睛看花了[捂脸],第一套鞋子有没有链接,[爱慕],看不过来[泪奔]
0718,3727,37,空手套白狼？,找我男朋友来陪你吧！你的借我，反正我没有,鞋子有人有链接吗,[巧克力][巧克力][巧克力][巧克力],夏天这样穿出去，我会中暑[捂脸],爱上了模特姐姐[比心][比心][比心][比心][比心][比心],好看,咋加,[玫瑰][玫瑰],夏装还是是秋装[捂脸]
071802,1007,13,商品橱窗在哪,衣服都很有特色！[赞][赞],秋款吗,第一套漂亮,[睡][睡][睡],喜欢第一套,是啊，要看上身效果,[赞][赞],[图片表情],[比心]
0719,843,84,想要最后一套的宝宝，去我前面2个视频里看，或者在我帐号里面的商品橱窗里看下,喜欢的 商品橱窗都能找得到,左下角小黄车就是第一套哦[鼓掌],[发呆],我都加入抖音两年了[捂脸]你才发现,喜欢倒数第二套 [嘿哈] 在哪,第一套木有,哇塞，终于也加入抖音了，我都在这家买衣服两年了吧,这个婆娘都有好一段时间没理我了。[抠鼻][抠鼻],我要蓝色裤子套装，链接，链接
