视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0701,31000,901,最后一套可以穿起来酒吧 喝多了方便吐,为什么吐舌头,喜欢第二套,这条视屏告诉我新品我又跑不掉了[捂脸][捂脸],看这力度 你拍的是真的认真 [偷笑],吹爆第二套,昨天才在wb被安利了你家旗袍今天就凭本事刷到了你[捂脸],@梦梵妹妹,这小腰,[图片表情]
0702,10000,253,我想把她抱起来转圈圈[尬笑],第一套，好久上[抠鼻],第一套有没有？,第一套。,睿哥太爱第一套了[流泪][流泪]爱死你了,第一套有卖吗,还可以瘦腰[捂脸],怎么买,多久没直播了 心里没点数,今天收到了睿睿子的衣服哈哈哈哈 那件反光t
0705,5351,202,睿睿真的真的长在了我的审美上啊啊啊啊啊太好看了我的取向狙击！[泣不成声],封面外套,啊啊啊用了我截的图[拥抱],长发太太太好看了,觉得睿睿比某些只会炫富的那个谁好多了[看],不够绿[泣不成声]我喜欢,女生什么风格取决于她穿什么,[流泪][流泪][流泪]好看死了麻烦pljj给我打个120,厉害呀！！[泣不成声],太好看了
070502,8586,213,游泳照好肥,水上飞人是不是男朋友不让玩[泪奔],卡了好几下就为了看第三张[不看],我已经代入开始嗨了,直播在哪个ap呢,看到第三张我又返了回来[看],第三张我停下了,你在放屁,我怎么看到周扬青[捂脸],那个是周吗[微笑]
0706,27000,765,橱窗第一个哦[摸头],橱窗第一个哦,对啊！哪去了！都是假粉[撇嘴],只要你不尴尬 那尴尬的就是我们,你怎么哭着叫着像个孩子在胡闹？,睿睿拍一组现在最好的绿茶照[呲牙],睿哥出个这个项链吧！,最后歌词如果靠在凯凯身上了更好[鼓掌]嘻嘻,学老吴吗[泣不成声] 你们同公司,我是真的好喜欢你 喜欢好几年了[送心]
0707,14000,212,果然最酷的一幕要配最爱的墨镜哈哈哈,有被辣到！,白西装真的！！！我没有选错hiahiahia太tm美了绝了！！,我也觉得你的视频很好看 很用心为什么没有很火,为啥你的视频这么好，没火,刚刚是不是在新天地附近 吃饭 好好看 爱了[微笑],什么时候出最后一套黑裙子啊！！！[送心][送心],我真的超喜欢你！你是抖音里做漂亮的女人,[色]第四套黑裙子什么时候出,好看[玫瑰]
0708,20000,1099,为啥绿茶都用脚指着人,衣服没穿对 不然真的好有感觉[泣不成声],这是绿茶吗？这是我的小baby！,这套衣服快点发货呀睿哥[比心],你的脚好像43码[微笑][微笑],睿睿应该cos一次阿狸！！太像了,在这个污浊的社会，已经很少有女孩子能让我心动了，记住你的编号1137[看][看],[图片表情],你好 请问你头发是什么颜色,Jiojio看饿了[绝望的凝视]
070802,74000,3810,小姐姐那个上衣可以发我连接吗？[捂脸][捂脸],还是这个瘦点，跟周周拍的显胖,啊啊啊啊歪日,第一件格子衬衫哪里有,i'm看美女 i'm笑嘻嘻 i'm口水滴 i'm老色胚,从日落到清晨的月光 抱你到天亮[害羞][害羞],好家伙 你这一下子 我魂都整没了[红脸],我这个女人都爱了,真的好像妲己,太好看了
0711,11000,375,不然带你么,我要把你的宝贝睿睿抢走,你家住海边吗,你回来 搞呗,不要~,请发一个男朋友的链接。,裤子在哪买,去关,哈哈哈哈哈笑死我了,有男朋友的，划走
0713,4456,294,穿什么内搭？店家小姐姐,白色鞋子好好看,眼镜卖嘛,墨镜什么牌子呀[泣不成声],反面教材，电梯不扶手,睿睿为什么腿变粗了,白色好看些,我睿哥超美哒[拥抱],我买了白色[捂脸],黑色
0714,24000,894,睿睿求项链！！！！,好好看[泪奔],睿睿，耳夹啥时候上架,买你家衣服一周了还没发货[石化][石化],这个项圈出吗[泣不成声],美死啦,不用减肥 我觉得这个身材更[赞],怎么开瘦胳膊[泣不成声][泣不成声][泣不成声],咋好的，能留个威说说不,爱了
0715,28000,1554,宝贝你太可爱了[泪奔],怎么了？说实话要给钱吗？我也觉得睿睿好看,我觉得挺香，你俩可以分手吗[微笑],我对老公的宗旨就是：你不疼的老婆就让别人来疼吧[呲牙],你比刀小刀好看的多的多的多。,[可怜],@@An—zhaohaicheng 我的男朋友在耍你抖音[呲牙],别的美人在你男朋友眼里清鲜可人 你在别的男人眼里也一样清新可人,我男朋友是车和游戏还有做饭[泣不成声],@「NHZBG.」 我也想要这个
0718,18100,5928,好看不能再夸了怕你男朋友吃醋,用了这个特效有点像舞法天女里的那个芙洛缇哈哈哈哈哈哈哈哈哈哈哈[看],宝贝别转圈 晕了哈哈哈哈哈哈哈哈[泣不成声],🐍了🐍了,为什么你老婆火了你[捂脸],emmm鬼刀是个男的 那个叫风玲公主,[灵机一动]自信的表现,前面迪士尼公主 后面鬼刀公主,这是穿个美背就在外面走吗,@啦啦啦啦 啊啊美女美女[舔屏][舔屏][舔屏]
