视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0614,57000,2347,是不是该叫上你低瘦，低胖，不高不低不瘦不胖，高胖，的各种姐妹来试穿了[泪奔],开叉的会很性感？那时没碰上有风，一个风过来，路都不敢走了[看],再不翻我我就取关了[看],我就纳闷了，我一男的怎么就关注了个卖女装的！,封面的牛仔裙买了 真的好看。,哇这件真好 我右腿有疤 不能露 左腿高开衩吗？求翻,我买过她家衣服 质量可以啊 怎么老有人说质量不好[呆无辜][呆无辜],沙发[奸笑],来了[看][看][看][看],缝起来
0615,28000,2681,她90多斤，超过80哈[憨笑],她穿S，你可以穿XS哈[憨笑][憨笑]，码号很全[憨笑][憨笑],在直播，来看看新衣服[呆无辜],150的可以穿吧,不开叉的比开叉的衣长短吗？,哇那个小小小姐姐好可爱呀,矮胖的妹妹就不能穿了嘛[泣不成声],不仅是小个子的还是小胖子 158的是小个子150的小个子怎么办[捂脸],这里所说的小个子女生不能超过80斤[抠鼻],可不可以不要泡沫袖
0616,15000,272,我都是一双小白鞋百搭[看],感觉匡威可以配万物[泣不成声],NB530官方旗舰店怎么没有啊？,种草大巴黎了[吐血][吐血][吐血]不行！我要买,[鼓掌][鼓掌],[比心][比心][比心][比心],老铁们快来看,[赞][赞][赞][巧克力][巧克力][巧克力][呲牙][呲牙][鼓掌][鼓掌],想要背带裤[泣不成声][泣不成声][泣不成声][泣不成声],求马丁靴链接
0618,6442,290,能出几条不是泡泡袖的裙子么，现在看到泡泡裙就想划过去[捂脸],嘿 今天穿什么呢,鞋热不热[捂脸],关注你好久了，第一次评价居然被翻了，哇～噢,对！,我又不是女的，你干啥？[看],[666],价廉物美呢,希望价格可以贵点，衣服求求做工好点，太差了[微笑]！,今天穿什么呢
0629,12000,520,哈哈哈哈哈哈哈是真的[捂脸],我猜九九是和我一样不会扭 所有给大家表演了原地踏步[奸笑],看上你家的衣服 之后 眼就拔不出来了,九九，鞋子链接，马丁靴,九九剪头发了吗[睡][睡][睡],能出套新的么，为啥你家衣服几个月了还是一样的款。都设计不出新款么,第一件盘扣上衣 我穿出去，人见人夸[看][看],九九头发剪短了？？,为啥我点了无数次不感兴趣还是能刷到她[捂脸]到底冲了多少钱[捂脸],哈哈哈哈哈论营销号的厉害
0630,70000,1409,直播啦[飞吻],让你笑死了[捂脸][捂脸][捂脸]说的太对了,你楼上评论葫芦[泪奔][泪奔],葫芦[看],胖的人把上衣扎进去，那就是个葫芦……葫芦……,重点是:一定要瘦，胖人把衣服扎到裤子里，结果就是…,这裤子好看[呲牙][呲牙],[赞],合适我这种矮个子的[捂脸],穿起来显腿长
0701,9025,655,你还用显腿长吗？[泪奔][泪奔]给留条活路,热不热呀,第一！！！！姐姐翻我[泣不成声],仙女不怕热,潮人不怕热,时尚就是不怕冷也不怕热[捂脸][捂脸][捂脸]并且穿啥看不出季节[流汗][流汗][流汗],肯定还臭[捂脸],格子套装，最后一套，还上吗？,[玫瑰],关注一波[鼓掌]
0702,40000,506,mango的[吐舌],在直播奥，来康康[吐舌][吐舌],想要黑色大长裙,想要你一开始的黑色长裙,小姐姐，翻我了[泣不成声]哈哈哈哈,我是说那本子拿一套,有的[鼓掌],黑色连衣裙我家有,[赞],实用
0712,6919,285,邓…超[捂脸],林芝真的超级适合进藏第一站，很漂亮，九九好好玩哦,7.16一个人广州出发拉萨有人一起吗,7.21广州出发[调皮],你不翻我，难道番茄炒蛋吗,冲了,我靠爽死了,林芝，还想去一次,林芝那边不是地震吗？,西藏的风景美丽[666]
0714,8370,429,欢迎九九来林芝呀，这几天一直在下雨，天气不是很好[泣不成声],九九是去到当地跟团的吗[呲牙],会不会高反呀？,这个是什么酒店？,"九九是穿搭博主（✘）
九九是旅游博主（✔）
[看][赞]",南迦巴瓦峰我上去过[泣不成声][泣不成声]珠峰大本营现在不能上了 以前还在帐篷睡了一晚[泣不成声],第二啊[泣不成声]九九关注你好久啦可以翻一下吗[巧克力][巧克力],冲冲冲以后我们养老就到处走,九九变身旅行博主[捂脸][捂脸],这个地方好安逸，仙境般的感觉[呲牙]
0716,6720,550,有一个镜头以为你的脸伤了[泪奔],九九是一家子都去了吗[猪头],"想要被作者翻，我总结了以下几点:
1.发评论的时间要对 不能太早也不能太晚
2.你的评论要有趣 很引人注目的那种
3.运气.（这很重要）
4.字多
5.多夸",哇，我也好想去呀！,哇塞，这个天空好舒服，想去[笑哭],是向往的地方啊,喜欢这样的风景，希望能来一场说走就走的旅行！,西藏，向往的地方！,还想去一次西藏,羡慕这样的风景
