视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0624,20000,2187,我因为你之前的视频买了这双椰子然后你说你后悔了[666],vans 一脚蹬 穿上像豆豆鞋[捂脸],可以有,[比心][比心][比心][比心],还来得及吗，我我我我[看][泣不成声],给我吧我都可以搭[呲牙],主要是喜欢生胶,有购物车吗,啥鞋求推荐,昨天刚刚买的200多块钱的不香吗[呆无辜]
0625,5982,231,gm李易峰合作款[看],我这个急性子，每次发视频都会打错字[打脸],@嗯叁佰 @叁佰 @叁佰爱拆快递 求墨镜链接，跪求，能翻吗？[灵机一动],下次直播时间多久呀？[送心],项链有链接吗,求墨镜链接[抓狂][抓狂],推荐项链,好嘞[抱拳],帽子有吗,墨镜链接
0629,47000,1099,铁汁们，同款穿搭点击上方链接就好[看],手上不要动作那么多[泪奔]租来的吗？,跟个多动症一样，看的难受，我一下子想到以前初中班里有个男生多动症的样子[绝望的凝视],你能不能站在那里不要晃？我头晕[捂脸],你去做手语老师吧[微笑]说个话都快跳起来了,太贵了，我老公只适合一百块钱三件的,[来看我][来看我][来看我][来看我][来看我][来看我],6月22号那条视频破洞裤链接[泣不成声][泣不成声][泣不成声],一般般[看][看],我觉得他的穿搭就很好看啊@咖啡～少年 多看看
0701,9026,380,对 这叫颜色呼应 显得协调一点,哈哈500多买的，现在1000多[捂脸][捂脸],逮！,老子要是有这小腿，我天天不穿出门,兄弟们别看了，他穿垃圾袋都好看,真不知道你冷还是热,喜欢匡威的女孩子路过,有一个呼应挺好的 比如黄色那双 上衣也可以是白色 然后衣服中间有黄色的logo或者图案,6月22号那条视频破洞裤链接[泣不成声][泣不成声][泣不成声],[比心]
0702,57000,909,这就是你逃避送鞋的理由？[看],@叁佰 蓝色短袖链接 不给取关了[拥抱],47秒前[爱心][偷笑],你说的对，只要衣服多鞋子多，自己都会穿[再见],每个人都正常，只不过眼光不同罢了，毕竟穿衣主要给自己看的,这个鞋其实稍微用点儿心思都能彩,@英雄王 这个也可以关注,T恤没链接吗,只要颜值在线 穿什么不好看,我前男友也不系裤带他说是时尚[可怜]
0704,15000,663,第二，昨天的直播爱死了，希望叁佰哥可以多搞搞这种，但是同时也说声辛苦啦[耶],哎哟～哈哈哈哈谢谢分享～,那个置顶白t是不是要买大一码,这字母...也叫撞色，真不是我杠啊~真的~~很普通很普通，普通半截袖，没有那么那么好看[看]狗头保命,这件蓝色好看,蓝色那件没那么蓝的，上当了啊[捂脸]不过衣服细节还是到位的，特别是领口,不懂，这么普通的t而已,WHOOSIS,不要相信他 他穿什么都好看[看],陈靖川这么帅为什么做出来的衣服很普通。[捂脸]
0707,9541,642,啊啊啊啊啊[泣不成声][泣不成声][泣不成声][泣不成声]蹲到了 首页 翻我翻我[泣不成声],第一？,那你们外国人是怎样的[不失礼貌的微笑],再把貂穿上强调一下家庭条件[泪奔],嫌你买得不够多[看][看],里面还穿一件 你是闲不够热吗[捂脸][捂脸],热死[呲牙],瘦的人想着穿壮，胖的人想着怎么办变得瘦[泣不成声][泣不成声],为了显壮都不怕热的。,不热吗
0710,48000,880,第一，你好久不翻我了[捂脸],原版牌子说说啊,明目张胆的盗版呀[捂脸],@氐宿四 你会穿嘛,没有女朋友咋办,裤子在哪里,顶,醒醒，你抖音要炸了,Fake,@Blazzy＿ 盗版有理
0715,17000,623,之前直播说一定出一期关于发蜡发胶测评 结果真来了[呲牙]感谢[呲牙][呲牙],去年你还没火的时候就推荐过我花逸，果然良心,越便宜越好用,不会吧 人家的头发为什么要你喜欢呢[呆无辜],挺好,大家有没有买过的，我洗了3次头都没洗干净,有没有好的假发推荐呢[不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑],啊哈哈哈哈哈哈我没那个勇气剪[捂脸][捂脸][捂脸],买呀[看],已下单，不好用来打人
0718,4547,249,我朋友欠我三百块钱，正好把你推给他[灵机一动],笑死 上去,哎呀老姐姐,我打球打的，天天太阳地儿晒[看][看][看],不热吗,兄弟，咱能推荐点比较便宜点的衣服吗，大家都是男人，在家里的地位大家都心知肚明[看][看][看],有没有推荐185身高的穿搭，自从长了8cm，但抖音还是给我推矮个子的穿搭，啊啊啊,能推荐个短裤吗？,喜欢你的发型[看][泣不成声][泣不成声],这个上衣链接呢？
0719,9855,384,这种比旋转牙刷温和很多。用过旋转牙刷，声音特别大，怕了。,跟男朋友去年双11买的大理石款 ，买的时候做了很多功课，因为这款小贵些，最后还是看中了颜值买的,叁佰，多久换一次刷头呀~,风还没这么大的时候就买了它家的粉色款！！真的好用 7个多月才充了一次电[捂脸],他待会会把你这条评论删了[微笑],挺贵的[奸笑],我寻思也没粉丝让你推荐啊,抢钱呢,是不是忘了放一个400的优惠券[看],哪些粉丝让他推荐的 来我这点个赞看看
