视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
07003,3584,68,我想问大腿和小腿围[捂脸],考不考虑秋冬出款阔腿裤呀,有第三件黑色上衣吗,估计仿的 韩国哪儿都断码,这可能就是ader吧,唉……果然仿的Ader的,我看中眼镜眼镜眼镜了,男女同款吗？[酷拽],你很517上了同款裤子[捂脸][捂脸],什么发色
0701,1119,86,眼珠已扣,扣眼珠犯法。不敢,不是吧不是吧，真有人夏天去海边穿她这样？,眼珠拿着,说反了吧，去海边不穿那样要穿这样？？？。。,哈哈哈……我也这么想,裤子花 衣服满字 包花 格子帽？真的有在认真搭配么？,眼珠子,这可能会有点热[微笑],……
0702,1617,58,太真实了[泪奔],显瘦好看,你说这几天穿长袖的裙子出门会不会很奇怪呀，好纠结哦[捂脸],舒服,程序员一脸懵逼 还能显瘦？,不用显瘦，本来就瘦,哎呀妈呀心声,那是防晒没事,哈哈哈哈哈哈哈哈哈,[微笑][微笑][微笑][微笑]
0705,799,39,来啦来啦,永远买不停、买完又你穿、说的是不是你[捂脸],爱死你了！趁没人[鼓掌],啊啊啊啊啊，前排，我出息了[泣不成声],求求再上架一次可拆卸黑色百褶裙裤吧,这种一闪一闪的背景是怎么弄得呀,我是路过这家店的路人,@是圆圆的 这个这个,试了网上买[捂脸],@_Fairy🌟 2.3
0707,1455,108,扎心了姐妹[捂脸],太现实了吧[捂脸][捂脸][捂脸][捂脸],第三套绝了,姐妹，出第三套吧，拜托了[泪奔],要第三套！！！,第二套链接链接,想要第三套,喜欢 随便拍拍那两条短裤 有链接吗,喜欢第三套，有吗,第二套上衣在哪里拍？
0708,706,59,身上的裤子链接,like[灵机一动],腿上这款裤子爱了 求搭配,那些短上衣,流苏包链接！,我想要上衣[捂脸],裙裤买了s也太大了,我就想买第一条呢！！,第四款鞋子的链接,喜欢你[拥抱]
0711,723,23,原来穿露肚子拉稀的不止我一个[太阳]满意,又为第二套上衣打call的一天[泣不成声],半身裙店里没找到呢,哦吼？人少了这么多,拖鞋为什么要配袜子[得意],袜子[捂脸][捂脸][捂脸],小姐姐穿的太好看啦[比心],黑短袖有吗？,很时尚吗？,哈哈哈哈，谁不是呢
0712,815,54,撒时候上新啊,裙子好看,视频同款扎染裤还有吗@安酒月穿搭日志,又要上新了吗,第一套好看,好看[666],第一套好好看，喜欢[赞][赞],同问,天呐也太好看了吧！！,裤子能不能做一些矮个子穿的版型@[捂脸]
0714,1436,74,头的链接有吗,哪里有帽子啊,我需要眼睛的🔗啊哈哈哈哈,房子怎么卖？,这人字拖不错[大金牙][大金牙][大金牙]赶紧上链接,拖鞋和眼镜有吗[笑哭],花盆怎么卖，有链接吗,裤长劝退,还要眼镜哈哈哈,都有都有[耶]
0716,2023,135,你看我发的表情包[灵机一动],放心[灵机一动],[灵机一动],真的呀姐妹 两穿的裙子～[捂脸],赶早不如赶巧[害羞],8888是防拍价哦,来了来了，你们期待的新品踩着拍子来了！！,吊带上衣上衣啊啊啊啊啊啊啊啊啊啊,求看安总表演好看到打鸣[耶][耶][耶],好看死了，就是不知道价格多少？
0717,2424,91,[灵机一动],[灵机一动]就问你们像不像吧,钢丝球笑了,我来了集美[色],可以可以，有那味了,是不是有别人了[酷拽]这么久才理我[流泪]对我的爱变了吗[害羞],一看就是老GUCCI了,老Gucci了哈哈哈哈,模仿古驰,我竟然如此有品味
0718,1369,58,人家长得好看那身材也好啊我天[泣不成声][泪奔][泪奔],其实，挡了脸衣服是会暗淡些,别说了。不就是长的好点，身材好点,只有我觉得果真也就这样。露脸的话真的感觉绝了,飒,身材好,完了，更高级了,应该是身材好吧,你们家刚开始的时候风格很好的，现在的风格有点不太喜欢了,哈哈哈
0719,1353,31,8888的报纸是真的贵[捂脸],158的俺配吗[泪奔],这个领带麻烦一起上架[微笑],破洞裤链接 破洞裤链接 破洞裤链接 破洞裤链接 破洞裤链接,我也觉得[泣不成声],跪求包包安酒[流泪][流泪][流泪],我昨天在淘宝有刷到这个衣服,报子演的好,[鼓掌][鼓掌],裙子[泣不成声]
