视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0701,2632,185,(σﾟ∀ﾟ)σ哇这情话[泣不成声],第一个叫啥名字[吐舌],你在欺负我眼睛不好[坏笑],麻烦告诉十里，她的耳环落我家了，让她记得来拿[看],四分钟前四分钟前翻我翻我翻我，从没被翻过,我光看十里穿没穿鞋了[捂脸],@心动了嘛 这套好tm好看[泣不成声],星河滚烫，十里和老母亲是人间理想[大笑]@汉尚华莲汉服 疯狂暗示暗示暗示暗示暗示暗示翻我翻我,沉迷于十里小姐姐的美貌[泣不成声],老母亲不黑十里了，爷的青春没了[看]
0702,13000,217,我听到了十里憨憨的声音“好奇怪啊感觉”[看][看][看],十里说了啥？我没听清,原片萌萌哒,最近老母亲限流有点严重啊[泪奔],沙雕的十里，粉丝的期待[捂脸],那个墩墩儿跑过去的亚子也太可耐啦[猪头]@汉尚华莲汉服,二十分钟前有奖励吗，老母亲[流泪][摸头],果然顿时不一样了[看],十里：好奇怪啊感觉 😂,来了[大笑]
0703,9357,235,老母亲还记得我吗[泣不成声][泣不成声][泣不成声]，实在忙于学业不能天天来啊[捂脸],藏着一双要飞天的巧腿！[送心][送心][送心]我也会[看][看],藏着秋裤？[看][看][看][看],我来了，老母亲好几岁没翻我了[黑脸][黑脸],我的汉服底下藏着我的大粗腿[流汗][流汗][流汗],[看]哪吒的滑板车给一一撸走了。[不失礼貌的微笑],老母亲，明天我就要期末考试了祝我好运吧[看][看][泪奔][泪奔],我来评论去蹭一下，希望我后天领完通知书还能活着回[泣不成声][泣不成声],这汉服多少钱？,老母亲求翻[送心]还热乎不？
0704,4558,116,宋裤除了去洗手间不方便，别的真的太任性了[捂脸][捂脸][捂脸]爬山，骑自行车,宋裤啥都方便，就是上厕所不方便[看],老母亲，我刚考完试，来晚了[泣不成声],老母亲，你的小可爱屁颠儿屁颠儿的跑来了[看],老母亲，你怎么啦，你是穷了吗？老母亲难道买不起头了吗？[捂脸][捂脸]，组团给老母亲买头，我出一毛钱[灵机一动][灵机一动],真是漂亮。[赞][赞][赞][赞][赞],可以哦[比心][比心][比心],可以有,@秋风萧瑟§ 买这个,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
0705,6735,242,"无情的喷防晒喷雾机器[泪奔][泪奔]，虽然这个方法的确有效，而且仙气飘飘
但是我觉得不出门是最好的方式[泪奔][泪奔][泪奔]，因为贫穷[泪奔][泪奔]",十里又开始沙雕了[捂脸][捂脸]，老母亲求同款防晒霜,灭火器式防晒,老母亲，本人这回真的被“关在幼儿园”来晚了[流泪],老母亲求翻[捂脸][捂脸],老母亲，这样会不会仙气飘飘[捂脸],小姐姐：啊！这个人[看],来了来了[看][看][看],防晒喷雾夏天值得你拥有[不失礼貌的微笑],啥防晒，我要和十里一一用同款
0706,6269,218,齐恒公管仲鲍叔你们选的啥[看],给咱们中考的也加个油呗[捂脸],姐姐，求翻,高考加油！！！祝评论区里面的大家逢考必过！！（祝明年的我中考加油！）,高考加油,高考加油！祝我12天后的中考加油！,有点晚了，老母亲不热了[泣不成声],老母亲翻我一下[害羞][害羞][害羞][害羞],[看]心中有十里，逢考必过,我爹刚祝我高考顺利，我说谢谢，但是我大一了[泣不成声][看]
0708,4370,303,我真怕自己考美术韩熙载夜宴图作者写成汉尚华莲,卡点太爽了，十里太美了,齐桓公，金字塔[泪奔],表白十里老母亲第81天[看],十里小姐姐[泣不成声]，有适合男生的汉服吗,存钱，准备迎接周年庆[泣不成声][泣不成声][泣不成声][泣不成声],上半年？有上半年？最贴切的一句话就是学废了，最离谱是7.10开学上五天7.21，7.22还统考[泣不成声][流泪],bgm叫什么名字求解,躺了半年存了2万，下半年努力挣钱追赶去年[捂脸][捂脸][捂脸],穷，睡，吃[泪奔][泪奔][泪奔]
0709,2648,314,Oh～天啦，老母亲，月映花林[飞吻]神圣的魅力所在～是心在跳～爱在烧,才下课就来了[捂脸],[图片表情],@长安. 十里太好看了[泣不成声],买汉服送娃娃吗[看],第一眼：怎么那么像十里,我的天哪老夫的少女心,母亲，母亲，母亲[看][泣不成声],第一个汉服是什么名字啊，很喜欢,老母亲 你 你不理我了 我今天生日啊[泣不成声][泣不成声][泣不成声]
0710,12000,936,婶婶穿犯花,来[如花],汉服归你们十里归我[思考],夜弦歌可以男女同款吗老母亲[看],求翻，十里小姐姐最好看,狗子哪里领？[看][看][看],热评就在眼前，我却想不出什么骚话[看],十里穿什么类型都能驾驭[呲牙],买最后一套送仙女棒吗？[看][看],喜欢汉尚，每次上新都很好看[玫瑰][玫瑰][玫瑰]
071002,8792,341,老母亲等我[泪奔],爱了爱了[泣不成声],好家伙，老母亲又来抢钱了,[晕][调皮][耶][调皮][送心][赞],老母亲，我来看看我几百年后的衣服了（因为现在买不起）[看][比心],我要怎么样才可以拥有这样的洋娃娃[泣不成声][泣不成声],麻麻 十里吓我[流泪][流泪],老母亲，翻翻我这个孩子吧[泣不成声],好可爱的木偶啊，老母亲卖吗[亲亲],心动的感觉
0711,13000,343,hi[如花],你最近更新好勤啊,这个BGM 差点把我送走[泪奔][泪奔],我咬到舌头👅了[泪奔][泪奔][泪奔][泪奔],价格认真的吗？[看],女孩:要不是因为我矮 你以为老子想踮脚吗？[看],老母亲我怀疑你在吓唬我。[泣不成声][泣不成声][泣不成声][泪奔][泪奔][泪奔],老母亲这是要拍恐怖片吗[捂脸]配乐差点送走我,我不知道那个女孩为什么踮脚尖，老母亲你知道吗，可不可以告诉我[拥抱],女孩：因为我太矮了[泣不成声]
071102,3115,408,买汉服送那个娃娃不[呲牙],我去[看][强壮],十里能和我一起去爬山吗[流泪],老母亲我们一起去爬山吧[思考]，我帮十里拍照你帮忙摆姿势[奸笑],好看，准备钱包,不我还想多活一会,我的妈这个歌我一身鸡皮疙瘩[捂脸],不了不了[衰],莫名诡异[捂脸][捂脸],老母亲，你不要想把我推下去，我会花手摇上来[看][看]
0712,5264,212,栀音[看],[看],值得拥有[看],"我:我都要买！！！
钱包:你想多了[微笑]",哑米～哑米～～～[看],我相信老母亲会翻，翻山越岭。,想买时锦[泪奔],美[色][色][色],我相信总有一个大仙女会翻我[紫薇别走],十里姐姐[拥抱]
071202,9290,293,这个模特来穿我家月桂兔兔应该会很仙[看][看],我又爱上了这个系列怎么办[泪奔][泪奔][泪奔][泪奔][泪奔],看视频的时候我问钱包我配嘛？它告诉我中考考好了就配,这一世败在了十里的汉服摆下。(｡･ω･｡)ﾉ♡,十里是不是不用买汉服？？？[看],来了[玫瑰],一小时前的，肯定不热乎了，扔掉[泪奔][泪奔],哦，鬼，我今天刚放假呀[捂脸],我来啦[捂脸],我真的太喜欢镜华了[捂脸]
0713,2758,157,多变[看],老母亲虽然我买的凤栖翻车了，可是我真超喜欢你们家的汉服，我相信你们以后的质量方面可以越做越好，加油[赞],好可～,木偶娃娃：我在漂亮小姐姐的怀里碎觉觉呢,啊啊啊啊啊啊啊啊啊啊啊啊啊啊[大笑][大笑],六分钟前的还烫手嘛！！[泣不成声],老母亲，我来了[可怜],我媳妇儿抱着我女鹅[色][色],老母亲，你连我都不翻？你打算翻什么？翻山越岭、翻箱倒柜、翻天覆地、翻江倒海、翻来覆去、翻脸无情、翻空出奇、翻墨涂鸦、翻天作地、翻衾倒枕、翻然改图、翻黄倒皂、翻肠搅肚、翻然改悟，翻筋斗，所以翻吗,好看[坏笑][坏笑][坏笑]
0714,3615,155,汉尚和龙魂会出合作款吗[泪奔][泪奔]汉尚做娃衣龙魂做娃的那种[泣不成声][泣不成声],[惊喜][惊喜][惊喜][惊喜][惊喜][惊喜][惊喜],爱了爱了[玫瑰],"阿巴阿巴阿巴阿巴阿巴
好看好看好看好看好看
老母亲你最近不够宠粉喔⊙ω⊙都不翻我[流泪][流泪][流泪]",！！！番茄炒蛋的第一个字是啥[看][送心][送心][送心][送心],趴,[泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声]翻一下孩子吧,十里的动作真的和旁边的木偶很像[泣不成声],蹦瞎卡拉卡，蹦瞎卡拉卡[看][看][看],迟到多回，这次还行[看]
071402,3266,262,亿万年吧，一眼万年，我看了你不止一亿眼,漂亮小姐姐,十里还是一如既往的好看(｡･ω･｡)ﾉ♡,这个袖口也太戳了吧！,想想两年了吧[玫瑰],三年啦[看],来了[看]啊啊啊啊[泣不成声]翻我[看],不认识不认识，打死不认识[看][看][看],老母亲，我来了。[调皮],呜呜呜呜呜我好爱[泣不成声]
0715,7436,1929,我好喜欢你……,老母亲，我敲喜欢你[大笑],让我喜欢你,我也喜欢你(最好的喜欢莫过于互相喜欢吧[泣不成声][泣不成声][泣不成声]),我真喜欢你！十里看我[呲牙],我喜欢你兄弟[看][比心]暖心不[看][强壮],木偶娃娃：哇哦，又和漂亮小姐姐同框了呢,我只喜欢你[害羞][害羞]十里里呀！,孩子别黑化[感谢][看][看],黑化吧孩[看][心碎]
071502,3400,194,爱好是转圈？,哇哦,来了[玫瑰],老母亲不宠粉了[发怒],求翻[流泪][流泪],转圈圈,我是一个无情的小陀螺[害羞][害羞]转啊～转啊～转啊～,七分钟前的还热乎吗？,老母亲，你真的不爱我了[流泪][流泪]，不不不，这条视频走错了，真正的应该是十里喜欢沙雕[泪奔][泪奔],我是一直电动陀螺，但汉服就是我的遥控器[呲牙]
0716,31000,318,辞·九门回忆被你吃了？[看],美美美啊 [玫瑰][玫瑰],怎么办，老母亲不热了[流泪],是怎么做到那么多评论 然后我是第一个赞的[看],让十里唱啊@汉尚华莲汉服,"This time I'm 玩手机
I'm 玩啥好
I'm 玩吃鸡
I'm 被打死
I'm 很烦躁
I'm 玩别的
I'm 刷抖音
I'm 刷到你
I'm 评论了
I'm 等被翻",借个位置～祝江江考试顺利～怕打扰她不@她了,我又来晚了，猛女哭泣,我现在满脑子都是十里。[捂脸],十里好好看[泪奔][泣不成声]
071602,3160,1929,木偶戏系列汉服：镜华7.19上[爱心],坏蛋[打脸],你咋这么优秀[泣不成声][泣不成声][泣不成声],[比心],[如花][如花],我是老母亲[看],对滴[如花],好勒[害羞],[爱心],[如花][如花][如花]
0717,4121,264,老母亲，几月几日啊？！,店庆款什么时候上阿,老母亲[胜利][飞吻],这上新速度[泪奔]忒快了,嗷呜，好多十里[泣不成声][泣不成声][图片表情],最快的一次[鼓掌][鼓掌][鼓掌],期待[看][看],@圆啊是十元. 啊！想去想了一下还是乖乖看直播吧,哦吼[惊喜][惊喜][惊喜][惊喜],我又来晚惹[泣不成声]
071702,3530,233,[泪奔][泪奔][图片表情],这算赶上了吗老母亲,汉尚华莲家的画皮是绝版了吗？？？因为我之前买了，然后今天想去截屏的时候找不到了，客服说下架了[发呆]是绝版的意思还是？,又是喜欢十里的一天[送心],好看,汉尚华莲的汉服永远都那么好看[泣不成声],我的钱包又双叒叕开始挑衅我了[流泪][流泪][流泪][流泪],表白十里老母亲第90天[看][强壮],十里舞得太美了！[泣不成声][泣不成声],r是半径，12寸的半径是6，圆的面积πr²，也就是π.6²=36π，，同理6寸，π.3²=9π，，，所以36π/9π=4，，这么算的话，我又没抢到沙发[看]
0718,16000,668,@圣微 @庄翰_Roya @胡阿小小 锦衣卫团 @鹤川大人 @肉脸橙 @全麦小核桃 @宫寒Ghan @欧阳骏 @黄靖翔Nate [送心][送心][送心]国风大赏，我们来了,店庆款什么时候上新啊[捂脸]我搂搂我钱包看看配不配,想要十里身上这款啊啊啊啊,十里这套爱了,我就想问十里身上的上袄和云肩哪里买，我去店里没翻到,@十万八千里哩 十里穿的哪套啊？[白眼],十里里穿的是不是店庆款！,昙华一梦8月上吗？几号呢？冲[灵机一动],这里是盔甲小哥[看],十里穿的是哪套啊？
071802,4932,196,老母亲：记得赔一件汉服[看],母亲终于开始又毁十里的形象了[泪奔],你说要是整个人掉进去，洗了一遍，就改行了[看][看]@汉尚华莲汉服 [捂脸],日常黑十里[猪头][猪头],我可以拿反光板[看]扛相机也行[看],一个成熟的模特要学会自己打光了[看][看][看],还掌握了不少技能吗？[看][看][看],哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝,表白十里老母亲第91天[看],十里里好难[泣不成声][泣不成声][泣不成声]
0719,37000,890,十里打开扇子的时候真的有点憨憨的[捂脸][捂脸],十里[泣不成声]这一笑钱包又会瘪瘪的,求原聲[看],什么时候的事？？！十里又去走秀了[what],十里最美[飞吻],嘤嘤嘤嘤嘤嘤嘤 终于看到清楚的了 直播晃的我头晕[泪奔][泪奔][泪奔],8月出吗，昙花一现,[捂脸][捂脸][捂脸]太好看了,漂亮[鼓掌][鼓掌][鼓掌],十里身上啥时候上
071902,6969,245,学废了，没有十里老师这张脸和好身材，你说怎么办[泣不成声],麻袋都准备好了，选个颜色吧,我差点笑到把饭喷到我妹脸上[看],好像芭比娃娃，太美了,学不会[捂脸][捂脸][捂脸],老母亲最近都不翻了òᆺó,@十万八千里哩 @汉尚华莲汉服 买汉服送十里小姐姐嘛,妙啊,十里老师，小女子学会了.,绿茶标准小jiojio呢[泣不成声][看]
