视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0701,2991,63,这几套衣服都有吗，168，130可以穿吗,耳环有吗？,法儿头发什么颜色？好显白,披肩另买的吗,法儿，我超喜欢你[捂脸],法儿我想变成你这样瘦 你几斤？,发货很快，我前天下的单，昨天就收到了，而且质量超好,好👌,耳环有吗,项链好好看
0702,15000,191,7月4号七点半开播吗？有什么礼物，好期待法儿第一场抖音直播上新,抖音直播?坐等,我说这个时间怎么那么熟悉😂，创造营2020成团之夜直播也是这个点[泪奔],我承认，我心动了[呲牙],为了你家的漂亮衣服，我都开始减肥了[捂脸][捂脸][捂脸],法儿，你头发是什么发色,坐等法儿来直播,呀，真的是你来直播呀？期待@,刚生完宝宝，期待瘦下来，能穿上你家衣服的那一刻,法儿，这期的好多款式都好喜欢啊[思考]
0703,1025,72,7.13号会上的哈,7.13号新品呢哦,板栗偏棕色,半袖7.13新品哦[嘿哈][嘿哈],第一套的上衣有么,我喜欢这个T,这个半袖有？我要要,黄绿色T恤有吗,头发发色是什么颜色的？[捂脸],喜欢第一套的上衣，有吗
0704,1728,80,这个夏天的衣服都是法儿家的,法儿真是穿什么都好看,下面配什么,衣服很好看，能不能提个意见，下次小黄车能不能挂，搭配好的一套，我们都喜欢配好一套购买,这个吊带是在左边还是右边呢，,从7:30看到11:31 红包红包没抢到 一元一元没抢到 但是买到了自己喜欢的衣服[捂脸][捂脸]法儿啥时候宠我一下,法儿真美[玫瑰][玫瑰][玫瑰],这件怎么没看到,帽子有吗[捂脸],为啥晒不黑？奇怪
0705,1765,54,不用姿势 因为你腿本来就很长[泣不成声],法儿最漂亮💓,第一张戴花的，我都没认出宝儿，越来越美丽了,重点是人好看[捂脸],居然第一[大笑],求第一套银色外套 [微笑],第一套的外套有吗？,短裤链接,想要黑色吊带[微笑][微笑],黑色短裤有吗？
0706,362,61,亲，我想要里面搭配的裙子,裙子👗,想要裙子的链接[玫瑰],里面的裙子有黑色吗,最后那个歌叫什么名字,为啥淘宝不直播[酷拽][酷拽][酷拽],裙子,里面裙子有吗？,已买[可怜],穿着很不整齐啊
0707,6582,223,衣服链接,衣服已买，蓝色那套裙子有链接吗？,左边漏肩还是右边,法儿，你头发陪什么颜色啊，[捂脸],有项链链接吗？,在抖音上看到法儿家衣服 已经买了三四件 觉得值 价钱跟衣服是成正比的 喜欢,饰品在哪里买啊？,法儿头发啥颜色的。,饰品[捂脸]耳环也可以卖啊…喜欢,裤子有吗
0708,555,85,还冒气呢[呲牙],法儿多少斤,啊啊啊，我为什么没有在三亚艾迪逊酒店看到你！！！,玫粉色上衣有吗？？？,求上衣,上衣橱窗没找到哇,求上衣,法儿 这个裤子是什么布料的,一套有链接吗,[玫瑰]身材好穿什么都好看
0709,2123,113,模特是电视剧痕迹里的郑晓筠吗,美女多高咋,小个子穿会不会太长,发箍和耳钉有链接吗[灵机一动],厚吗？,显黑不,能出个xs码吗 每次买这种衣服s码 穿起来都好大,好看啊,为什么抖音显示228，淘宝285,113推荐哪个颜色？
0710,1786,529,发你了哦[灵光一闪],哈哈哈哈,发你了哈,你们家的衣服都比较适合高个子，什么时候有小个子的福利[送心][送心][送心],头发剪了吗,肚子大能穿吗[捂脸][捂脸],身上这套喜欢有吗,想要小姐姐身上这件黑色的衣服链接[害羞][玫瑰][玫瑰][玫瑰],身上裙子链接,你身上的衣服有链接吗？麻烦发我谢谢
