视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0625,50000,4367,所以姐子就是对吃的没什么欲望，我这么理解对吗[泣不成声],靓靓，我想看你拍那个扭腰换装的视频[泪奔][泪奔][泪奔],吃的也不少啊[捂脸]为什么这么瘦,姐姐你170cm，81.6斤[微笑]这也太瘦了吧！！！！！,那么瘦,确实，我一吃晚饭就胖,我星的！,对吃的没什么欲望 就是单纯的没什么食欲所以就吃的少吧[看],我不看,@爱喝奶茶🍓 要死啊[泪奔][泪奔][泪奔][泪奔]
0629,36000,836,衣服领子湿了，是哈喇子么[白眼],楚楚能不能快点更新！！,我终于发现你的问题了，你是不会画眼妆,什么时候上新啊楚楚,不行，我就要看那个！,@[赞][赞][赞][赞][赞][赞],咱俩同款黑点点,你化妆是精装修，我是刮腻子,我感觉你素颜比化妆好看啊,好A
0630,1707000,102252,听口音，姐妹是，南昌人波？,啊啊啊啊啊啊啊啊啊！我偷偷看楚楚你好久了！玩微博的时期就总看你的微博！我真的太开心了！！啊啊啊啊啊 我要转发给我爸我妈我哥我大姨我老叔我大姑我三姨和相亲相爱一家人的群里看！！,你这个裙子不给个链接吗！！！,楚楚辣台妹不是夸人的[泣不成声],你知道饭是什么味道的嘛,有代入感了，已经开始辣起来了[看],快！大家一人割一斤肉给她，让她知道社会的险恶[看],有的人长得一般，身材更一般，我……害！,刚还想吃薯片来着，看到你的视频，想想算了,？？？我lllb了
0702,132000,26898,[微笑]你是来专门气我们的吗,自从关注楚楚 我瘦了16斤[微笑],举报了兄弟们你们说我做的对吗[看],你这不是p图 是来让我们之间pie清关系的[笑哭],你为什么整天秀身材,@我是美女 哈哈哈,@Kaka [微笑][微笑]集美俺要气得晕古七咯[泪奔][泪奔],姐姐多吃点饭！,气死我了,太喜欢姐姐的性格啦！人也好美气质太棒了！！！！
0705,158000,13807,楚楚有第二双鞋子了？爷青结[呆无辜],没有黑裙子链接吗！,出门吃饭那个，应该是和男生吃饭时，和，和闺蜜一起吃饭时[泪奔][泪奔][泪奔][泪奔][泪奔],如果我那么瘦我也那样吃饭[微笑],我等你这条黑裙子[看],可恶明明已经把监控取了 为什么还有[咒骂],@妮妮 @是铃铃. @钟情于你 @钟钟. @9.,是我必须,真实,@念念. [泪奔]
0709,90000,2273,番茄炒蛋的第一个字是什么[看],小黑裙是真的好看啊啊啊啊啊啊啊 一次购买 终身粉丝 求新鲜点的 白色色调的新品呀,@胡楚靓 关注你之前我爸所有视频看完了[泣不成声]，关注后，我就是你粉丝了（三天前）,楚楚这是你们的高中校服吗,我想吃蛋糕,是我永远到不了的身材了,@扶摇 羡慕吗,@ZWX [看],有有有,这条裙子上新了没
0710,21000,672,我要有这样的腿 我就在天安门停车场洗澡[泣不成声][泣不成声][泣不成声],？走开[看][看],她天生的,瘦女孩的姐妹都是瘦的[泣不成声][泣不成声],拍照姿势也是个视频素材，可以拍好几期，然后我们再杠一杠，为什么我们拍出来腿不长呢，你在杠回来，好了今年所有的素材都有了[捂脸][捂脸][捂脸],我不行,@69啊 [泣不成声][泣不成声][泣不成声][泣不成声][泣不成声],@小朱想暴富 你啥时候变成辣妹,哦,年龄小穿什么都好看
0711,185000,26234,信不信我可以比你扭的更到位[酷拽][酷拽][酷拽]〔[笑哭][笑哭][笑哭][笑哭]〕,好了，你成功了，卖出去了1806件了[酷拽],不会吧，难道只有我一个校内校外一样土[酷拽][酷拽],右边那件衣服我准备买的,太瘦了别人,@筱妹妹哟 回来拍,@[赞][赞][赞][赞][赞][赞],这个是因为背景音乐好听，准备哪天摇一摇听听啥歌,？？。？,@安 你喜欢的类型
0718,36000,2175,老胡你终于更新了 好久不见你都想你了[打脸][打脸][打脸],虽然你可能不是粉丝，但我觉得还是要尊重一下吧，Jennie[害羞]谢谢,你闺蜜为啥珍里妮气的[看][强壮],全抖音就我一个人吃饭吗[微笑],有亿点点像jenne？？？[泣不成声],橘里橘气[可怜][可怜][可怜][可怜][可怜][可怜],@大W @嗯 谁跪,@多爱美女少受罪 爱死了,哇哦,钱拿来
0719,64000,2326,女生的小心机就是拍照的时候翘二郎腿怕腿上肉肉被挤出来不敢全部放下去[猪头],楚楚身材比例也太好了吧 明明个子高可是坐下却比旁边矮[皱眉],这个背心裙为啥在店铺找不到！！,求求你了回我一个吧我想发朋友圈求求了求求了呜呜呜呜呜呜呜[泣不成声]@胡楚靓,我知道，我来告诉你[灵机一动],[舔屏][舔屏][舔屏]兴奋的大母猴申请加为好友,爱上小胡素颜说话的样子[嘘],有木有人觉得你姐妹有点像jennie,我爱了,对不起打扰了
