视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0524,120000,655,有衬衫消息告诉我一声,我想买外套，但是不知道要怎么搭配，求一下内搭。[捂脸],我看中外套了咋整,@Aimee。4：有人偷你视频火了 在她下面评论艾特你还被拉黑了 什么人啊,长衬衫在哪里买,防晒好看，咋卖,终于这首宝藏歌曲被发现了，我真的好爱这歌[捂脸][捂脸][捂脸],长衬衫哪里,我不喜欢太深沉的人，实在是猜不透[捂脸][捂脸]也许我太单纯，想的太浅，所以容易被骗,@雾见清欢ꦿ
0525,7906,363,买了一直不发货 然后退了一直不给退 估计是要销量呢,这个包我买了 好看 质量还行[赞],有包包链接没,谁买过这件衣服、质量怎么样,咱们家发货可不可以快点[捂脸],独爱你，气质小姐姐,[比心][比心]
0531,15000,762,裤子穿着很舒服就是亲爱的你多高？我160穿着拖地的拖[捂脸],亲，裤子，和宝宝有链接吗，都要了,看好包了！给个链接吧[666],我特别喜欢穿这条裤子[耶]我想说你没换一款包包我就想买。别换太勤了。💰包更不上了，[快哭了],哈哈哈哈看见后面跟拍的影子有点可爱[泪奔],女孩子活着活着就活成铁了,是的，低谷期时自己一个人熬过来的。现在的温柔也是在一次次教训学会的。没有对不起任何人，只有对不起自己。好好爱自己[一起加油][一起加油],身高174，102斤。穿这个上衣会不会太短？,包包什么牌子的多钱,温柔的阳光
0603,32000,1301,"“学会收集快乐的瞬间，用来回击那些糟糕的日子~”
[微笑][微笑][微笑]",怎么买？直播间吗？,我去问了客服没理我 我是想问里面是不是有裤子 还是和衣服连在一起的 165 112斤应该穿什么号[捂脸][捂脸][捂脸][捂脸],对ta说，谢谢有被敷衍到,自己挣钱自己花，找个男朋友肯定也要找个和自己一样优秀的啦，不可能找个男朋友来降低自己的生活质量吧，没有本事的人才会说女人物质,太对了,漂亮[赞],身材好，衣服好,@wuli🎌 晚安,长腿是特效？
0604,22000,980,做梦都想要的身材，唉，还是放弃继续吃吧[微笑],如果我再高个5厘米 我也不会这么自卑了,很喜欢你的风格，我168高，92斤，问下你头发染的什么色，烫的什么发型呢,想要这条小黑裙,到底是买衣服还是看美女走路，看不到衣服具体图片的,我165穿，感觉太短了,怎么买,有颗减肥的心，却管不住自己的嘴！老想着明天开始少吃，然而那个明天[捂脸],长腿的宝宝穿短裤短裙都好看,我感觉70多[衰]
0611,6083,335,包包有链接嘛,不把包包链接发出来，我以后都不看你这么漂亮的姑娘,小姐姐，头发是什么颜色的。,喜欢,妈呀,这首歌好适合黄昏啊,上衣链接呢,认真你就输了,永远有人更好，眼下便是最好,"最近听到一句三观很正的话，""你可以因为现任不好而分手，但千万不要以为别人更好，永远有人更好。眼下便是最好。"""
0615,27000,1530,我要有你这身材我走路肯定是横着走,这件上衣在橱窗里边怎么找不到,从现在开始减肥 死命减 只要不死就往死里减 [酷拽],不吃不喝都瘦不成这样，瘦死骆驼比马大[捂脸][捂脸],我缺的不是好看的衣服是一个这样的好身材[捂脸],随便点暂停姿势都好看[玫瑰],不看个七八十几遍我是不会划走的[捂脸][捂脸][捂脸],看到你的视频我就想减肥，看到美食的食品就把你抛诸脑后了，我是不是太见异思迁了,就算没身材，我也只想瘦[灵机一动],即便是这样，但穿衣服确实比胖的穿着好看
0616,9070,558,晓晓 我买了衣服和618活动差价 申请了两天了咋也没个动静呢[捂脸],背影已得天下，回首刹那芳华。[送心][送心][送心],虽然我没有这样的身材，但是也不想要这样的身材，光骨头棒棒,不是所有女生[黑脸],主要是你太好看,可能吧 我发小也是高挑纤瘦的身材,这只是瘦，和身材好没关系[捂脸],@小师妹 这点也有,今年好流行这个短裤,[蛋糕]
0624,3480,3480,这个包怎么买,白色针织衫有没有链接,今天想通了明天又不行了，那些失落在心里就会反复出现随之而来的就是无休止的难过，我什么时候才能好起来啊？,我爱了一个已婚男人，他喜欢穿中山装，下巴有颗痣[比心],我进过男厕所 还好没有人[笑哭],愿你在我看不到的地方狼狈至极，愿你的冬天没有暖阳,想我在天堂的的奶奶，想跟她分享我的生活一切。,我想把我老公脑袋揪下来当球踢,愿考试顺利[一起加油],想离婚，想去旅游
0626,8321,379,你是怎么瘦的[捂脸]告诉我呗、我不会告诉别人的[机智],裙子没有链接啊宝贝儿,因为你得骨子出卖了你的眼睛[捂脸],天生你说气人不[呲牙],不会了,可能境遇不同，他的绝情让我学会死心，我拼尽全力去爱，换来的都是最后的恶心,告诉我你的身高体重，我好有个目标[呲牙],裙子没有链接呀亲,缘分啊 我一刷就刷到这个了[看],这都能碰到[捂脸]
