视频序号,点赞数,评论总数,01,02,03,04,05,06,07,08,09,10
0306,36000,539,哈哈哈[心],嘻嘻嘻,Zara的,你拍的效果真不如别的博主[绝望的凝视],穿两件衬衫不热？？？？,我那天就错开扣，我老公说你扣子扣错了[捂脸],你和久久是姐妹吗,白色衬衫搭格裙[皱眉],要洗两件衣服[泪奔],太喜欢九九和十十了
0307,29000,1555,你喜欢就好,@小阳春六 给有你喜欢呢,喜欢第四套,第一套上衣是啥呀,等我再瘦瘦[泣不成声],@幼稚王≯ 你试这种的,在家 你随意,@揽星辰入梦 我觉得我穿哪套你都不会高兴的,爱了爱了！[赞],我看到她简介写的170/50[泣不成声]
0310,1039,101,求手机壳链接,第一套有链接吗[泣不成声],西遇家的,[泣不成声][泣不成声][泣不成声],美死了[捂脸],买[看],@七栀很甜 第一套我好爱,除了第一套都可以尝试,你觉得我穿的上哪一个,好看好看
0324,5030,200,嘻嘻，我比较喜欢九九姐,我想要外套链接[捂脸],他母亲的你倒是找个胖子过来试穿阿 还显瘦显瘦 自己瘦的跟个刀螂似的你跟我说显瘦？[微笑],灰色休闲裤有链接吗,没有人比我更喜欢你了[流泪],来啦来啦 十十看一下我 太爱你的身材啦,是的，亲妹,哈哈哈哈哈,[奸笑]九九妹妹啦,认真的，她真是九九亲妹
0326,1393,154,@Sunkcost 搞他妈的[微笑][微笑][微笑],姐姐过年长肉肉了[看],关键没有这个腿[捂脸],我也！！！,@小鱼干儿都给你 太想要这种身材了！！,咱们可以安排[玫瑰][玫瑰],@霓虹心° 俺喜欢[微笑],我应该多看下这种视频，才会下定决心减肥[泪奔][泪奔],可以,大胯怎么穿[捂脸][捂脸][流泪][流泪]
0412,13000,1212,@135斤的啵妞,@Aaa武汉赵小棠 看！！,能知道镜子尺寸多少吗,来啦来啦[送心][送心][送心],好温柔呀,好看,还🉑️,我是冬天的味道,快了一起一起,@💋Dreamer Yy 这个呢
0413,2036,154,哇连纹身都抄？？？？,很累吧搬了这么多地方,不是郭九九吗，怎么又来个十十[捂脸],遮住脸，九九十十傻傻分不清！,[666],[666],镜子多大啊,太瘦太好看了吧[泣不成声],好好看,衣服抄的开心吗
0414,1980,115,模特穿衣服有点显黑,十十十十！第二套裤子你穿的多大码啊,求你们姐妹几个行行好放过我的荷包[泪奔],等十十的小红book！！！,来了[泪奔]迟到了,裤子的链接嘞[快哭了][快哭了][快哭了],前排了,好喜欢十十的气质啊，还有你的粉丝糊了，不翻个面吗[看],第一[泣不成声],是姐妹喔
0430,7284,575,好牛逼啊，她拥有了奇迹暖暖的衣柜[黑脸][黑脸][黑脸][黑脸],哈哈哈哈哈哈哈哈哈哈哈哈哈哈,@迪士尼[灵机一动],嗯比较符合我的气质,@Re  ✨ 好漂亮,有链接吗？啊啊啊啊啊,找到了，看qq,@是小灿鸭 帮我找个链接 找n久没找到 qq发我一会删抖音,你本来就很瘦,等我瘦下来吧
0510,957,88,最后的长腿给我来一打！,第三套在哪[泣不成声],太🉑️了[赞],6666,买,@李什么李 都爱了,姐妹亲姐妹,蓝T那件有吗。,第一套的包包有链接不[呲牙],@ELIAUK 这样行不行
0613,4532,214,十十能不能说一句你宠我[捂脸][捂脸][愉快][愉快],[爱心][爱心][爱心][爱心][爱心][爱心][爱心],第二[比心],第一[猪头],她们亲姐妹[不失礼貌的微笑][不失礼貌的微笑],感觉算是模仿吧,亲姐妹,刚开始穿的防晒想要链接,好看[玫瑰][玫瑰][玫瑰],哈哈哈哈哈郭十十[偷笑]关注九九啦第一次刷到十十也关注啦
0614,215,24,是 他。 在 ￼￼ 厂调皮[鼓掌]时,喜欢💕,你多高[泣不成声][泪奔],第一条可以做成不开衩的吗[捂脸]我太喜欢了但是我妈看到会锤我[捂脸],郭九九，郭十十，郭十一[吐血],老婆呀[比心],好看好看[赞],爱了爱了,亲姐妹哦,我也很好奇[捂脸]
