用户名,编号,点赞数,评论数,评论
叶儿茶叶店,D:/douyin/info/10.json,795,136,不敢住！怕[呲牙]
叶儿茶叶店,D:/douyin/info/10.json,795,136,个提供食宿[捂脸][捂脸]
叶儿茶叶店,D:/douyin/info/10.json,795,136,这是，相对，吗
叶儿茶叶店,D:/douyin/info/10.json,795,136,住一辈子行吗
叶儿茶叶店,D:/douyin/info/10.json,795,136,[笑哭]我在慢慢见证一个大网红崛起
叶儿茶叶店,D:/douyin/info/10.json,795,136,这是什么水车
叶儿茶叶店,D:/douyin/info/10.json,795,136,这是什么呀！很少见
叶儿茶叶店,D:/douyin/info/10.json,795,136,这个真的少见
叶儿茶叶店,D:/douyin/info/10.json,795,136,哪里还有这玩意儿？
叶儿茶叶店,D:/douyin/info/10.json,795,136,关注你很久了还没有回音呢靓妹！
叶儿茶叶店,D:/douyin/info/11.json,1684,165,一盆有这么多呀，假的吧，
叶儿茶叶店,D:/douyin/info/11.json,1684,165,这叫请君入瓮可是[捂脸]
叶儿茶叶店,D:/douyin/info/11.json,1684,165,哈哈！好久没见过这种抓鱼方法了，叫请鱼是吧
叶儿茶叶店,D:/douyin/info/11.json,1684,165,好
叶儿茶叶店,D:/douyin/info/11.json,1684,165,小时候经常这样抓鱼，给小猫吃
叶儿茶叶店,D:/douyin/info/11.json,1684,165,石头把小鱼都砸死了[捂脸][捂脸][捂脸]
叶儿茶叶店,D:/douyin/info/11.json,1684,165,小时候经常在大河里下闷子。
叶儿茶叶店,D:/douyin/info/11.json,1684,165,鱼子都搞完了！我们小时候在上西河外婆家！药的都是筷子长的！
叶儿茶叶店,D:/douyin/info/11.json,1684,165,我就喜欢混水摸鱼[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][比心][比心][比心][比心][比心][比心]
叶儿茶叶店,D:/douyin/info/11.json,1684,165,这是什么捕法
叶儿茶叶店,D:/douyin/info/12.json,474,62,去下西河啦
叶儿茶叶店,D:/douyin/info/12.json,474,62,叶儿 脚疼？[捂脸][捂脸][捂脸]
叶儿茶叶店,D:/douyin/info/12.json,474,62,这么好看的地方，在哪啊？
叶儿茶叶店,D:/douyin/info/12.json,474,62,这地方一般车过不去
叶儿茶叶店,D:/douyin/info/12.json,474,62,[比心][比心]
叶儿茶叶店,D:/douyin/info/12.json,474,62,那女孩谁[疑问]
叶儿茶叶店,D:/douyin/info/12.json,474,62,下西河吧
叶儿茶叶店,D:/douyin/info/12.json,474,62,美妞结婚吗[惊喜][惊喜][惊喜][飞吻][飞吻][飞吻][送心][玫瑰]
叶儿茶叶店,D:/douyin/info/12.json,474,62,我爱你宝贝亲爱的老婆[爱心][爱心][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
叶儿茶叶店,D:/douyin/info/12.json,474,62,我表妹[捂脸]
叶儿茶叶店,D:/douyin/info/13.json,973,171,我要去吃饭[害羞][害羞][害羞]
叶儿茶叶店,D:/douyin/info/13.json,973,171,用河水洗菜吗，你们那山上应该有自来水吧
叶儿茶叶店,D:/douyin/info/13.json,973,171,加多个碗筷，我来吃饭，品尝新鲜山溪小河虾，新鲜蔬菜[鼓掌][握手][玫瑰]
叶儿茶叶店,D:/douyin/info/13.json,973,171,这是在哪里？
叶儿茶叶店,D:/douyin/info/13.json,973,171,什么时候带我过两天[呲牙]
叶儿茶叶店,D:/douyin/info/13.json,973,171,个沼虾热人
叶儿茶叶店,D:/douyin/info/13.json,973,171,美女晚上好，这个东西，不是一般的人说有就有的，我们农村人，有可能享受到
叶儿茶叶店,D:/douyin/info/13.json,973,171,看你经常煮河虾吃，你那河种里真多，我这河里小鱼都快绝种了
叶儿茶叶店,D:/douyin/info/13.json,973,171,好美[比心]
叶儿茶叶店,D:/douyin/info/13.json,973,171,我想吃锅巴！
叶儿茶叶店,D:/douyin/info/14.json,1357,189,亚红啊，我还是喜欢吃我们舒城的锅巴，不喜欢喝锅巴汤[捂脸]
叶儿茶叶店,D:/douyin/info/14.json,1357,189,你们那里我去过，在金寨，那里的人好客，而且很朴实[比心][比心][比心][比心]
叶儿茶叶店,D:/douyin/info/14.json,1357,189,第一次见这种吃法[捂脸][捂脸][捂脸]
叶儿茶叶店,D:/douyin/info/14.json,1357,189,我滴孩来，夜里刷到要我轻命了[捂脸]
叶儿茶叶店,D:/douyin/info/14.json,1357,189,叶儿我喜欢你，喜欢你，说了多少遍了，我喜欢你。
叶儿茶叶店,D:/douyin/info/14.json,1357,189,这个锅盔是最好吃的。
叶儿茶叶店,D:/douyin/info/14.json,1357,189,上学那会吃得现在见到锅巴就不想吃
叶儿茶叶店,D:/douyin/info/14.json,1357,189,浪费了，这样吃，最经典的就是直接吃这个锅巴！
叶儿茶叶店,D:/douyin/info/14.json,1357,189,这叫锅巴汤，什么锅巴水[呲牙]
叶儿茶叶店,D:/douyin/info/14.json,1357,189,铁锅饭，来你家吃
叶儿茶叶店,D:/douyin/info/15.json,578,71,我是来看人的[灵机一动]
叶儿茶叶店,D:/douyin/info/15.json,578,71,停播三天是不是PK的惩罚？还是有其他更重要的事呢[可爱][呲牙]
叶儿茶叶店,D:/douyin/info/15.json,578,71,这是那里？万佛湖吗？
叶儿茶叶店,D:/douyin/info/15.json,578,71,有彩虹[赞]
叶儿茶叶店,D:/douyin/info/15.json,578,71,居然有彩虹??????????????????????????????????????????????????????????????????????????????????????????????
叶儿茶叶店,D:/douyin/info/15.json,578,71,叶儿这是哪里呀
叶儿茶叶店,D:/douyin/info/15.json,578,71,太美了
叶儿茶叶店,D:/douyin/info/15.json,578,71,守住寂寞[感谢]
叶儿茶叶店,D:/douyin/info/15.json,578,71,这是佛子岭水库还是横排水库？
叶儿茶叶店,D:/douyin/info/15.json,578,71,大别山不仅是山美，水美，人更美，
叶儿茶叶店,D:/douyin/info/4.json,412,54,我来第一个评论[赞][赞][赞]
叶儿茶叶店,D:/douyin/info/4.json,412,54,贤惠又勤快小蜜蜂[赞]
叶儿茶叶店,D:/douyin/info/4.json,412,54,这个方法 和我那一样，八钢盖子[大笑][大笑]
叶儿茶叶店,D:/douyin/info/4.json,412,54,这个盖子有点历史了，恋旧
叶儿茶叶店,D:/douyin/info/4.json,412,54,饺子还可以这样包吗[捂脸]
叶儿茶叶店,D:/douyin/info/4.json,412,54,[一起加油][一起加油][一起加油]
叶儿茶叶店,D:/douyin/info/4.json,412,54,我非常认识你说的话[赞][赞][赞]
叶儿茶叶店,D:/douyin/info/4.json,412,54,你可有婆家嘛[呲牙]
叶儿茶叶店,D:/douyin/info/4.json,412,54,茶叶怎么卖？
叶儿茶叶店,D:/douyin/info/4.json,412,54,"还有一个就是无病
虽然我吃不到，还是想问是什么馅的[呲牙]"
叶儿茶叶店,D:/douyin/info/5.json,789,172,今天生日，祝我生日快乐吧[微笑]
叶儿茶叶店,D:/douyin/info/5.json,789,172,"生日快乐[蛋糕]
要不我来帮你干活
管饭就行了
看着你干这活好心疼[赞]"
叶儿茶叶店,D:/douyin/info/5.json,789,172,祝你生日快乐??天天开心。
叶儿茶叶店,D:/douyin/info/5.json,789,172,生日快乐！[玫瑰]喜欢你[iloveyou]
叶儿茶叶店,D:/douyin/info/5.json,789,172,祝小美女生日快乐[蛋糕][蛋糕]
叶儿茶叶店,D:/douyin/info/5.json,789,172,生日快乐[比心][比心][比心][比心][比心][666][666][666][666]
叶儿茶叶店,D:/douyin/info/5.json,789,172,叶宝宝真是能文能武！[赞][赞][赞]
叶儿茶叶店,D:/douyin/info/5.json,789,172,巾帼须眉[赞]
叶儿茶叶店,D:/douyin/info/5.json,789,172,麻来帮你干活[呲牙]
叶儿茶叶店,D:/douyin/info/5.json,789,172,手容易起泡
叶儿茶叶店,D:/douyin/info/6.json,414,63,叶儿这伙食有点跟不上营养需求撒[不看][不看][不看]
叶儿茶叶店,D:/douyin/info/6.json,414,63,今晚的伙食太不像话了
叶儿茶叶店,D:/douyin/info/6.json,414,63,丫头想吃什么到江店来：我请你全家：
叶儿茶叶店,D:/douyin/info/6.json,414,63,西饭
叶儿茶叶店,D:/douyin/info/6.json,414,63,这个花海碗端得有水平[赞]
叶儿茶叶店,D:/douyin/info/6.json,414,63,哇吃稀饭 [耶][耶][耶][耶]
叶儿茶叶店,D:/douyin/info/6.json,414,63,我也想吃
叶儿茶叶店,D:/douyin/info/6.json,414,63,就喜欢这个咸豇豆
叶儿茶叶店,D:/douyin/info/6.json,414,63,饭是道具
叶儿茶叶店,D:/douyin/info/6.json,414,63,羡慕你的生活，就好像以前我小时候
叶儿茶叶店,D:/douyin/info/7.json,482,60,你那风景很美
叶儿茶叶店,D:/douyin/info/7.json,482,60,纯天然绿色无污染，绝对好看
叶儿茶叶店,D:/douyin/info/7.json,482,60,你晚上什么时候直播，我来看你
叶儿茶叶店,D:/douyin/info/7.json,482,60,在细看差点就要亲上啦[捂脸][捂脸][捂脸]
叶儿茶叶店,D:/douyin/info/7.json,482,60,贤妻良母 谁娶了谁受益[握手][赞][赞][赞][呲牙]
叶儿茶叶店,D:/douyin/info/7.json,482,60,好看也不是我家的
叶儿茶叶店,D:/douyin/info/7.json,482,60,女朋友你老了[捂脸][捂脸]
叶儿茶叶店,D:/douyin/info/7.json,482,60,哈哈，越看越顺眼[呲牙][呲牙][呲牙]
叶儿茶叶店,D:/douyin/info/7.json,482,60,看上你了，喜欢你[玫瑰][玫瑰][玫瑰]
叶儿茶叶店,D:/douyin/info/7.json,482,60,本来就很美
叶儿茶叶店,D:/douyin/info/8.json,841,73,这块石头给我搬回去
叶儿茶叶店,D:/douyin/info/8.json,841,73,美女，你还是舍不得不几条小鱼不，可以再回来呗
叶儿茶叶店,D:/douyin/info/8.json,841,73,起锅烧油
叶儿茶叶店,D:/douyin/info/8.json,841,73,有归属感就好。
