用户名,编号,点赞数,评论数,评论
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,麻烦把你二姨挂个链接，谢谢[泣不成声]
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,一个光小强，一个张喜喜太让我上头了
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,我太馋你家的粽子了[泣不成声]
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,吃这么多，放的屁一定很臭[捂脸]
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,吃饭无聊的时候就默默打开关注找到你看你吃[泣不成声]
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,为啥那么瘦，简直没有天理了
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,@小杨要暴富鸭. @?羊咩咩咩 @LIGHT?? @三三两两， 这个点了总不能饿我一个
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,大家都想知道你的二姨，二姨太好了
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,光小强好像和小翔哥拍过照。
吃饭啦-光小强,D:/douyin/info/1.json,26000,3282,辣椒酱 火鸡面的酱加沙拉酱还有米饭这几个一起吃吃完不得窜稀 [不失礼貌的微笑]
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,米饭也许会迟到 但永远不会缺席[捂脸][捂脸][捂脸][捂脸]
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,最大的愿望就是吃一顿你做的饭
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,我的妈呀。本来晚上减肥不吃饭了，结果又想来份炸鸡[泪奔]
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,你的食欲简直了，还有为啥还是那么瘦[流泪]
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,烤箱设置多少度？
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,我点了外卖了。
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,减肥期间看你视频，我真是找虐[泪奔]
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,@一吃桃就变桃太郎 你是不是要给我安排一下，大厨
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,@DZLM @4 @K*P*R 看个够，我决定了我明天要吃烤肉[抠鼻]
吃饭啦-光小强,D:/douyin/info/10.json,74000,13000,@老妹你可真有劲儿 看饿了
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,把你二姨链接挂一下，谢谢配合
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,上一下二姨的链接，我们保证抢光[捂脸]
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,咱俩一直配合的很好，你吃一口我咽一口
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,有谁馋他的粽子许久了[看]
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,在他视频里就没难吃的东西[衰]
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,一人血书求粽子链接[看][看]
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,不要说了，快吃给我看，我等着咽口水[尬笑]
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,二姨的粽子在哪里买啊，想买[捂脸]，这蛋黄看着就很好吃
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,你吃烤肉粽子 我啃梨[泪奔][泪奔][泪奔]
吃饭啦-光小强,D:/douyin/info/2.json,59000,9074,这个音乐配的特别好，心情都变好了
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,终于不是吃饭的画面了[鼓掌][鼓掌]
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,感谢您百忙之中抽空敷衍我们[微笑]
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,这辈子最大的愿望就是吃上他家的一口饭。
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,米饭要[泣不成声]
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,米饭要，排骨要，米粉要
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,像一个朋友，太喜欢了??
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,啥时候抽粉丝去家里吃饭
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,在无锡，我们集体去蹭饭吧
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,看了他视频，我就心心念念烤五花[捂脸][捂脸]
吃饭啦-光小强,D:/douyin/info/3.json,250000,2211,我是真的不知道为啥他每天吃那么多还不胖[捂脸][捂脸]
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,新粉都在认真看，老粉都在找米饭[抠鼻]
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,你文案是不是错了[看]
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,文案配错了吧 哪来的汉堡[泪奔][泪奔][泪奔]
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,看来真好吃[呲牙][呲牙]
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,文案配错啦
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,@人间仙桃? @zT~............ @愛農農吖！ 我好馋[泪奔][泪奔][泪奔]
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,@Cc？ @陪她看? @kkkl 啊，晚安晚安，多看看
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,你是我见过美食博主中能看到视频里有真实咽进去食物的[赞]喜欢！
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,只吃不胖，让我情何以堪
吃饭啦-光小强,D:/douyin/info/4.json,16000,1277,@鹤. @南巷倚梦 @奶瓶又丢了 @@ikun [泣不成声]
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,我有一个梦想就是吃一下光小强做的饭[白眼][白眼][白眼]一小小小口也可以[白眼][白眼]
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,新粉都在认真看，老粉都在找米饭[呆无辜]
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,以为小强被限流了，一看时间原来是我来早了[泪奔]
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,每次看他的视频，他吃什么我都好想吃！！
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,天呐 居然把上下集一起发了 太幸福了[泣不成声]
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,@肥瑶的饲养员 他提醒我了[泣不成声][泣不成声][泣不成声]
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,@阿序 他是不把骨头也吃了
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,@江海寄槐序 别客气[泪奔]
吃饭啦-光小强,D:/douyin/info/5.json,51000,6397,@小妍爱喝奶茶 [吐舌][吐舌][吐舌]
