用户名,编号,点赞数,评论数,评论
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,难道你们没发现最后是我给哥开了一个大玩笑吗[泣不成声][泪奔]
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,你们不是天天要我哥露脸吗 知道我哥未来嫂子是哪位吗[看]
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,你哥带你见嫂子，你却和你哥穿情侣睡衣[灵机一动]
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,"白天刷抖音：不是美女就是腿[看]
晚上刷抖音：不是吃播就是鬼[看]"
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,"?系统提醒
━━━━━━━━━━━
您好！@小美吃吃吃
您的粉丝即将到期，
是否续费？
━━━━━━━━━━━
确认　│　确定"
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,为了见学姐你哥把指甲油卸了[泪奔]
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,你俩穿睡衣去的？[看]
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,你知道什么叫做深夜放毒吗？[黑脸][赞]
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,嘴里的饼干突然就不香了
小妹吃吃吃,D:/douyin/info/1.json,888000,3278,你们俩穿睡衣见未来嫂子[看]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,每天一个生活小窍门[一起加油]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,然后发现，水费比方便面还贵[看][玫瑰]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,@小美吃吃吃 姐姐阔以试一试云雷泡面吗[看][强壮]谢谢姐姐[黑脸]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,盐包只能放一点@小美吃吃吃 盐量超标
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,说真的 [捂脸]这点明胶 没必要的 影响不到身体 说白了某种情况下用自来冲面饼反而不好因为面会吸收进自来水而且自来水内 有可能二次污染 弄到最后影响面的口感还有可能闹肚子更毁身体啊姐姐[捂脸]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,粘上你的自来水更脏[看][看]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,姐姐翻我！你真的每天都会翻我吗？[送心][送心][送心][送心][送心][送心][送心][送心][送心][送心][送心][送心]@小美吃吃吃
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,@小美吃吃吃 瞧，你哥哥那嫌弃的样子[机智]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,@小美吃吃吃 其实就简单用开水泡三分钟。把泡过的水倒掉。再放入调料包。拌一拌再加点水。就可以了呀。[灵机一动]
小妹吃吃吃,D:/douyin/info/10.json,98000,2255,哈哈哈，你哥现在想吃个泡面都不容易了[看]@小美吃吃吃
小妹吃吃吃,D:/douyin/info/2.json,1083000,19000,@小美吃吃吃 姐姐，翻我[快哭了][快哭了]
小妹吃吃吃,D:/douyin/info/2.json,1083000,19000,那个藕粉叫什么@小美吃吃吃
小妹吃吃吃,D:/douyin/info/2.json,1083000,19000,@小美吃吃吃 右边的那个辣条不是一块钱一袋的麻辣诱惑么？
小妹吃吃吃,D:/douyin/info/2.json,1083000,19000,@小美吃吃吃 ，翻我[可怜][可怜][可怜]
