用户名,编号,点赞数,评论数,评论
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,真的特别鲜美，好吃不贵，强烈推荐[灵机一动][灵机一动]
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,再别家买过，被骗了！烂的！！蔫了！！[捂脸]
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,跟着美丽学起来[调皮]每天一道好吃的海鲜
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,为什么我买了也是烂的啊，还没泡两分钟就烂烂的
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,菜少油多
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,现在猪肉都涨价了[微笑]
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,太多油了
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,比之前的好看多了
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,1分钟前，还热乎吗
海鲜女孩冯美丽,D:/douyin/info/1.json,2592,63,第一[泣不成声][泣不成声][泣不成声][泣不成声]
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,龙虾换龙虾，总觉得哪里不对[发呆]
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,也不知道表哥有没有放屁熏到龙虾??就直接放锅里了
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,抠门的憨哥，下次把门反锁
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,表哥 你太聪明了 用一个小龙虾 换一顿美食 该减肥了啦
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,超喜欢你的视频
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,小龙虾换一锅 不亏
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,这小龙虾有点味道
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,又来蹭饭了[捂脸][捂脸][捂脸]
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,憨哥礼物一次比一次廉价了[捂脸]
海鲜女孩冯美丽,D:/douyin/info/10.json,35000,385,不喜欢表哥，不让它再出来了行吗！
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,我折的纸扇漂亮吗？[呲牙]
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,小纸扇你们还会折吗？
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,这样的扇贝肉做法你们去试，不好吃你回来打我[灵机一动][灵机一动]
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,姐妹们要的扇贝肉教程来啦[灵机一动]建议收藏[比心]
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,这个扇贝肉，后面的那坨黑的，不清理嘛？
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,干净吗？会不会有沙的感觉
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,买了你家扇贝肉，虽然个头还可以，但是总感觉口感不好，总觉得没熟[捂脸]
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,你捂这么严实 吃的不热吗[捂脸]
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,你跟那个吃大葱的男人是不是一家的？[捂脸]
海鲜女孩冯美丽,D:/douyin/info/2.json,84000,2818,你说你跟那个吃大葱喝健力宝的是什么关系
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,"秘制捞汁配方：
350ml水，一勺老抽，两大勺生抽，少量料酒，一勺白糖，一勺藤椒油，一勺辣油，适量白芝麻。最后加上蒜泥，青红辣椒，葱花即可。这捞汁捞鞋底都香！[灵机一动]"
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,姐妹们，饿了没？[奸笑]
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,明天都是看完你在睡觉[捂脸]
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,这也太馋人了，姐姐，可以出一下调料汁不，感觉超级好吃
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,天天都能翻到你 说好的减肥看到吃的那么香还是忍不住打开手机点了个外卖[捂脸]
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,为啥那么大口[捂脸]
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,每次我都看不到你在吃啥。注意力全在嘴上
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,边看边咽口水
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,还好我吃完饭了[泣不成声]但是还是馋[捂脸][捂脸][捂脸]
海鲜女孩冯美丽,D:/douyin/info/3.json,20000,607,今天肠胃炎 你是我最羡慕的女人
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,表哥气走了，估计暂时不会来我家了[泪奔]
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,憨哥走了[发呆]
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,翻茄炒蛋的第一个字是什么??
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,后面电视机放的是葫芦娃吗？
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,太香了
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,表哥天天在，不太好，[捂脸][捂脸][捂脸][捂脸]
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,下次不要带表哥了好吗，不想看表哥[捂脸]
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,冯贝勒我觉得你缺个刘海[呲牙]
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,一个人一生吃多少都是注定的
海鲜女孩冯美丽,D:/douyin/info/4.json,18000,112,这个蒜吃的谁敢待在你身边都是大蒜味[吐]
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,你们知道什么是：上上下下，左右左右，ABAB吗？[奸笑]
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,你们玩过魂斗罗吗？
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,亲爱的，还是像最初那样，别让你表哥出境了[捂脸]
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,为什么我白天永远刷不到你，晚上一定会刷到你
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,洋葱不辣吗
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,正在减肥的我 看的好馋[泣不成声]
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,我能谁便吃点吗[呲牙]
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,来啦，今天好前[泣不成声]
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,在以后吃好吃的别带你表哥了他的吃相很差
海鲜女孩冯美丽,D:/douyin/info/5.json,9004,71,一分钟之前
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,你们说不喜欢憨哥，吓得他不敢在视频里说话，只光顾着吃了[呲牙][呲牙]
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,憨哥其实吃了两大碗饭[闭嘴]
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,这个表哥以后别让他来了
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,能不能不要叫你表哥上镜
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,看得我流哈喇子
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,美女，你在哪里买点生蚝啊
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,主要喜欢这个环境
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,求你了 下次别带表哥入镜了.
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,@仓鼠不吃苞米 饿了吗[强壮]
海鲜女孩冯美丽,D:/douyin/info/6.json,4541,69,我觉得憨哥挺可爱的啊[捂脸]
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,为什么你们吃东西都是[如花]这样撅着嘴吃的[泪奔]
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,太傻了，[捂脸][捂脸]好亏哦
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,亏大了啊[看][捂脸]
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,[捂脸]可不可以叫这个表哥别再出现了，[捂脸]看他吃东西顿时就不香了
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,我说你表哥吃的太脏了，叫他吃好点。
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,我没有要黑任何人的意思[捂脸]第一次见大哥就感觉有点脸熟[捂脸]刚才一看想起来了，像那个太古里的赫本
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,前排[灵机一动]
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,晚上刷到的羡慕不[看]
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,我买过，可不好吃了
海鲜女孩冯美丽,D:/douyin/info/7.json,7462,47,兄弟，我告诉你，你亏了，人家那个是二手大螃蟹，你这个是正版小螃蟹
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,跟着美丽学起来[调皮]每天一道好吃的海鲜[灵机一动]
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,你表哥没来啊！怕你连汤都喝不到[泣不成声][泣不成声][泣不成声]
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,海鲜女孩不吃海鲜，爷青结[微笑]
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,裙带菜炖排骨，很健康哦[害羞][害羞][害羞]
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,终于看到个清淡的了
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,我也爱吃裙带，就是做不好，每次做出来味道都不对[捂脸]
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,裙带和海带的区别是？
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,今日表哥怎么没来[呲牙][呲牙][呲牙]
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,看着很香，但是你也要注意身体[爱心][爱心][爱心]
海鲜女孩冯美丽,D:/douyin/info/8.json,1956,25,六分钟前，求翻
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,美丽出品，必是精品[灵机一动]
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,小米辣蒜蓉酱卖不卖
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,"还好表哥没来,可吓死我了[泣不成声]"
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,馋死了[害羞]
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,这个是女孩吗 是女孩她妈吧
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,很喜欢你做的小米椒蒜蓉辣椒酱[送心][送心]，非常合我胃口，看得我垂涎三尺??[我想静静][我想静静][我想静静]
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,表哥怎么不来了
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,一分钟前欧耶
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,美丽姐翻我[泣不成声]
海鲜女孩冯美丽,D:/douyin/info/9.json,3254,72,今天终于没人来蹭饭了[捂脸]
