用户名,编号,点赞数,评论数,评论
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,我怎么感觉现在的女生酒量不是盖的[泪奔]
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,作为一个男孩喝多了怕被带走[看][看][看][看][看][看]
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,两个小时前的。已经没有机会被作者翻了。?????
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,徐博士 翻呗[泣不成声][泣不成声][泣不成声][泣不成声]@爱喝酒的徐博士
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,好吧，晚了，肯定看不到我了
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,我来了我来了我来了
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,翻我（这二字虽然简短，却毫无保留的写出了的评论者对作者的重视，又体现了其坚持不懈，敢于直面自己心声的勇气，更表明了评论者想关注作者的迫切心情[看][看][看]）
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,这回来的早了，你要翻吗
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,两分钟前，不热乎了@爱喝酒的徐博士
爱喝酒的徐博士,D:/douyin/info/10.json,15000,197,我糊啦
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,正听的精彩呢，蒙的来了一句“ 一起爬山阿 ” 逗乐我了。[捂脸]
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,徐博士这次你居然这次没有亲自调酒[看]
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,网恋受过伤，下乡插过秧，空姐请看出我的悲伤
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,不怕奶油配酒，就怕秃然让你去爬山
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,徐博士，这是什么歌呢？
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,一起爬山吗？我带照相机[看]
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,我感觉我还有机会徐博士[呲牙][呲牙][呲牙][呲牙]
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,我的钱包又要被徐博士勾搭了[泣不成声]
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,我还有机会么
爱喝酒的徐博士,D:/douyin/info/11.json,25000,457,照相吗，顺便给你摆姿势[害羞]
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,小费六毛钱？[闭嘴][闭嘴][闭嘴]
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,徐阿姨日常不会[看]
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,[捂脸][捂脸][捂脸]团队做的号真可怕 几种40度的酒混合到一块就变60-70度了[笑哭][笑哭][笑哭][笑哭][笑哭][笑哭] 这是我今年听过最牛逼的笑话了 哈哈哈哈哈 哈哈哈哈哈
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,都是40几度的基酒，调和一起后咋会成了60-70度呢？ 数学上理解不了啊
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,"老板，来一杯今夜不回家！
别问我为什么，问就是:你们酒吧沙发睡着很舒服"
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,那如果我多烧几次是不是就没有度数了[拥抱]
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,三分钟前能不能翻一下？
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,两分钟前，翻我一下呗[捂脸]
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,徐博士 第一啊 翻不@爱喝酒的徐博士
爱喝酒的徐博士,D:/douyin/info/12.json,79000,1192,问：四瓶50度的酒混在一起的混合液度数是多少？[做鬼脸][做鬼脸]
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,这个是干红还是甜红呀
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,首赞求翻。
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,[奸笑]又想诱导我买酒
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,溜了溜了，徐博士不翻人了，她的粉丝全跑了，你若不挽留我我也跟着他们跑[泪奔]
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,徐博士 八分钟热乎吗 翻一下吧[泣不成声]@爱喝酒的徐博士
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,好可爱的小红酒！！睡前微醺很OK??
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,六分钟前的，还热乎吗，好的，已经不热乎了
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,美女翻我[派对][派对]
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,三分钟前的，确定不了解一下?[看]
爱喝酒的徐博士,D:/douyin/info/13.json,16000,206,能翻我不[呲牙]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,博士视频的热度越来越高啦，求翻[呲牙]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,然后如果遇到在酒吧让你喝酒的人拒绝不了，怎么办？有什么说词吗？就是一个人去，然后没办法脱身的那种。[流泪]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,翻[拥抱]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,怎么感觉徐博士有点像……
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,呀！徐博士居然侧着拍走路了[可怜]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,我三年级的时候喝过，就那么一小口睡了一下午。[捂脸][捂脸][捂脸][捂脸]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,@??? @sin. 要小心[看]是帅哥就一定要走心[看]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,原谅我把伏特加听成了伏拉夫[泪奔][看][黑脸][黑脸][黑脸][感谢]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,长岛一杯倒?我怕是喝了假酒[捂脸]
爱喝酒的徐博士,D:/douyin/info/4.json,39000,497,求一个背景音乐啊
