用户名,视频编号,点赞数,评论数,评论
米坦,D:/douyin/info/11.json,8873,379,潮汕人表示老家的生腌虾生腌蟹生腌一些贝类真的超级无敌宇宙好吃啊！！！
米坦,D:/douyin/info/11.json,8873,379,[泣不成声]看你们日本博主吃寿司，，我点了北极贝，三文鱼，，，，章鱼脚。。。[流泪][流泪][流泪]我可能只适合吃中国菜～
米坦,D:/douyin/info/11.json,8873,379,为啥编号是倒着的
米坦,D:/douyin/info/11.json,8873,379,少介绍了蒜瓣[灵机一动]
米坦,D:/douyin/info/11.json,8873,379,你后面翘起一根头发
米坦,D:/douyin/info/11.json,8873,379,后脑勺的呆毛好几期了吧[看]
米坦,D:/douyin/info/11.json,8873,379,不行，我粽子和豆腐脑都要吃咸的我这个不南不北的人像个憨皮
米坦,D:/douyin/info/11.json,8873,379,很想问问你买的是什么牌子的刀，我家的总是用一段时间就顿了
米坦,D:/douyin/info/11.json,8873,379,酱油是什么的
米坦,D:/douyin/info/11.json,8873,379,半生不熟的能行？要么生要么熟
米坦,D:/douyin/info/12.json,20000,625,对各种食材理解真的透，切的妥妥的[看][看][看]
米坦,D:/douyin/info/12.json,20000,625,这样买一斤不是有半斤水？
米坦,D:/douyin/info/12.json,20000,625,为什么我在外面吃的没有一点甜味呢？我吃到假的了？
米坦,D:/douyin/info/12.json,20000,625,@司波打野不给就送 贝黑了之后煮一煮就粉了
米坦,D:/douyin/info/12.json,20000,625,闭壳肌没吃？那个可甜@米坦
米坦,D:/douyin/info/12.json,20000,625,忽然间发力塞到嘴里，是想趁它不注意吗？[尴尬]
米坦,D:/douyin/info/12.json,20000,625,不你说错了一点，懒人之所以叫懒人，是因为懒，所以懒人从不擦东西[泪奔][泪奔][泪奔]
米坦,D:/douyin/info/12.json,20000,625,这期之前发过了[泪奔]
米坦,D:/douyin/info/12.json,20000,625,万人血书，大肠刺身
米坦,D:/douyin/info/12.json,20000,625,下次考虑换个口头禅，把嗯，换成啊……[看][看][看]
米坦,D:/douyin/info/13.json,2638,88,你怕是不知道中国有生抽哟[酷拽]
米坦,D:/douyin/info/13.json,2638,88,米坦哥，生蚝也可以吗？
米坦,D:/douyin/info/13.json,2638,88,我想要你经常用的那个酱油
米坦,D:/douyin/info/13.json,2638,88,疯狂心动，最近吃鸡胸肉想吐
米坦,D:/douyin/info/13.json,2638,88,这个调味醋，确实好吃，烤肉和涮菜的完美CP
米坦,D:/douyin/info/13.json,2638,88,日本有人吃鱼露吗[抠鼻]
米坦,D:/douyin/info/13.json,2638,88,以前留学的时候经常和你一起打游戏，求翻
米坦,D:/douyin/info/13.json,2638,88,加糖了吗
米坦,D:/douyin/info/13.json,2638,88,买了，希望好吃
米坦,D:/douyin/info/13.json,2638,88,寿司赤醋怎么搞
米坦,D:/douyin/info/16.json,13000,480,如何区分虾屎和虾膏啊
米坦,D:/douyin/info/16.json,13000,480,据说日本大河虾没人吃，大小和你这个差不多，日本河虾是不是白捡的那种
米坦,D:/douyin/info/16.json,13000,480,可是我不知道叫什么虾
米坦,D:/douyin/info/16.json,13000,480,请教一下，你的蛋皮是怎么煎的，[巧克力]
米坦,D:/douyin/info/16.json,13000,480,我是感觉这个那么像明虾[看]@米坦
米坦,D:/douyin/info/16.json,13000,480,这次是热乎的坦，虾的外壳好像我们国内的沙虾，老粉求翻[思考]@米坦
米坦,D:/douyin/info/16.json,13000,480,今天第一次吃猪大肠所以一定要刺了他[看]
米坦,D:/douyin/info/16.json,13000,480,这不就是虎虾吗？只不过比较小一点。[看]
米坦,D:/douyin/info/16.json,13000,480,看看那虾壳像不像你的jio指甲[看]
米坦,D:/douyin/info/16.json,13000,480,卡乐b虾条，就用这种虾做原料
米坦,D:/douyin/info/20.json,9818,452,差一颗灵魂，完美
米坦,D:/douyin/info/20.json,9818,452,这跟猫有什么关系吗[白眼]
米坦,D:/douyin/info/20.json,9818,452,@313航 我买木鱼花了
米坦,D:/douyin/info/20.json,9818,452,我想要酱油链接[看]
米坦,D:/douyin/info/20.json,9818,452,我真心不觉得木鱼花有多鲜美[捂脸]
米坦,D:/douyin/info/20.json,9818,452,想到之前我店里有个女生第一次吃猫饭 叫我过去疯狂大叫 饭上面有虫在动 [泪奔]我过去一看 好家伙 她说的是因为米饭热气翩翩起舞的木鱼花 还非要拍个视频说要投诉我们店[尴尬]
米坦,D:/douyin/info/20.json,9818,452,我以前有次买了一大包木鱼花，结果客服说最多冷藏储存五天[捂脸]我估计我一个月都吃不完，后来五天了，我舍不得碰其实吃起来并没有什么变化和不适，直到昨天已经半年过去了[捂脸]还有一大半，给扔了。
米坦,D:/douyin/info/20.json,9818,452,既然是猫饭，你不喂猫干嘛自己吃了
米坦,D:/douyin/info/20.json,9818,452,米坦，阿里嘎豆是什么意思？
米坦,D:/douyin/info/20.json,9818,452,怎么坦哥推什么入什么，快宠我[害羞]
米坦,D:/douyin/info/21.json,25000,1211,米坦已经不在意墨囊破不破了？
米坦,D:/douyin/info/21.json,25000,1211,这就对了嘛，吃生的对你身体最好了
米坦,D:/douyin/info/21.json,25000,1211,我以为刺身都是生的呢，这种做法跟白灼有什么区别呢
米坦,D:/douyin/info/21.json,25000,1211,章鱼 鱿鱼 乌贼这些有什么不一样的吗？
米坦,D:/douyin/info/21.json,25000,1211,夏天到啦 去年的无比滴还有吗[捂脸]
米坦,D:/douyin/info/21.json,25000,1211,还变色了
米坦,D:/douyin/info/21.json,25000,1211,米坦，你中间好像口误了[看]
米坦,D:/douyin/info/21.json,25000,1211,这些吸盘还吃这次会把吸盘单独吃吗[大笑] 我记得米坦有一次把章鱼吸盘单独做料理了[灵机一动]
米坦,D:/douyin/info/21.json,25000,1211,唯一一个看不饿的吃播[看][看]
米坦,D:/douyin/info/21.json,25000,1211,下次可以弄芥末章鱼吗[泣不成声]我超爱
米坦,D:/douyin/info/4.json,8773,354,原来米坦还卖海鲜呢[泪奔]，我以为只卖调料[泪奔]
米坦,D:/douyin/info/4.json,8773,354,支持支持[鼓掌] 商家态度很好，给我补发了
米坦,D:/douyin/info/4.json,8773,354,说到当天，如果23:59分反馈怎么办哈哈哈哈哈哈哈哈哈哈哈哈对不起我知道很惨但是太好笑了
米坦,D:/douyin/info/4.json,8773,354,你卖的坐便清洁液也很坑！！！！说用半年1周就用完了
米坦,D:/douyin/info/4.json,8773,354,之前买的松茸鲜蔬粉超级棒[赞]
米坦,D:/douyin/info/4.json,8773,354,我以为你凉了其实是我来早了[呆无辜]
米坦,D:/douyin/info/4.json,8773,354,这才是一个好博主该有的作风！！[赞][赞]反观那些卖臭鱼烂虾的，卖出去几十份全是差评直接下架商品装死人，高下立判
米坦,D:/douyin/info/4.json,8773,354,顺便问一下，迷彩你到底住在哪儿，日本还是中国？
米坦,D:/douyin/info/4.json,8773,354,广州没暴雨谢谢...其他产品咧？货不对版怎么说..
米坦,D:/douyin/info/4.json,8773,354,根本不是！那么为什么不退货？？
米坦,D:/douyin/info/5.json,25000,2758,这不就是舌头鱼吗，国内市场上挺常见的
米坦,D:/douyin/info/5.json,25000,2758,这不是比目鱼么
米坦,D:/douyin/info/5.json,25000,2758,说出来你可能不信 我公司的课长三枚切这鱼就用七秒 全豊洲市场最快的 人称ソール（舌平目）マシン[捂脸]
米坦,D:/douyin/info/5.json,25000,2758,番茄炒蛋第一个字是什么[看][看]
米坦,D:/douyin/info/5.json,25000,2758,@Supermoon 我的妈龙利鱼长这个样子
米坦,D:/douyin/info/5.json,25000,2758,求翻[灵机一动][看][看]不翻改寄刀片了[看][看]
米坦,D:/douyin/info/5.json,25000,2758,红鲤鱼与绿鲤鱼
米坦,D:/douyin/info/5.json,25000,2758,第一次见完整的龙利鱼 长的跟鞋垫似的[笑哭][笑哭]
米坦,D:/douyin/info/5.json,25000,2758,一人血书大肠刺身满黄[看][看][看][强壮]
米坦,D:/douyin/info/5.json,25000,2758,表示第一次见龙利鱼真身[捂脸]
米坦,D:/douyin/info/6.json,2664,129,清心湖的花生芝麻酱不是你的最爱了[呆无辜]
