用户名,编号,点赞数,评论数,评论
苏蕾,D:/douyin/info/10.json,4298,464,我买了黄桃一个多星期了，都不见来货，不知是不是上当了[流泪]
苏蕾,D:/douyin/info/10.json,4298,464,刚下单买了你家的梨，
苏蕾,D:/douyin/info/10.json,4298,464,多汁还不酸，又香又甜，又苏又脆，很好吃，看着都流口水。
苏蕾,D:/douyin/info/10.json,4298,464,给我来一箱
苏蕾,D:/douyin/info/10.json,4298,464,我买了还没收到，担心不好吃，之前在另外一家买的梨收到啃一口就不想吃了，全部扔了，又买你家来了，这次要不好吃以后打死不抖音上买了
苏蕾,D:/douyin/info/10.json,4298,464,怎么卖的
苏蕾,D:/douyin/info/10.json,4298,464,我刚下完单，明天能发货吗？
苏蕾,D:/douyin/info/10.json,4298,464,坐等收货了
苏蕾,D:/douyin/info/10.json,4298,464,我也买的这种梨，比较粗，水份不多，还不如皇冠梨的口感，后悔了
苏蕾,D:/douyin/info/10.json,4298,464,我的下单两天了，还没发货，什么情况
苏蕾,D:/douyin/info/11.json,3639,198,还没收到货的朋友谅解一下，这几天订单太多，已经陆续给大家发货了，马上就会收到物流信息[玫瑰]
苏蕾,D:/douyin/info/11.json,3639,198,你这个是什么梨，是酥脆一号吗？
苏蕾,D:/douyin/info/11.json,3639,198,我昨天晚上也在你这买了，，大概什么时候发货
苏蕾,D:/douyin/info/11.json,3639,198,我买4箱去一个没得吃，听我外甥女好吃
苏蕾,D:/douyin/info/11.json,3639,198,买了5斤9个，还可以，估计没有5斤
苏蕾,D:/douyin/info/11.json,3639,198,老板 你好 想知道 9斤是满箱还是里面有空？
苏蕾,D:/douyin/info/11.json,3639,198,个大吗
苏蕾,D:/douyin/info/11.json,3639,198,今下已送到，梨子味道不错，满意，下次再购
苏蕾,D:/douyin/info/11.json,3639,198,来一斤
苏蕾,D:/douyin/info/11.json,3639,198,地址发给我，我要三十箱
苏蕾,D:/douyin/info/12.json,2568,97,下单时说最多两天发货，到现在没反应[捂脸]
苏蕾,D:/douyin/info/12.json,2568,97,支持你[玫瑰][赞]
苏蕾,D:/douyin/info/12.json,2568,97,我为什么每天刷到这个人呀……！他用什么方法呀！
苏蕾,D:/douyin/info/12.json,2568,97,博士成功把普通果农的饭碗给抢啦，现代社会干啥都要有危机感，不然……，乞丐也是啊……！！！
苏蕾,D:/douyin/info/12.json,2568,97,你要二婚了吗？还结婚[捂脸]
苏蕾,D:/douyin/info/12.json,2568,97,你不是结婚了吗？孩子都多大了
苏蕾,D:/douyin/info/12.json,2568,97,农村领结婚证不叫结婚，只有举办婚礼才算是结婚了！
苏蕾,D:/douyin/info/12.json,2568,97,这话说得多好听，这就是智慧！明明是婆家因你而发，偏偏说的那样给足婆家面子的话，你真正把婆家当做自己的家了。这样的女子不让富贵也不成！
苏蕾,D:/douyin/info/12.json,2568,97,你命真好[赞]饭都吃不上了还养的那么漂亮！
苏蕾,D:/douyin/info/12.json,2568,97,穷且益坚[比心]生活总是充满沟沟坎坎，办法总比困难多[爱心][爱心]
苏蕾,D:/douyin/info/13.json,4729,145,苏蕾，辛苦了，[色][色]
苏蕾,D:/douyin/info/13.json,4729,145,砀山梨都是绿色的吗？以前买到是黄色的
苏蕾,D:/douyin/info/13.json,4729,145,我昨天晚上下的单，信息显示支付成功，一会又来信息说未支付，但是银行卡对接显示已支付，姓名周洪*，怎么回事
苏蕾,D:/douyin/info/13.json,4729,145,小姐姐早上好
苏蕾,D:/douyin/info/13.json,4729,145,阳信鸭梨前几年有个做法，叫采青，就是不熟把个大的摘了卖，不好吃，把口碑都弄坏了
苏蕾,D:/douyin/info/13.json,4729,145,比超市还贵，还是吃多少买多少吧
苏蕾,D:/douyin/info/13.json,4729,145,你们太累了，大家还是不要买了，让人家作息一下
苏蕾,D:/douyin/info/13.json,4729,145,你博士老公没有安家费养你吗？还能给家属安排工作的
苏蕾,D:/douyin/info/13.json,4729,145,全部都是套路，炒红为了带货
苏蕾,D:/douyin/info/13.json,4729,145,带货就带货，别打着爱心助农的名号
苏蕾,D:/douyin/info/14.json,19000,615,砀山属于安徽北部，东靠江苏徐州，北连山东菏泽，西接河南商丘。但是正宗砀山梨是国庆节后上市。
苏蕾,D:/douyin/info/14.json,19000,615,正常理解砀山梨是砀山酥梨，但是这个不是酥梨，即使是砀山出产的也不能叫砀山梨，这个时候的梨应该是黄冠梨
苏蕾,D:/douyin/info/14.json,19000,615,四省是指河南，江苏，山东，安徽。
苏蕾,D:/douyin/info/14.json,19000,615,萧县葡萄砀山梨，符离集烧鸡数第一[捂脸]
苏蕾,D:/douyin/info/14.json,19000,615,这媳妇漂亮！[色][色][色]！你婆家不咋的啊[捂脸][捂脸]
苏蕾,D:/douyin/info/14.json,19000,615,美女怎么我下单买了九斤的梨，怎么不够九斤的啊[疑问][疑问][疑问]
苏蕾,D:/douyin/info/14.json,19000,615,梨子收到了，真心难吃，我一般不爱给人差评
苏蕾,D:/douyin/info/14.json,19000,615,广东潮州梨卖的贼贵，一公斤十二元，感觉吃不起[流泪]
苏蕾,D:/douyin/info/14.json,19000,615,两块钱一斤被你卖到6块一斤，牛逼
苏蕾,D:/douyin/info/14.json,19000,615,砀山梨，出身不凡，这代言人不是一般人[微笑]
苏蕾,D:/douyin/info/15.json,6448,247,真卖10000吗？？？
