词语,出现次数
这个,11
锦鲤,5
推荐,5
中国,5
就是,5
韩国,4
可以,4
特别,4
感觉,4
没有,4
姐姐,4
不好,3
不是,3
韩语,3
没用,3
真的,3
超级,3
怎么,3
产品,3
漂亮,3
抗生素,3
欧尼,3
看到,2
为啥,2
韩文,2
中文,2
开始,2
头发,2
睡觉,2
那么,2
三十块,2
上次,2
你们,2
好用,2
之后,2
而且,2
宝贝儿,2
今天,2
推广,2
黑头,2
皮肤,2
需要,2
肯定,2
38,2
知道,2
两管,2
什么,2
激素,2
本身,2
敏感,2
国外,2
小姐姐,2
喜欢,2
护发,1
宝贝,1
Pony,1
立马,1
加入,1
购物车,1
发展,1
人来,1
有些,1
意见,1
买来,1
十多,1
就行,1
里面,1
只有,1
一半,1
我用,1
普通,1
复发,1
一样,1
区别,1
本来,1
想要,1
蓬松,1
所以,1
发现,1
比起,1
一句,1
刚刚,1
是不是,1
忘放,1
优惠券,1
Lust,1
阿珂,1
柔顺,1
说实话,1
护发素,1
真不去,1
蜂花,1
大二,1
学期,1
原本,1
干燥,1
顺滑,1
不用,1
天天,1
差不多,1
两三天,1
一次,1
一生,1
身边,1
好多,1
朋友,1
平价,1
性价比,1
无无无,1
胡萝卜,1
评论,1
窝用,1
好好,1
LA,1
嘻嘻,1
护体,1
专场,1
一直,1
有效,1
方法,1
价格,1
死心,1
保养,1
每天,1
使用,1
美容,1
仪么天,1
太贵,1
买不起,1
自己,1
加油,1
乱入,1
改善,1
毛孔,1
仪器,1
配合,1
每次,1
啥时候,1
抽到,1
抖主,1
这句,1
今年,1
刚好,1
似乎,1
得到,1
同款,1
大面积,1
爆痘,1
粉刺,1
不敢,1
消炎药,1
治疗,1
妇科病,1
皮肤病,1
但是,1
甲硝,1
成分,1
还有,1
抗药性,1
孕妇,1
慎用,1
明明,1
医院,1
皮肤科,1
药品,1
成网,1
果然,1
国内,1
世界,1
东西,1
普遍,1
不能,1
乱用,1
居然,1
这里,1
化妆品,1
好巧,1
一管,1
快用,1
个人,1
觉得,1
作用,1
運動,1
肌肤,1
美美,1
心情,1
谢谢,1
分享,1
R3oynn,1
护肤,1
哪里,1
痘痘,1
已经,1
神仙,1
颜值,1
药店,1
好美,1
雨萤,1
pony,1
实不相瞒,1
其实,1
Zzzb,1
阿兰,1
培训,1
那个,1
用过,1
两罐,1
盒子,1
仪式,1
感前,1
两年,1
买过,1
六十多,1
两盒,1
旗舰店,1
现在,1
涨价,1
太多,1
看看,1
嘉许,1
好像,1
凉丝丝,1
附身,1
哈哈哈,1
今晚,1
听起,1
难受,1
终于,1
等到,1
还好,1
放弃,1
之前,1
泥坊,1
过期,1
