词语,出现次数
真的,12
这个,9
颠儿,8
分享,7
东西,6
没有,5
德妃,5
能用,4
定妆,4
喜欢,4
六神,4
颠哥,4
推荐,4
一个,4
敏感,3
最后,3
谢谢,3
现在,3
好用,3
可以,3
那种,3
油皮,3
妖娆,3
系列,3
啊啊啊,3
便宜,3
淘宝,3
老师,2
方法,2
没用,2
感谢,2
适合,2
自己,2
哈哈哈,2
夏天,2
还是,2
多少,2
什么,2
怎么,2
感觉,2
皮肤,2
补水,2
孩子,2
这么,2
产品,2
应该,2
不到,2
是不是,2
试试,2
超好,2
宝宝,2
song,2
芙丽芳,2
清爽,2
良心,2
入手,2
知道,2
喷雾,2
就是,2
分装,2
嗅觉,2
实验室,2
小样,2
压盘,2
宝贝,2
肌肤,1
不是,1
一两天,1
去掉,1
我用,1
所有,1
经过,1
内调,1
重要,1
男人,1
我们,1
才子,1
音里,1
孕妇,1
一到,1
暴汗,1
头发,1
湿透,1
为了,1
碎了心,1
各种,1
一块,1
一支,1
si,1
男神,1
雅诗兰黛,1
粉底液,1
遮盖力,1
色号,1
还行,1
口音,1
东北,1
哈哈,1
干皮会,1
黑眼圈,1
还好,1
贺贺,1
博主,1
郑爽,1
olay,1
老粉,1
简直,1
心里,1
可用,1
基底,1
健康,1
不能,1
同意,1
美白,1
白天,1
混干皮,1
只选,1
不选贵,1
你们,1
加油,1
班长,1
还有,1
再也,1
不能不,1
护肤,1
不要,1
浪费,1
看上去,1
只用,1
留香,1
半小时,1
时候,1
有点,1
涨价,1
哈哈哈哈,1
乐死,1
彩妆,1
颠嫂,1
今天,1
这堂,1
帅哥,1
买个,1
心动,1
口罩,1
三个,1
双颊,1
泛红,1
额头,1
下巴,1
长痘,1
闭口,1
咋整,1
草纪,1
茶树,1
哪个,1
丝用,1
确实,1
温和,1
用来,1
湿敷,1
棒棒,1
没用过,1
之前,1
一直,1
紫苏,1
功效,1
差不多,1
祛痘,1
两款,1
下款,1
入德妃,1
最靠,1
再生,1
修复,1
那个,1
特好,1
拥有,1
姓名,1
亲爱,1
我来,1
美妆博主,1
虽然,1
化妆,1
是从,1
大批大批,1
出来,1
精品,1
无论,1
总有,1
一款,1
颠哥家,1
买过,1
无数次,1
下个,1
尤其,1
上次,1
单买,1
眉笔,1
九块,1
超级,1
正想,1
哥儿,1
护肤品,1
比较,1
姑姑,1
怀孕,1
店铺,1
两种,1
准备,1
试一试,1
414,1
三套,1
五个,1
真好,1
眉毛,1
再也不会,1
半天,1
散粉,1
家买,1
不比,1
一两百,1
三观,1
不行,1
冒充,1
喷好,1
搞笑,1
不管,1
控制,1
办法,1
太阳,1
一样,1
只能,1
取关,1
一下,1
上妆,1
一步,1
湿粉,1
隔离,1
防晒,1
宝妈,1
一枚,1
视频,1
我能,1
穷死,1
最近,1
很多,1
该不该,1
没什么,1
悲伤,1
白色,1
柏瑞美,1
种草,1
很久,1
我昂,1
赶不上,1
卧槽,1
大老爷们,1
居然,1
pick,1
me,1
粉底,1
脸会,1
刺痛,1
看到,1
今日,1
笔记,1
扁豆,1
澳秘,1
彩蝶,1
谷美妆,1
说白了,1
当然,1
找到,1
奥秘,1
原装,1
小样儿,1
而已,1
可能,1
想用,1
好怕,1
陌上,1
太爱,1
为什么,1
保真,1
哪买,1
