词语,出现次数
这个,7
头发,7
好好看,6
真的,5
还是,5
什么,5
可以,5
刷子,4
感觉,4
发色,4
好看,4
就是,4
越来越,3
颜九,3
好用,3
九九,3
九儿,3
皮肤,3
这么,3
阿九,3
舅舅,2
msq,2
支持,2
现在,2
时候,2
刷包,2
一次,2
关注,2
喜欢,2
没有,2
怎么办,2
不会,2
最近,2
已经,2
太美,2
发型,2
有点,2
颜色,2
富婆,2
所以,2
出来,2
朋友,2
卸妆油,2
口红,2
卸妆水,2
一下,2
敏感,2
干皮用,2
自己,2
新品,2
一天,2
变白,2
提前,2
期待,1
试用,1
反馈,1
产品,1
超好,1
大卖,1
特卖,1
面部,1
眼部,1
刷形,1
一模一样,1
我会,1
哈哈哈哈,1
终于,1
付定金,1
包当,1
那句,1
双眼皮,1
褶子,1
上铺,1
知道,1
不配,1
化妆,1
刷颜值,1
认真,1
少女,1
哪个,1
比较,1
18,1
翻过,1
原来,1
一样,1
绿色,1
刷桶,1
纠结,1
居然,1
但是,1
好贵,1
包装,1
这次,1
妹妹,1
一套,1
画眼妆,1
看着,1
觉得,1
紫葡萄,1
不错,1
哈哈哈,1
因为,1
你们,1
不过,1
还有,1
小众,1
我种,1
smart,1
cookies,1
胶片,1
加入,1
购物车,1
妈耶,1
妆容,1
混脸,1
熟来,1
可怜,1
小包,1
监控,1
想不到,1
黑发,1
可爱,1
眼睛,1
离不开,1
红头,1
下面,1
神仙,1
翻翻,1
之前,1
没买,1
三支,1
黄皮,1
别改,1
今天,1
视频,1
依然,1
这样,1
炼成,1
卸妆,1
到位,1
应该,1
助理,1
爬山,1
乳化,1
眉毛,1
适合,1
睫毛,1
怎么,1
做到,1
先存,1
存钱,1
是不是,1
sephora,1
套装,1
生日,1
特难,1
买买,1
最好,1
心疼,1
要是,1
早发,1
一个,1
一般般,1
不太,1
推荐,1
身体,1
求嘴,1
上口,1
红色,1
干净,1
植村秀,1
划算,1
那个,1
干皮,1
这款,1
怎么样,1
超难,1
承认,1
我要,1
打开,1
橘色,1
软件,1
试试,1
点赞,1
四百,1
新鲜,1
热乎,1
好好,1
反省,1
这么久,1
不仅,1
学到,1
变美,1
技巧,1
反而,1
别的,1
理由,1
好奇,1
想要,1
起码,1
几个,1
刚上,1
就算,1
博主,1
拿到,1
好几个,1
没多久,1
为什么,1
dior,1
forever,1
白色,1
下来,1
本身,1
肤色,1
还要,1
补水,1
修护,1
脸上,1
红血丝,1
去掉,1
之后,1
用过,1
挺不错,1
问问,1
原意,1
成为,1
刚刚,1
超级,1
哥好,1
斑点,1
去除,1
油皮,1
多长时间,1
没看,1
回来,1
