词语,出现次数
豆豆,24
这个,16
喜欢,8
什么,7
推荐,6
喷雾,6
可以,5
有没有,5
真的,5
化妆,5
口红,5
链接,4
好看,4
笔记,4
就是,4
东西,4
好好,4
啊啊啊,4
知道,4
一下,3
想要,3
皮肤,3
头发,3
香水,3
薄荷,3
椰影,3
白沙,3
雪梨,3
冰沙,3
纯净,3
之水,3
自己,3
可爱,3
哈哈哈,3
Babe,3
姐姐,3
粉底,3
颜色,3
颐莲,3
超级,3
粉底液,2
过来,2
那个,2
好像,2
觉得,2
好用,2
猪猪,2
一个,2
你们,2
视频,2
凉月,2
特别,2
三叶草,2
没有,2
之前,2
木质,2
最后,2
睡眠,2
面膜,2
绿色,2
不是,2
蓝色,2
下去,2
祛痘,2
不能,2
太帅,2
时候,2
一直,2
还是,2
这么,2
沐浴露,2
手足,2
吸油纸,2
发色,2
豆妈,2
店铺,2
色号,2
是不是,2
安利,2
活动,2
一定,2
广告,2
我来,1
尔木萄,1
眼影,1
昙雅,1
眉笔,1
pf,1
ukiss,1
睫毛,1
打底,1
学生,1
试卷,1
堆里,1
品牌,1
俗人,1
怎么样,1
我学,1
泰国,1
MAI,1
初三,1
本本,1
diudiu,1
sia,1
保养,1
小李,1
通透,1
七秋,1
集美,1
真实,1
使用,1
绝美,1
我染,1
厉害,1
两天,1
反差,1
很大,1
害怕,1
黑爪,1
耳钉,1
好好看,1
牌子,1
或者,1
娇兰,1
几款,1
博主,1
味道,1
今天,1
画眼线,1
西柚,1
无花果,1
香薰,1
豆儿,1
sophie,1
听见,1
柠檬,1
椰香,1
葡萄柚,1
香梨,1
柑橘,1
清香,1
薄荷香,1
香皂,1
兴奋,1
样子,1
带上,1
动车,1
讲道理,1
关注,1
小姐姐,1
百香果,1
不腻,1
四五,1
五五,1
miasanmiaZLZ,1
烦死,1
怎么,1
注意,1
原创,1
歌曲,1
纽西,1
之谜,1
看到,1
放心,1
原来,1
仙女,1
长痘痘,1
瞬间,1
平衡,1
对不起,1
包装,1
应急,1
急救,1
方法,1
不会,1
留下,1
出个,1
单独,1
痘痘,1
救命,1
短发,1
真是,1
日系,1
哥哥,1
feel,1
出来,1
11111111,1
求求,1
为什么,1
我用,1
77,1
只二上,1
发布,1
二手,1
商品,1
Cassie,1
这样,1
干皮,1
不长,1
最近,1
立马,1
区别,1
佛系,1
西子,1
蜜粉,1
01,1
珠光,1
02,1
哑光,1
明白,1
脖子,1
到底,1
怎么弄,1
油朋是,1
表姐妹,1
地方,1
几个,1
美妆博主,1
自然,1
做作,1
看着,1
舒服,1
小七会,1
走路,1
昨天,1
红头发,1
豆姐求,1
bgm,1
好听,1
妆容定,1
同名,1
路过,1
我家,1
小狗,1
帽子,1
脸上,1
有斑,1
怎么办,1
祛斑,1
产品,1
身边,1
缺个,1
麻烦,1
定妆,1
丸森下,1
萝萝拉,1
light,1
wing,1
面巾,1
明天,1
高考,1
加油,1
不要,1
紧张,1
发挥,1
最好,1
水平,1
美炸,1
不管,1
发型,1
只要,1
几天,1
逃不过,1
三七分,1
命运,1
反应,1
评价,1
抱歉,1
足膜,1
没上,1
这些,1
发护发,1
来来来,1
我们,1
一起,1
护发,1
前排,1
显白,1
感觉,1
好多,1
第一次,1
靠前,1
居然,1
红色,1
哪里,1
大脸,1
猫猫,1
讨厌,1
火车,1
高铁,1
不让,1
就算,1
地铁,1
不行,1
只能,1
托运,1
没看,1
的话,1
应该,1
椰子,1
新出,1
拖鞋,1
顺便,1
洗面奶,1
辣木籽,1
用到,1
第一件,1
大学,1
已经,1
第四,1
便宜,1
雅漾,1
哪个,1
早就,1
换成,1
京东,1
59,1
一赠,1
水乳,1
适合,1
夏天,1
清爽,1
因为,1
混合型,1
第一,1
后背,1
难看,1
一些,1
闭口,1
粉刺,1
偶尔,1
额头,1
还会,1
白色,1
米粒,1
一样,1
糖糖,1
国产,1
夸迪,1
华熙,1
生物,1
旗下,1
发带,1
整体,1
快要,1
爱上你,1
男生,1
路上,1
小瓶,1
耐用,1
一年,1
后来,1
突然,1
对于,1
油皮,1
来说,1
还有,1
一瓶,1
没用,1
完睿致,1
矿泉,1
挺好用,1
个人,1
夏季,1
必备,1
