词语,出现次数
发货,19
裤子,10
喜欢,10
衣服,9
上衣,9
这个,7
没有,7
白色,5
身上,5
质量,5
怎么,5
衬衫,4
收到,4
什么,4
今天,4
第一件,4
蓝色,3
多少,3
可以,3
真的,3
本来,3
觉得,3
短裤,3
好看,3
说话,3
满满,3
162,3
三天,3
下单,3
自己,3
你们,3
一点,3
星期,3
直播间,2
想要,2
视频,2
一套,2
160,2
几个,2
确实,2
啥时候,2
的话,2
颜色,2
直播,2
一下,2
现在,2
小姐姐,2
身高,2
体重,2
不会,2
如果,2
感觉,2
这样,2
有没有,2
时候,2
同感,2
那个,2
快点,2
一直,2
不要,2
一个,2
还是,2
两天,2
退款,2
支持,2
防晒,2
几天,2
值得,2
秒杀,1
多久,1
你好,1
黑色,1
最大,1
肩宽,1
友好,1
鞋子,1
没货,1
刚买,1
你家,1
三件,1
看见,1
一起,1
125,1
带子,1
多余,1
驾驭,1
起来,1
放弃,1
我会,1
绳子,1
披肩,1
还有,1
这是,1
卡色,1
估计,1
阵亡,1
既然,1
这么,1
老板,1
不买,1
我妈,1
唱大戏,1
腰带,1
居然,1
一件,1
面料,1
特别,1
舒服,1
好评,1
能配,1
慢点,1
这套,1
链接,1
一般般,1
信不信,1
降低,1
音量,1
关注,1
量会,1
透不透,1
缩水,1
165,1
93,1
有点,1
穿会,1
就要,1
长度,1
满满的,1
不准,1
哈哈哈,1
不能不要,1
开场,1
奇怪,1
厉害,1
99,1
打大,1
90,1
1.58,1
84,1
46,1
公斤,1
65,1
一米,1
六六,1
108,1
满意,1
如何,1
他们,1
退货,1
这种,1
裙子,1
太凶了,1
努力,1
幸运,1
声音,1
过大,1
不能不,1
去年,1
配不上,1
今年,1
小巧玲珑,1
开着,1
静音,1
无所畏惧,1
橱窗,1
天内,1
好透,1
不敢,1
宝贝,1
模特,1
连衣裙,1
热情,1
看到,1
进入,1
服装行业,1
影子,1
米色,1
镂空,1
两件套,1
发乎,1
不是,1
星期一,1
家买,1
都还没,1
姐姐,1
包包,1
夜光,1
什么样,1
nan,1
好久,1
没看,1
标点符号,1
哪里,1
别人,1
台词,1
拿到,1
拿货,1
赶工,1
看上,1
帽子,1
很久,1
不能,1
安排,1
这里,1
格子,1
回复,1
156,1
96,1
请问,1
咋样,1
一条,1
到底,1
做生意,1
诚意,1
之前,1
那么,1
每次,1
带理,1
秋天,1
没收,1
到货,1
白衬衫,1
订单,1
第八天,1
显示,1
发过,1
三次,1
信息,1
第一次,1
过来,1
后来,1
真心,1
晓得,1
可爱,1
已经,1
一个多,1
一如既往,1
关键,1
时尚,1
大方,1
可是,1
以为,1
买到,1
实话,1
就是,1
现货,1
不想,1
果然,1
等待,1
太爱,1
继续,1
马上,1
试穿,1
上身,1
效果,1
不错,1
虽然,1
愿意,1
建议,1
十天,1
半个,1
不了,1
