词语,出现次数
九九,12
不能,6
衣服,6
可以,6
关注,4
小个子,4
想要,4
不是,4
葫芦,4
不怕,4
林芝,4
开叉,3
一个,3
怎么,3
真的,3
直播,3
还是,3
什么,3
评论,3
就是,3
黑色,3
西藏,3
风景,3
这个,3
博主,3
地方,3
好看,2
质量,2
有人,2
超过,2
80,2
150,2
小姐姐,2
感觉,2
马丁,2
链接,2
泡泡,2
现在,2
今天,2
好久,2
希望,2
哈哈哈哈,2
哈哈哈,2
一样,2
不会,2
你家,2
为啥,2
上衣,2
裤子,2
显腿长,2
一套,2
长裙,2
广州,2
出发,2
一次,2
旅行,2
向往,2
这样,2
是不是,1
低胖,1
不高不低,1
不瘦,1
高胖,1
各种,1
姐妹,1
试穿,1
性感,1
那时,1
碰上,1
有风,1
过来,1
不敢,1
取关,1
纳闷,1
女装,1
封面,1
牛仔裙,1
这件,1
右腿,1
有疤,1
左腿,1
开衩,1
求翻,1
她家,1
不好,1
沙发,1
缝起来,1
90,1
多斤,1
XS,1
码号,1
看看,1
长短,1
那个,1
小小,1
可爱,1
矮胖,1
妹妹,1
不仅,1
胖子,1
158,1
怎么办,1
这里,1
所说,1
女生,1
可不可以,1
不要,1
泡沫,1
一双,1
小白鞋,1
百搭,1
匡威,1
万物,1
NB530,1
官方,1
旗舰店,1
没有,1
种草,1
巴黎,1
不行,1
我要,1
老铁们,1
来看,1
背带裤,1
能出,1
几条,1
裙子,1
看到,1
划过去,1
鞋热,1
不热,1
第一次,1
评价,1
居然,1
价廉物美,1
价格,1
贵点,1
求求,1
做工,1
好点,1
太差,1
所有,1
大家,1
表演,1
原地踏步,1
看上,1
之后,1
眼就拔,1
出来,1
鞋子,1
剪头发,1
出套,1
几个,1
设计,1
新款,1
第一件,1
盘扣,1
穿出去,1
人见,1
头发,1
剪短,1
我点,1
无数次,1
不感兴趣,1
能刷,1
到底,1
多少,1
哈哈,1
营销,1
厉害,1
楼上,1
进去,1
重点,1
一定,1
胖人,1
扎到,1
结果,1
合适,1
这种,1
矮个子,1
起来,1
留条,1
活路,1
热不热,1
第一,1
姐姐,1
仙女,1
潮人,1
时尚,1
并且,1
看不出,1
季节,1
肯定,1
格子,1
套装,1
最后,1
一波,1
mango,1
来康康,1
开始,1
本子,1
连衣裙,1
我家,1
实用,1
超级,1
适合,1
进藏,1
第一站,1
很漂亮,1
好玩,1
7.16,1
拉萨,1
一起,1
7.21,1
难道,1
番茄,1
炒蛋,1
爽死,1
那边,1
地震,1
美丽,1
欢迎,1
几天,1
一直,1
下雨,1
天气,1
当地,1
跟团,1
高反,1
酒店,1
旅游,1
南迦巴瓦峰,1
上去,1
珠峰,1
大本营,1
以前,1
帐篷,1
一晚,1
第二,1
一下,1
冲冲,1
以后,1
我们,1
养老,1
到处,1
安逸,1
仙境,1
般的,1
镜头,1
以为,1
脸伤,1
一家子,1
作者,1
总结,1
以下几点,1
时间,1
太早,1
太晚,1
有趣,1
引人注目,1
那种,1
运气,1
重要,1
也好,1
哇塞,1
天空,1
舒服,1
喜欢,1
一场,1
说走就走,1
羡慕,1
