词语,出现次数
十里,56
母亲,55
汉服,20
好看,15
喜欢,15
这个,9
小姐姐,8
什么,8
汉尚华莲,7
暗示,6
我来,6
真的,6
可以,6
加油,6
钱包,6
时候,6
啊啊啊,6
求翻,5
漂亮,5
因为,5
阿巴,5
哈哈哈,5
第一个,4
最近,4
评论,4
一下,4
就是,4
防晒,4
你们,4
高考,4
娃娃,4
木偶,4
名字,3
告诉,3
记得,3
感觉,3
有点,3
沙雕,3
那个,3
热乎,3
方便,3
爬山,3
怎么,3
开始,3
拥有,3
中考,3
太美,3
表白,3
准备,3
那么,3
今天,3
汉尚,3
孩子,3
差点,3
女孩,3
相信,3
一个,3
怎么办,3
还是,3
认识,3
店庆款,3
身上,3
我家,2
四分钟,2
心动,2
这套,2
憨憨的,2
奇怪,2
期待,2
没翻,2
一一,2
宋裤,2
别的,2
来晚,2
颠儿,2
买不起,2
无情,2
喷雾,2
虽然,2
仙气,2
飘飘,2
但是,2
最好,2
这样,2
不会,2
值得,2
我要,2
同款,2
姐姐,2
考必过,2
12,2
不热,2
顺利,2
自己,2
上半年,2
学废,2
哪里,2
仙女,2
看看,2
现在,2
送走,2
知道,2
一起,2
我们,2
不了,2
哑米,2
翻山越岭,2
模特,2
应该,2
系列,2
视频,2
是不是,2
镜华,2
所以,2
卡拉,2
打死,2
呜呜,2
黑化,2
陀螺,2
然后,2
这么,2
直播,2
绝版,2
半径,2
36,2
十万八千里,2
哪套,2
终于,2
学会,2
哈哈哈哈,2
老师,2
情话,1
欺负,1
眼睛,1
不好,1
麻烦,1
耳环,1
前翻,1
从没,1
翻过,1
我光,1
穿鞋,1
tm,1
星河,1
滚烫,1
人间,1
理想,1
疯狂,1
沉迷于,1
美貌,1
不黑,1
青春,1
听到,1
声音,1
原片,1
萌萌,1
限流,1
严重,1
粉丝,1
过去,1
亚子,1
可耐,1
二十分钟,1
前有,1
奖励,1
果然,1
顿时,1
一样,1
实在,1
忙于,1
学业,1
不能,1
天天,1
一双,1
飞天,1
巧腿,1
秋裤,1
好几岁,1
底下,1
哪吒,1
滑板车,1
明天,1
就要,1
期末考试,1
好运,1
希望,1
后天,1
领完,1
通知书,1
活着,1
多少,1
除了,1
洗手间,1
任性,1
自行车,1
厕所,1
我刚,1
考完试,1
小可爱,1
难道,1
组团,1
买头,1
我出,1
一毛钱,1
真是,1
秋风,1
萧瑟,1
机器,1
方法,1
的确,1
有效,1
而且,1
觉得,1
出门,1
方式,1
贫穷,1
求同,1
防晒霜,1
灭火器,1
本人,1
这回,1
幼儿园,1
夏天,1
齐恒公,1
管仲,1
鲍叔,1
咱们,1
加个,1
里面,1
大家,1
明年,1
天后,1
心中,1
我爹,1
刚祝,1
谢谢,1
我大一,1
真怕,1
美术,1
韩熙载,1
夜宴,1
作者,1
写成,1
卡点,1
太爽了,1
齐桓公,1
金字塔,1
81,1
适合,1
男生,1
存钱,1
迎接,1
周年,1
