词语,出现次数
楚楚,8
啊啊啊,6
吃饭,5
就是,4
视频,4
为什么,4
什么,4
裙子,4
身材,4
我们,4
没什么,3
那个,3
姐姐,3
好看,3
姐妹,3
这个,3
不是,3
知道,3
关注,3
粉丝,3
一个,3
求求,3
呜呜,3
所以,2
欲望,2
这么,2
那么,2
衣服,2
更新,2
终于,2
不会,2
时候,2
不行,2
化妆,2
真的,2
我要,2
我爸,2
链接,2
已经,2
一般,2
你们,2
美女,2
喜欢,2
闺蜜,2
这条,2
明明,2
胡楚靓,2
所有,2
拍照,2
素材,2
可以,2
回来,2
准备,2
觉得,2
为啥,2
姐子,1
理解,1
靓靓,1
扭腰,1
换装,1
不少,1
170cm,1
81.6,1
确实,1
吃晚饭,1
我星,1
单纯,1
食欲,1
爱喝,1
奶茶,1
要死,1
领子,1
哈喇子,1
不能,1
快点,1
发现,1
问题,1
画眼妆,1
就要,1
咱俩,1
同款,1
黑点,1
精装修,1
刮腻子,1
感觉,1
你素,1
颜比,1
口音,1
南昌人,1
偷偷,1
好久,1
玩微博,1
时期,1
微博,1
开心,1
转发给,1
我哥,1
大姨,1
老叔,1
大姑,1
我三姨,1
相亲相爱,1
一家人,1
群里,1
辣台妹,1
夸人,1
味道,1
代入,1
开始,1
起来,1
大家,1
一人割,1
一斤,1
社会,1
险恶,1
人长,1
薯片,1
看到,1
想想,1
算了,1
lllb,1
专门,1
自从,1
16,1
举报,1
兄弟,1
之间,1
pie,1
关系,1
整天,1
哈哈哈,1
Kaka,1
集美,1
气得,1
古七咯,1
多吃点,1
气死我了,1
性格,1
也好,1
气质,1
太棒了,1
第二,1
鞋子,1
爷青结,1
没有,1
出门,1
应该,1
男生,1
一起,1
如果,1
那样,1
可恶,1
监控,1
还有,1
妮妮,1
铃铃,1
钟情,1
钟钟,1
必须,1
真实,1
念念,1
番茄,1
炒蛋,1
第一个,1
小黑裙,1
一次,1
购买,1
终身,1
新鲜,1
白色,1
色调,1
新品,1
之前,1
三天,1
这是,1
高中,1
校服,1
蛋糕,1
永远,1
不了,1
扶摇,1
羡慕,1
ZWX,1
这样,1
天安门,1
停车场,1
洗澡,1
走开,1
天生,1
女孩,1
姿势,1
好几,1
然后,1
再杠,1
一杠,1
出来,1
不长,1
今年,1
69,1
朱想,1
暴富,1
啥时候,1
变成,1
辣妹,1
年龄,1
小穿,1
信不信,1
到位,1
成功,1
卖出去,1
1806,1
难道,1
只有,1
校内,1
校外,1
一样,1
右边,1
太瘦,1
别人,1
妹妹,1
是因为,1
背景音乐,1
好听,1
哪天,1
摇一摇,1
听听,1
类型,1
老胡,1
好久不见,1
虽然,1
可能,1
还是,1
尊重,1
一下,1
Jennie,1
谢谢,1
珍里妮,1
全抖音,1
点点,1
jenne,1
橘里,1
橘气,1
多爱,1
受罪,1
爱死,1
拿来,1
女生,1
小心,1
二郎腿,1
挤出来,1
不敢,1
全部,1
放下去,1
比例,1
太好了,1
个子,1
可是,1
坐下,1
旁边,1
背心,1
店铺,1
不到,1
想发,1
朋友圈,1
我来,1
告诉,1
兴奋,1
母猴,1
申请,1
加为好友,1
爱上,1
胡素颜,1
说话,1
样子,1
有木,1
有人,1
有点像,1
jennie,1
对不起,1
打扰,1
