词语,出现次数
博士,28
喝酒,8
一下,8
热乎,5
什么,5
一起,4
感觉,3
不是,3
没有,3
机会,3
作者,3
爬山,3
不会,3
一杯,3
沙发,3
还是,3
不翻,3
然后,3
怎么办,3
时候,3
怎么,2
女生,2
酒量,2
已经,2
评论者,2
两分钟,2
一句,2
这次,2
居然,2
还有,2
40,2
60,2
70,2
哈哈哈,2
哈哈,2
不了,2
为什么,2
就是,2
酒吧,2
如果,2
度数,2
三分钟,2
这个,2
粉丝,2
微醺,2
确定,2
一个,2
一定,2
出来,2
链接,2
第一个,2
老宋,2
一分钟,2
表情,2
垃圾,2
姐姐,2
有没有,2
现在,1
作为,1
一个男孩,1
喝多,1
带走,1
两个,1
小时,1
肯定,1
看不到,1
这二字,1
虽然,1
简短,1
毫无保留,1
写出,1
重视,1
体现,1
坚持不懈,1
敢于,1
直面,1
自己,1
心声,1
勇气,1
表明,1
关注,1
迫切,1
心情,1
回来,1
我糊,1
精彩,1
逗乐,1
亲自,1
调酒,1
网恋,1
受过伤,1
下乡,1
插过,1
空姐,1
看出,1
悲伤,1
不怕,1
奶油,1
配酒,1
秃然,1
这是,1
我带,1
照相机,1
钱包,1
勾搭,1
照相,1
顺便,1
摆姿势,1
小费,1
毛钱,1
阿姨,1
日常,1
团队,1
可怕,1
几种,1
混合,1
一块,1
今年,1
听过,1
笑话,1
几度,1
基酒,1
调和,1
会成,1
数学,1
理解,1
老板,1
今夜,1
回家,1
别问,1
你们,1
睡着,1
舒服,1
几次,1
是不是,1
前能,1
不能,1
第一,1
四瓶,1
50,1
混合液,1
多少,1
干红,1
甜红,1
首赞求,1
诱导,1
全跑,1
挽留,1
跟着,1
他们,1
八分钟,1
可爱,1
红酒,1
睡前,1
OK,1
六分钟,1
美女,1
了解,1
视频,1
热度,1
越来越,1
求翻,1
遇到,1
拒绝,1
说词,1
人去,1
办法,1
脱身,1
那种,1
有点像,1
走路,1
三年级,1
那么,1
一小,1
下午,1
sin,1
小心,1
帅哥,1
走心,1
原谅,1
伏特加,1
听成,1
拉夫,1
长岛,1
我怕,1
假酒,1
背景音乐,1
一看,1
里面,1
一片,1
韭菜,1
叶口,1
脚丫子,1
只能,1
叶子,1
少女,1
不挂,1
我们,1
不敢,1
番茄酱,1
字念,1
以为,1
口臭,1
一种,1
保证,1
this,1
time,1
抖音,1
更新,1
干着急,1
不到,1
唧唧,1
好奇,1
真的,1
属于,1
毫无,1
但是,1
试一试,1
粉求,1
打算,1
翻山越岭,1
翻箱倒柜,1
翻天覆地,1
翻江倒海,1
翻来覆去,1
翻脸无情,1
翻空出奇,1
翻墨,1
涂鸦,1
翻天作地,1
翻然改图,1
翻黄倒皂,1
新粉,1
隔壁,1
我求,1
前排,1
玩意,1
应该,1
好吃,1
sir,1
分钟,1
这么,1
评论,1
番茄,1
炒蛋,1
孙悟空,1
唐僧,1
500,1
白素贞,1
许仙,1
1000,1
小川,1
王濑,1
2000,1
司音,1
墨渊,1
70000,1
夜华,1
三生,1
三世,1
阿布,1
多瑞,1
宣墨,1
亿年,1
翻要,1
多久,1
翻翻,1
翻不翻,1
卧槽,1
调酒师,1
加糖,1
心蛋,1
直接,1
滚弱,1
砸开,1
玻璃,1
下去,1
最后,1
截图,1
大家,1
注意,1
29,1
头发,1
翘起来,1
所以,1
喝完,1
永不,1
分梨是,1
万一,1
梨里,1
虫子,1
这里,1
一瓶,1
名叫,1
王者,1
荣耀,1
求求,1
衣服,1
高中生,1
小孩子,1
五分钟,1
全世界,1
美丽,1
优雅,1
知性,1
善良,1
我来,1
适合,1
蓝色,1
大都会,1
上头,1
味儿,1
未成年,1
