词语,出现次数
什么,12
米坦,9
怎么,8
日本,6
这个,6
不是,5
好吃,4
章鱼,4
第一次,4
鱼花,4
哈哈哈,4
中国,3
酱油,3
一点,3
那个,3
懒人,3
所以,3
之前,3
刺身,3
知道,3
可以,3
一下,3
好像,3
我们,3
就是,3
过去,3
起来,3
以为,3
吸盘,3
一个,3
支持,3
第一个,3
这么,3
表示,2
真的,2
超级,2
寿司,2
可能,2
后面,2
要么,2
为什么,2
没有,2
是因为,2
血书,2
大肠,2
坦哥,2
想要,2
经常,2
疯狂,2
完美,2
以前,2
求翻,2
那么,2
这次,2
国内,2
这种,2
链接,2
觉得,2
五天,2
其实,2
已经,2
半年,2
还有,2
这些,2
单独,2
市场,2
番茄,2
鲤鱼,2
好不好,2
的话,2
沙丁鱼,2
巨型,2
重度,2
潮汕人,1
老家,1
虾生,1
一些,1
贝类,1
无敌,1
宇宙,1
你们,1
博主,1
我点,1
北极,1
三文鱼,1
适合,1
为啥,1
编号,1
介绍,1
蒜瓣,1
翘起,1
一根,1
头发,1
后脑勺,1
好几,1
不行,1
粽子,1
豆腐脑,1
不南,1
不北,1
问问,1
牌子,1
我家,1
总是,1
一段时间,1
就顿,1
半生不熟,1
能行,1
各种,1
食材,1
理解,1
妥妥,1
这样,1
一斤,1
半斤,1
外面,1
甜味,1
司波,1
打野,1
贝黑,1
之后,1
闭壳肌,1
可甜,1
忽然,1
发力,1
嘴里,1
注意,1
说错,1
之所以,1
从不,1
东西,1
发过,1
万人,1
下次,1
考虑,1
换个,1
口头禅,1
换成,1
生抽,1
心动,1
最近,1
鸡胸肉,1
调味,1
确实,1
烤肉,1
CP,1
有人,1
鱼露,1
留学,1
时候,1
一起,1
打游戏,1
加糖,1
希望,1
赤醋,1
如何,1
区分,1
据说,1
大河,1
没人,1
大小,1
差不多,1
河虾,1
是不是,1
白捡,1
那种,1
可是,1
请教,1
蛋皮,1
感觉,1
明虾,1
热乎,1
外壳,1
沙虾,1
老粉求,1
今天,1
猪大肠,1
一定,1
只不过,1
比较,1
看看,1
虾壳,1
像不像,1
jio,1
指甲,1
卡乐,1
虾条,1
原料,1
一颗,1
灵魂,1
关系,1
313,1
真心,1
鲜美,1
想到,1
店里,1
有个,1
女生,1
大叫,1
上面,1
有虫,1
一看,1
好家伙,1
米饭,1
热气,1
翩翩起舞,1
非要,1
拍个,1
视频,1
投诉,1
有次,1
大包,1
结果,1
客服,1
冷藏,1
储存,1
估计,1
一个月,1
吃不完,1
后来,1
舍不得,1
变化,1
不适,1
直到,1
昨天,1
一大半,1
既然,1
干嘛,1
自己,1
阿里,1
嘎豆,1
意思,1
快宠,1
我米坦,1
不在意,1
墨囊,1
不破,1
吃生,1
身体,1
最好,1
做法,1
白灼,1
区别,1
鱿鱼,1
乌贼,1
一样,1
夏天,1
去年,1
无比,1
变色,1
中间,1
口误,1
记得,1
一次,1
料理,1
唯一,1
播下,1
芥末,1
超爱,1
原来,1
海鲜,1
只卖,1
调料,1
商家,1
态度,1
补发,1
当天,1
如果,1
23,1
59,1
反馈,1
怎么办,1
对不起,1
很惨,1
但是,1
好笑,1
清洁液,1
说用,1
周就用,1
松茸,1
蔬粉,1
好博主该,1
作风,1
反观,1
那些,1
鱼烂虾,1
卖出去,1
几十份,1
全是,1
差评,1
直接,1
下架,1
商品,1
装死,1
高下,1
立判,1
顺便,1
迷彩,1
到底,1
哪儿,1
还是,1
广州,1
暴雨,1
谢谢,1
其他,1
产品,1
货不对,1
根本,1
退货,1
舌头,1
常见,1
比目鱼,1
出来,1
公司,1
课长,1
三枚,1
这鱼,1
七秒,1
最快,1
人称,1
舌平目,1
炒蛋,1
Supermoon,1
妈龙利,1
鱼长,1
样子,1
改寄,1
刀片,1
完整,1
龙利鱼,1
鞋垫,1
似的,1
一人,1
满黄,1
见龙利鱼,1
真身,1
清心,1
花生,1
芝麻酱,1
装作,1
作者,1
kawai,1
CN27,1
同款,1
看不见,1
不说,1
海盐,1
炒鸡蛋,1
拿来,1
乌冬,1
清淡,1
白粥,1
沙拉,1
看酱,1
吃哥,1
海底,1
世界,1
系列,1
不翻,1
爬山,1
大鸭哈,1
喽哥,1
音乐,1
海洋,1
动物,1
了解,1
番茄酱,1
沙雕,1
鱼骨,1
瞬间,1
鸡皮疙瘩,1
那天,1
看见,1
蜈蚣,1
鲱鱼,1
罐头,1
倒立,1
十斤,1
海鞘,1
醪糟,1
因为,1
推荐,1
我能,1
不敢,1
喝好,1
买来,1
试试,1
哈哈,1
脂肪肝,1
痛风,1
喜欢,1
酒米坦,1
不会,1
