词语,出现次数
媳妇,19
大舅,10
兄弟,9
这样,9
自己,9
婆婆,7
上学,7
时候,6
这个,5
不是,5
借钱,5
朋友,5
现在,5
一家人,5
父亲,5
不想,5
儿子,4
不要,4
不会,4
男人,4
应该,4
老公,4
就是,4
还是,4
高考,4
心疼,4
妹妹,4
之间,3
可以,3
一个,3
老板,3
一定,3
不好,3
婆媳,3
智慧,3
外面,3
心里,3
最后,3
知道,3
关系,3
工作,3
改变命运,3
后悔,3
喝酒,3
怎么,3
回去,2
看看,2
钥匙,2
孝敬父母,2
爸妈,2
他们,2
生活,2
干嘛,2
明白,2
知足,2
渭南,2
开车,2
别的,2
5000,2
点赞,2
毕竟,2
两口子,2
觉得,2
非常,2
父母,2
那么,2
不如,2
好好,2
没有,2
很多,2
作品,2
注意,2
身体,2
已经,2
中间,2
那个,2
家里,2
重要,2
你们,2
到位,2
开心,2
可怜,2
难受,2
不用,2
有没有,2
面前,2
好话,2
如果,2
遇到,2
未来,2
当初,2
辍学,2
只能,2
初中,2
好多,2
但是,2
电子厂,2
才能,2
这种,2
年龄,2
毕业,2
学生,2
这辈子,2
算了,2
有人,2
妹夫,2
冬枣,2
只要,2
伙计,2
遇见,2
垃圾,2
记得,2
躲开,2
弄脏,2
你品,2
估计,1
上去,1
老人家,1
爸爸妈妈,1
普通话,1
转接,1
老陕,1
出门在外,1
一年到头,1
能回,1
几次,1
主要,1
缺钱,1
而是,1
见见,1
很久没,1
回家,1
东北,1
小孩,1
本科,1
教师,1
小心,1
这婆发,1
老家,1
niania,1
真牛,1
看清,1
一切,1
真真假假,1
厉害,1
哪里,1
农业,1
家奇,1
红旗路,1
拉到,1
山路,1
块钱,1
车费,1
丑话,1
前面,1
因为,1
一点,1
失去,1
实话,1
敏感,1
没得说,1
仇人,1
要钱,1
敌人,1
深有体会,1
需要,1
偷偷摸摸,1
也许,1
更好,1
不进,1
一家,1
胖胖的,1
吓死,1
心想,1
可能,1
干架,1
这位,1
美女,1
这是,1
光明正大,1
事情,1
欺骗,1
妈妈,1
尊重,1
那点,1
不至于,1
老婆,1
事理,1
往往,1
一些,1
合适,1
行为,1
误解,1
儿媳妇,1
单独,1
合过,1
这里,1
集合,1
合个,1
永远,1
健康,1
不错,1
虽然,1
绝对,1
孝子,1
干里,1
父爱,1
心底,1
子愧,1
心头,1
父見子,1
心安,1
看父,1
无忧,1
过影,1
机会,1
一次,1
爸爸,1
合影,1
很久以前,1
如山般,1
沉重,1
限流,1
以后,1
补上,1
红心,1
人才,1
关注,1
完全,1
取决于,1
是否,1
足够,1
打工,1
赚钱,1
为什么,1
做事,1
走神,1
心情,1
安全,1
什么,1
玩意儿,1
赞同,1
特有,1
夫妻,1
表演,1
飞飞,1
两头为难,1
结局,1
告诉,1
亲娃,1
好点,1
担心,1
确实,1
家装,1
摄像头,1
想过,1
中间人,1
太有,1
万事兴,1
相互理解,1
为难,1
还会,1
坚持,1
选择,1
就算,1
成绩,1
读完,1
今年,1
大学,1
第一个,1
暑假,1
今天,1
晚上,1
骑着,1
车子,1
挣点,1
暑期,1
找到,1
出远门,1
卖力气,1
搬运工,1
只有,1
学习,1
哥们,1
上学时,1
成熟,1
沙雕,1
读书无用,1
哈哈哈,1
理论,1
那些,1
二代,1
穷人家,1
孩子,1
好好学习,1
博士后,1
砸锅卖铁,1
北京,1
上海,1
套房,1
然后,1
马云,1
做生意,1
入股,1
阿里巴巴,1
时代,1
好歹,1
美颜,1
不少次,1
太早,1
理直气壮,1
两年,1
想到,1
多少,1
衡量,1
标准,1
难道,1
不配,1
拥有,1
澄县,1
口音,1
阿达人,1
这话,1
毛病,1
干脆,1
完事,1
一样,1
抽华子,1
要么,1
酒肉朋友,1
天天见,1
遇事,1
真心,1
不多见,1
不请自来,1
劝君,1
酒肉,1
身体健康,1
记心间,1
如若,1
莫事,1
大家,1
有事,1
家人,1
王道,1
能够,1
增加,1
成功,1
几率,1
别去,1
一起,1
一给,1
giao,1
学校,1
不收,1
17,1
网吧,1
机子,1
月入,1
别考,1
出来,1
工地,1
办事,1
学历,1
知识,1
学好,1
文化,1
走遍,1
天下,1
不怕,1
转发,1
能刷,1
视频,1
内心,1
幸福感,1
来自,1
既有,1
状态,1
随遇而安,1
感恩,1
保持,1
模样,1
略带,1
发力,1
紧张,1
松懈,1
对待,1
不定,1
坦然,1
损伤,1
承载,1
沉默,1
扩展,1
终结,1
开始,1
如此,1
我会,1
产生,1
敬意,1
我屋,1
不该,1
你妹,1
当哥,1
教训,1
既然,1
一声,1
说话,1
当场,1
一顿,1
出口气,1
讨厌,1
的哥,1
恭喜,1
喜提,1
六万,1
粉丝,1
冲着,1
那句话,1
必须,1
人会,1
困难,1
真情,1
只会,1
落井下石,1
别说,1
根本,1
忘记,1
落魄,1
人心,1
没良心,1
貌不惊人,1
一颗,1
纯朴,1
善良,1
急须,1
所急,1
一辈子,1
加油,1
广告,1
有意思,1
有种,1
冲动,1
情义,1
真是,1
好兄,1
点赞数,1
其实,1
社会,1
遇到困难,1
不管,1
3W,1
一下,1
80%,1
倾其所有,1
能力,1
超过,1
30W,1
急事,1
辉煌,1
落难,1
周来,1
西安,1
霸道,1
即使,1
不但,1
承认,1
反而,1
责任,1
推卸,1
对方,1
身上,1
计较,1
以为,1
聪明,1
细品,1
大荔,1
好吃,1
细细的,1
哥说,1
刚才,1
哥有,1
水平,1
