视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0701,711,0.20523039,901.0177976520473,928.9338052246385,1546.8427734375,0.05140438988095238,-9.542567
070102,797,0.35632932,2297.686029134347,2416.43670676829,5055.942364068498,0.09111553053023033,-10.3624735
0702,442,0.3341194,2325.0787116520787,1950.250605526581,4232.406763537177,0.15567163927801725,-9.716124
070202,166,0.42585656,1328.0598018703026,1492.2044969605063,2743.0287487102005,0.06174454599056604,-5.2424526
0703,334,0.37231082,2152.0642830995207,1772.6021970409156,3863.2284854056393,0.11321126832247556,-7.4624934
070302,420,0.35095757,2715.9111701581273,2175.9527824573256,4752.594371677674,0.21886200265786082,-5.658894
0704,390,0.42039275,2435.3230067233276,2353.384381205677,5259.984344797036,0.1063609958923969,-7.4710608
070402,410,0.43552297,2411.763993453878,2495.07837643911,5150.3455232319075,0.09369449013157895,-7.3856215
0705,1666,0.38179138,1731.099241590404,1743.5025347472715,3497.8041537972385,0.07993456057931894,-8.587185
070502,1723,0.32654148,2929.1646947653217,2241.9676646164426,5530.612376541597,0.16669497282608695,-9.356079
0706,432,0.313645,2392.9946978202943,1966.0055137210195,4549.554731889205,0.13986061789772727,-10.709391
070602,615,0.28012535,1371.7288179937423,1647.2069122938426,2741.138500852633,0.05899590042036802,-14.271573
0707,1014,0.28682625,1885.3413355815555,2063.1211169042217,4135.683744112135,0.07418551205429498,-13.305792
070702,2487,0.31137598,2966.172975587578,2079.7734035354074,5360.855457394622,0.17001677351536545,-8.817835
0708,2149,0.39597344,1677.193786119864,1705.215806441408,3237.897087545956,0.08240243212669683,-9.028885
0709,254,0.38947535,1410.949912245895,1845.0039802470312,3104.9942680027175,0.03315668520720109,0.26419505
070902,1063,0.26656616,1890.8078916158925,1603.4077415970967,3371.3315684166328,0.11895453735749185,-11.332231
0710,2686,0.3291893,2074.8709631943125,1804.0298359294611,3850.191464181674,0.13201800847457626,-8.562114
071002,618,0.44226375,1486.5790303772847,1621.7977843639205,2964.380170036765,0.06049599527310924,-6.6239753
0711,80,0.45202664,1055.73752539568,1343.8981418275573,2066.7700550282716,0.044944750858239096,-7.1263614
0712,1014,0.36515152,1882.3410913224616,1550.894155933083,3248.6964111328125,0.12280843098958333,-13.19055
071202,410,0.39574486,1405.0556874458393,1773.1613682074442,2928.2250284665993,0.04909961201079622,-7.183592
0713,2602,0.37770906,1400.1544609262132,1511.3213997308483,2759.0146297473084,0.07052198589513557,-9.739457
071302,1456,0.2865994,1484.485100549999,1327.8066786433856,2758.996378956793,0.07973786246534197,-10.6585865
0714,359,0.20639025,673.2654353057478,716.4404668862089,1174.005644200212,0.04108734992937853,-12.735448
071402,469,0.3047921,1045.8495796060504,1428.6458678681104,1957.0027736305601,0.05681437911861614,-10.047096
071403,1293,0.26309356,1563.6101500733475,1839.4646876128938,3248.1303862776185,0.06497497059124387,-12.522414
0715,1766,0.36416036,1851.2036084880533,1791.7565321694108,3631.3257591011597,0.08400307207290132,-7.70378
0716,1719,0.36092898,2574.3476011370394,1747.3434916526815,4239.344179010116,0.18338865305876687,-12.063363
071602,1647,0.4041908,1443.3600549667703,1462.2667567736175,2616.240501790695,0.06650529284989858,-5.9121623
0717,218,0.389164,1092.3456113547732,1403.5703116208947,2178.621826171875,0.04289957682291667,-7.0338426
071702,564,0.43456817,1396.082620806361,1782.972580915609,3102.9065009601954,0.04446450913640596,-6.2884536
0718,620,0.28352228,1876.0420753692267,1918.3390515180702,3817.2804380266853,0.08715875175561798,-14.589297
0719,1137,0.2668745,1778.6909475410139,1802.6792302939373,3736.7980622286336,0.08723809557815357,-7.7521486
071902,454,0.35766536,1013.0572589572504,1414.9346710066784,1993.5689113451087,0.0421287647192029,-4.500033
平均值,32820.65714285714,976.7142857142857,0.34677357314285717,1769.126769996617,1734.8963153908744,3440.164125248899,0.09075876903624325
