视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0701,613,0.37167406,655.9519434503242,1028.1856150943984,1125.5992542613637,0.023965942911255412,-7.2874103
0702,2232,0.37407517,1993.7141453903403,1860.519663975374,3810.532513786765,0.11293551708877995,-10.721163
0705,1487,0.47366473,1993.886076335145,1802.329550329598,3594.078419306507,0.10920376712328766,-3.564142
070502,1736,0.44792446,2270.3738472643054,2432.62840415608,4897.9160052727475,0.08860032943168433,0.80001575
0706,792,0.33502817,837.0414988259745,1083.7087568600193,1640.1813213641826,0.03961588541666667,-11.0283575
0707,575,0.44503918,1623.257293047546,1962.59452591333,3426.2535447340747,0.061851853590745194,-2.4675455
0708,1819,0.46173236,2016.3305419604983,1852.6297357780243,3555.0951476490827,0.10421764928735255,-4.8364096
070802,258,0.3153429,1136.0773599136928,1348.8481490566382,2226.7372402442893,0.055519478373519456,-11.472279
0711,914,0.4194343,2697.977964874556,2481.9407403827154,5690.037547144397,0.1149627334770115,-1.4112339
0713,199,0.44504258,1584.4515054633177,1961.583710770324,3647.57080078125,0.04860043589959569,0.0054991525
0714,226,0.43276638,1897.807545105583,2227.894152099155,4517.381252611905,0.06081967403417533,0.41429612
0715,1298,0.4422046,1854.3502225089867,1732.9972728843104,3595.92517200929,0.09687470377275026,-4.2876663
0718,654,0.3112339,1451.9655483246993,1596.5992736653698,3018.9114565348755,0.07082416119935543,-4.4419427
0719,900,0.47420543,2151.8657335993994,2170.960448770568,4492.702972960329,0.10042512630988024,-1.7680101
平均值,10701.642857142857,978.7857142857143,0.41066915857142855,1726.0750875760266,1824.5299999811361,3517.0659034757905,0.07774408985114713
