视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0707,612,0.31005606,1748.9973884295105,2302.967859767853,4408.71524586397,0.06215286896008403,-4.8041935
070702,608,0.32211372,1830.7619751108011,2350.5229722811505,4573.58547044837,0.06335100446428571,-3.4310162
0711,476,0.3099155,1571.326219383752,2108.7371808728553,3639.2468788640963,0.06226200680080935,-6.602659
071102,1300,0.3805213,1940.6461474808714,2410.376215364924,4632.963172458375,0.07362157858224017,-1.8904234
0713,1411,0.3691236,1897.9499782811538,2290.8022321293915,4469.576182621217,0.07361494691368638,-3.2473376
0715,876,0.45182905,2030.4865992976465,2291.0095485674888,4529.766517349436,0.09281631662875792,-1.9365448
071502,598,0.31555402,1697.6097505021066,2334.5922374014453,4084.388333009242,0.057433456487920934,-2.2792149
0716,668,0.32190788,1811.6892045709717,2455.128624398447,4472.421692464954,0.06168974720924195,0.24288194
0717,620,0.3139563,1829.8829716559017,2431.9768877834003,4409.09478254379,0.0641962330812102,-1.2290156
0718,657,0.31021824,1680.5605648271428,2331.5004861365846,4149.032579485668,0.056586765239477504,-2.6746492
071802,1265,0.35949263,1906.644014786869,2430.8113969775795,4441.481291118421,0.06382492690058479,-2.8670685
0719,631,0.30981943,1796.286110517864,2397.656021364104,4279.643429219084,0.06798767481932548,-1.7181172
平均值,24235.333333333332,810.1666666666666,0.33954231083333336,1811.9034104037155,2344.6734719204355,4340.826297953886,0.0666281271739687
