视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0614,162,0.48058045,3242.3851809756507,2589.386773374798,5893.885257083785,0.15377364086225598,-12.563694
0615,200,0.5129448,3289.401033589379,2395.2499627149296,5729.968396284449,0.18085399237204725,-10.273956
0616,100,0.51371276,3077.885821676598,2360.514361193195,5520.09855287265,0.14928929151686948,-9.255619
0618,334,0.48229632,3350.3048650536534,2372.3622158406893,5937.087861618193,0.1854923145774399,-9.764642
0629,2891,0.34049523,2226.717110138159,1841.8259978520991,4004.291201309419,0.13495245561913147,-10.666473
0630,736,0.551268,3462.0328715742503,2515.098017807983,6123.575513023881,0.17718837999195436,-8.239224
0701,140,0.5274792,3372.706760772178,2368.6909562503815,5811.265751008064,0.18449290754608294,-10.663706
0702,981,0.43111992,2960.028626570661,1918.4692052625091,4916.978348512701,0.19003366616532977,-15.499298
0712,149,0.32368752,922.1188813473808,1411.4926407672833,1746.9869916562955,0.03808688607940748,-6.1266484
0714,840,0.31219396,1720.1104405297501,1716.1159125111903,3299.7420095283296,0.09787574839369159,-6.7821636
0716,333,0.44183597,1758.4558539779387,2338.2910719577267,4131.957611551792,0.05707783264765554,1.858014
平均值,660.6363636363636,624.1818181818181,0.44705583000000004,2671.1043132914183,2166.1361014120716,4828.712499495415,0.14082882870653324
