视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0624,290,0.45982087,1800.124995676825,2372.161669769233,4163.72348607513,0.055561539099124105,-5.1389203
062402,2433,0.4050104,2181.166155358113,1882.3296694311573,3955.164252387153,0.12654697747878085,-3.736565
0625,1099,0.40099496,1120.8330991789562,1716.410241078059,2456.8348069700937,0.036310467199558986,-3.5795615
0629,1143,0.36428094,1749.2694092751083,2037.2869195531814,3697.9713104284333,0.06933477630796671,-9.481984
0701,1029,0.41806778,2295.9091634798033,1982.3765438461169,4072.7620988884228,0.13265574751817674,-10.238078
0702,872,0.38487858,1705.6237019489436,1863.8524420825565,3675.6721200033126,0.06957015721621025,-7.6716857
0704,244,0.4244201,1499.0881253116295,2002.2101124586763,3296.37451171875,0.051682706933897975,-3.5337696
0707,404,0.42590404,1121.8117748944012,1601.1169789803625,2282.1887486194128,0.046199933406964655,-4.5720835
0710,1211,0.34399807,1913.5355175621876,2173.4246620664094,4062.2651213532563,0.08712050075575466,-8.331582
0715,257,0.43991834,1493.5664258405027,1988.62690742495,3295.3465745938533,0.05246264729278766,-6.0060716
0718,217,0.40112257,2612.206626848155,2705.5865099917205,5769.900041441552,0.10797116742387033,-8.482019
0719,615,0.42593068,1791.3177166482942,2103.0205456243048,3841.8676157466703,0.07201809780895334,-7.940224
平均值,5829.666666666667,817.8333333333334,0.40786227750000004,1773.7043926685765,2035.700266858894,3714.1725573521694,0.07561955987017051
