视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
07003,654,0.41910368,1701.3258641179846,2060.150329984315,3639.826060149629,0.06997870321327683,-7.558783
0701,1259,0.4661257,1817.375057851763,1978.1871391084628,3775.726384621909,0.06945727156212304,-4.8947206
0702,1708,0.4114995,2081.8122936951013,2093.2818764944827,4196.386791195289,0.11123104831231453,-7.87235
0705,296,0.36756882,1578.022050500941,2112.2064058378546,3641.491883244347,0.05257427273084171,-7.4841886
0707,928,0.3440977,1889.334060258197,1793.739657801299,3699.57275390625,0.12453054138321995,-9.915519
0708,646,0.32864326,1313.2253158667647,1501.2071307428296,2647.3790977525027,0.06586833852027721,-10.140723
0711,133,0.43887803,1715.2353822387945,1990.421584012821,3805.1380283785184,0.060514538493377484,-4.5811143
0712,0,0.41428337,2508.7968838344764,1985.0534003774308,4172.948959025931,0.16823135989213947,-11.334487
0714,496,0.36186042,1803.2477474851648,1676.4771701859527,3433.4447687322445,0.10213832662563131,-11.354243
0715,0,0.29676318,1540.7374013317326,1489.409675668811,2941.237251489543,0.088295942769131,-6.6715326
0716,0,0.40587258,1432.7861728442924,1712.974988612362,3042.5753455528848,0.05320688100961538,-3.3428743
0717,0,0.29155537,817.736022165494,858.4732393140658,1278.2190632370282,0.04968307783018868,-15.558639
0718,1016,0.3819478,2167.0027920220323,1705.0711360448747,3908.634551583904,0.11992799045988259,-12.292406
0719,422,0.34157652,1520.6459772565725,1963.8418605126467,3446.34178057426,0.044089055386949925,-5.5454783
平均值,1160.5714285714287,539.8571428571429,0.37641256642857146,1706.2345015335218,1780.0353996213003,3402.065908531731,0.08426623915635494
