视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0701,292,0.3480317,820.8024334625003,1072.9319472075235,1666.2899241727941,0.03328929227941176,-5.306836
0702,632,0.30481336,1355.1371131109831,1401.293826347788,2815.3491462628867,0.0710770824384307,-12.678
0703,174,0.27459955,857.3755731040352,1149.4928955766572,1719.4004812640344,0.05439877081773952,-8.194604
0704,4365,0.2843303,1128.5767428353026,1217.3196782932152,2070.984417459239,0.06101746490036232,-4.3035045
0705,1028,0.2992128,1191.844944605347,1612.1338550605174,2303.413305389747,0.0478515625,-8.3535385
0706,334,0.3990675,1101.439449451803,1491.1111949531671,2341.845703125,0.03943319515306123,-3.619232
0708,1016,0.34730485,2034.0032081714521,2165.6215418062234,4546.853458180147,0.08342326188287816,-4.9702597
0709,875,0.3323511,1755.3192621957965,2039.1732274082747,3695.6763530106477,0.07941028981703659,-5.5665646
0710,108,0.36430293,704.9029737297104,780.0055318651293,1377.5620404411766,0.03710554534313725,-5.1526995
071002,2014,0.20712885,1981.1026804168844,1788.6772404500928,3528.11575652547,0.11711646871989402,-16.425484
0711,1345,0.33770478,1662.4602554959552,2031.2221369934748,3948.867812651552,0.05872919950290979,-2.8598132
071102,279,0.22170752,754.5871729393045,682.8835667165987,1360.0357719089675,0.05702427455357143,-14.134018
0712,355,0.21717453,1080.0400228790377,1546.2456555299968,2085.671384350752,0.032213301709505336,-6.7217574
071202,438,0.26001593,746.0814220381632,655.5371486972572,1269.5806962025317,0.05395816851265823,-14.940755
0713,416,0.15550533,1206.442312224824,908.263604614027,1614.7575091990188,0.11291295595136519,-19.403635
0714,536,0.40778387,1506.5662025812599,1910.8045448960434,3429.487452013739,0.04477454876077586,-1.5049176
071402,347,0.21873759,645.2240926473678,653.1896249753438,1188.5070711678832,0.04151032162408759,-4.9511228
0715,61,0.25145644,516.4156766243088,771.9513028443732,853.1881911630401,0.02271903788119441,-10.186551
071502,791,0.48557273,2390.6277980653626,2373.4460546012765,5036.89420105981,0.09615138319672131,0.5826521
0716,1214,0.39214444,2494.611980881348,2282.5011629394658,5093.010951678998,0.1039933678057554,-3.4658434
071602,1855,0.25510055,1300.661343680554,1130.3118866828336,2296.272758588399,0.0815396243578767,-14.900282
0717,848,0.3696083,2119.6796977374374,2182.0698185065985,4590.586617066688,0.08647528055197594,-2.0498786
071702,369,0.24004222,891.7226620363799,1252.1537278208232,1713.6397462207412,0.040948954608257475,-10.973724
0718,142,0.5394619,1952.558043249398,2053.8447795858897,3875.25343254431,0.06639714027518656,0.3346253
071802,214,0.30847603,1294.88120583803,1496.8028404994043,2668.0416980421687,0.061938770707831325,-8.942772
0719,936,0.22142687,1106.6726696863443,1473.2341771662411,2115.2337746542007,0.04972349787763466,-12.708719
071902,1022,0.47628242,1431.2411940033371,1624.024957299644,2799.6453857421875,0.05740559895833333,-8.120562
平均值,24296.333333333332,815.0370370370371,0.3155312737037037,1334.4806716182302,1472.0832566421436,2666.820927410598,0.0626866059513923
