视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0701,551,0.33372486,1304.9865916806095,1659.6214410100984,2765.377420774648,0.05274747442991281,-7.2288327
0702,500,0.4727342,1959.9818944688634,2079.1436605774334,4101.074426770672,0.08621397838400464,-2.9424262
070202,32,0.6031202,756.6078204978368,1308.966042377826,1504.5382033206386,0.024235949890442404,-2.1571848
0703,593,0.49685958,2157.262130882585,2080.1454520037296,4257.258275206486,0.09840736112510072,-4.4424005
070302,31,0.52070296,1154.781150928464,1690.4331111327594,2598.287751712901,0.028847387676661573,-2.06603
0704,12,0.5133981,1077.2218991860816,1594.6617569946047,2188.932054060219,0.03594289706074035,-5.199673
070402,2153,0.42712677,2374.275892256957,2346.2393200953225,4996.467420789931,0.10749308268229167,-4.1201982
0705,334,0.38537925,1130.7935990694207,1654.9452769145234,2226.0680157205334,0.04137453825577446,-5.302411
0706,387,0.41517347,2011.0820960396977,2019.6930015751366,3896.8148943131346,0.08474848735496737,-5.3010936
0707,105,0.4192615,1902.8452465182406,2022.1683592269428,3872.6517039331898,0.07234120569923372,-11.142355
0708,1628,0.39333433,1998.888855113203,2106.4496341716176,3830.0334218443027,0.08999180122380485,-10.125056
0709,431,0.38891122,988.8832865158563,1754.7470406217162,1963.648365162037,0.03213728826793063,-2.9800885
0710,695,0.4502597,2597.827903831027,2832.609056128816,5907.334612855817,0.07693733240511551,-7.456451
0711,2398,0.43929672,1473.7457296313646,2021.4996317162916,3308.895877991913,0.05139779238459038,-3.5646665
0713,2390,0.41813064,1945.7840192912722,2047.8848681042766,4059.250634521891,0.07903900400374377,-4.8319697
0714,19,0.3711239,1165.9652193544582,1816.7185933394107,2550.051384255204,0.033605262649422915,-3.3544111
0715,34,0.52984715,1522.4573543399415,2063.7116580460497,3352.5083576974694,0.03908090148444347,-2.7545795
0716,64,0.40678725,1190.5423198774156,1811.9296947491077,2495.075055539683,0.03960650565494956,-4.584339
0717,873,0.4356247,1322.0084510525282,1889.2334888666367,2809.411095084974,0.04375123339988856,-5.1452866
0718,262,0.46746126,1856.0706710063275,2164.7429484127456,4167.892501929357,0.07155714533375089,-0.368432
0719,16,0.45221797,1353.8841055676346,2038.4383478392913,3078.497227673282,0.03549940229350034,-0.5935584
平均值,10651.619047619048,643.2380952380952,0.44478455857142857,1583.1379160528468,1952.5705897097305,3330.003271483728,0.058331239602870025
