视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0701,599,0.28629643,1080.2315657414526,1319.3450072091625,2039.3201793323863,0.04415140523538961,-8.040932
0702,3337,0.29158843,1770.588876005525,1306.870730987844,2876.8530726749004,0.12735721982758622,-15.158467
0703,1922,0.4580383,1668.0101675632263,1723.6432835130163,3305.0433951364435,0.07612252097141674,-2.7284534
0705,2475,0.26806107,1151.599723155044,1055.0360292595371,2017.9398728924778,0.07232593641921936,-9.101305
0706,2134,0.3173848,2681.499671675987,2080.4701488498686,4708.0003497511825,0.17808859489399023,-22.238407
0707,1338,0.38074678,2941.8673398308933,2364.106663243215,5520.254298470473,0.22142973004594962,-20.176224
0708,273,0.32471752,824.32803105511,1110.4298913811435,1696.9345435240025,0.037740122350374064,0.7252696
0714,446,0.28274664,980.1152411667913,1363.9669271835355,1697.6928338771913,0.039466671827362805,-8.457935
0715,466,0.3178696,933.2972112669629,1391.0514576733972,1682.075710471617,0.03273873518730887,-5.5840273
0716,216,0.39778554,1632.4058779019122,1927.3440627675204,3750.2490234375,0.06030572385204082,-4.010312
0717,632,0.28017306,927.4298204370505,1148.916301404398,1722.6015972001903,0.042604398001269035,-8.343617
0718,536,0.18295474,904.0715448721006,1128.4400392604916,1598.903914323942,0.044823834276574805,-23.179737
0719,573,0.37277392,2920.819778952027,2280.9759066518277,5189.695401328257,0.19020679437464907,-19.959955
平均值,710.0769230769231,1149.7692307692307,0.32008744846153847,1570.4819115095452,1553.8920345680735,2908.1203224938895,0.08979705286639471
