视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0618,0,0.4077377,1823.1419011544644,2471.297933492669,4546.0751620205965,0.06149877683080808,-9.058453
061802,0,0.45279855,1720.5296673401,2434.700791054769,4136.20263006804,0.06205668549247815,-3.3951302
0619,433,0.40760615,1263.4279878169998,2107.6503956064353,2537.101688196163,0.048113300587871284,-6.2752013
0623,0,0.47296238,1559.3164587516026,2400.146662212664,3646.546758428853,0.05569979311971187,-9.959068
0702,0,0.26849875,964.2894895612491,1408.9002256034983,1860.736394332627,0.045892000647363464,-13.011379
0703,0,0.24337615,1215.0774646475138,1515.6181257468274,2282.448454374013,0.06032669995873995,-18.128496
0704,0,0.36342606,2357.3477975196756,2681.8960507900115,5513.91100761218,0.09678461729242979,-7.9688725
0705,0,0.28714558,1612.8525707696535,2385.444070713291,3622.064887152778,0.06553204325711766,-11.800426
0715,0,0.39698693,1732.2382622230036,2612.015159466188,4315.435809911958,0.05702999744305617,-8.125893
0716,0,0.22933835,1537.4471518364783,1815.142105340534,2862.9849977658964,0.08825971911294651,-20.91941
平均值,6790.7,43.3,0.35298766000000004,1578.5668751620742,2183.281152002689,3532.3507789863106,0.0641193633742523
