视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0625,1402,0.40107277,3963.948369133032,2375.792078906476,6310.182307407519,0.2783834018375242,-17.68981
0629,675,0.45466304,2127.6879994970204,2077.287919088691,4222.244361139113,0.09791382530834915,-7.4054036
0630,148,0.4391183,1615.4039137826478,1826.777569468747,3199.9407921141496,0.08033242914083259,-13.05039
0702,595,0.42672253,1778.0568233993927,1938.3271615048377,3546.0050543578263,0.07836219256010794,-5.9943585
0705,423,0.37902218,1623.735496909965,2110.680957684495,3717.549092060811,0.05447635135135135,-2.8218164
0709,1294,0.38238394,1662.1671166745805,1784.7836138512898,3510.7144730962955,0.07920988139081456,-4.4136596
0710,505,0.39353433,1672.0348753467686,1782.7834208759298,3059.627058699324,0.06253393460424711,-8.927747
071002,2991,0.44835263,2505.9640152271663,2471.4921044153425,5030.73046875,0.11140950520833333,-8.114976
0711,148,0.37377018,1140.3941288168905,1585.494285358186,2460.1810055179194,0.03523364656177156,-4.007175
0718,353,0.4152838,1897.9086181130008,1861.3957884190143,3672.0684621710525,0.08681640625,-9.622332
0719,1304,0.3547459,2684.696611730178,2261.404157588257,5159.468801398027,0.1578102972274436,-8.9976845
平均值,7078.181818181818,894.3636363636364,0.40624269090909093,2061.090724420967,2006.9290051964788,3989.882897882912,0.10204380649461592
