视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0524,542,0.26412675,1196.37483529722,1454.3067136064863,2522.2155350245785,0.043109199438202246,-5.7994604
0525,679,0.26047143,1385.9340045226743,1455.170240473766,2852.9024736596903,0.0659515660837156,-11.057511
0531,430,0.2476113,623.03389068876,607.3878598326138,1170.3656502317583,0.03949120626495215,-19.25052
0603,2199,0.2951176,2178.810448826765,2189.1607672778614,4884.741724317319,0.09688161689544393,-2.9103818
0604,374,0.2941675,1116.163736768267,1416.0459354533632,2350.477530103211,0.041313521358944956,-3.487233
0611,449,0.18407393,952.341898457859,1051.5220606783596,1641.1376953125,0.05366368447580645,-10.926774
0615,522,0.34155127,1730.376152944801,1918.1405712677424,3921.466142503197,0.06731412843670077,-2.889111
0616,336,0.2565306,1010.6115105502794,1233.1447139186296,2194.8129463638343,0.04309223644141531,-7.109511
0624,666,0.30654067,1826.5382238928107,2124.141964619492,4361.990744850852,0.06174649325284091,-8.414327
0626,658,0.3307246,2607.164946365092,2475.2958775122665,5665.320337598569,0.1077595648364486,-3.279101
0629,300,0.2805797,806.5099261570606,953.5957778512729,1485.1736646179759,0.03370036553899083,-6.9823565
0702,312,0.34405342,947.2483114778163,1111.107161574652,1954.0720496775184,0.04318829660626536,-4.870338
0704,2323,0.25446784,1670.680838648554,1715.6763454696193,3503.406762295082,0.08462474385245902,-9.424164
0713,249,0.31912246,1163.9060581449228,1384.473005998535,2239.3780091751455,0.05421852289244186,-8.396863
0720,503,0.3857756,1123.7132710566905,1353.5755901091015,2534.3608655427633,0.04138764880952381,-6.0289626
平均值,623.1333333333333,702.8,0.29099431133333326,1355.9605369199717,1496.1829723762507,2885.4548087515996,0.058496186345610116
