视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
0306,598,0.5634246,2429.8670231481183,2736.454351125078,5596.781712582237,0.0706226014254386,5.350753
0307,598,0.5634246,2429.8670231481183,2736.454351125078,5596.781712582237,0.0706226014254386,5.350753
0310,350,0.32418007,1283.0211753785618,1526.932562128136,2690.196031139743,0.062835693359375,-2.5508876
0324,932,0.42800853,915.6600192018795,1524.092367404113,1811.822684866483,0.03320212442366803,2.2236743
0326,521,0.29430208,2606.0367535332284,2276.8126748896516,4752.676281297063,0.1457298922251506,-16.405745
0412,141,0.24910566,971.7058980892465,1302.9851200011965,2026.8313072467672,0.03870386584051724,-5.5644636
0413,131,0.33963567,1372.9996244620813,1585.7048845307618,2793.8464333631487,0.06161340703264759,-1.75878
0414,943,0.42390156,1420.9552046481967,2181.9152157402964,3083.0899151436033,0.0463246743091819,3.7134228
0430,669,0.36359495,1349.7957569778036,1541.7066874406032,2815.1508410621454,0.05909864573487713,-2.0949688
0510,911,0.34240156,1295.1598298955603,1620.54073280561,2884.604779411765,0.05118894888684641,-2.7408056
0613,1464,0.3876051,1397.5856942955725,1486.8725690595325,2435.383632027324,0.076596360709799,-4.8741326
0614,678,0.4280442,1930.528794199391,1897.9586996136206,4168.800867780855,0.08661738528481013,-0.54531395
平均值,414.9166666666667,661.3333333333334,0.39230238166666664,1616.9318997481466,1868.2025179886398,3387.9971832086144,0.06692968338814585
