视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,1364,0.31266147,2346.2056553791035,2560.180492752721,5099.42138671875,0.10648018973214286,-4.5176716
10,457,0.30681843,1580.418170366934,2289.6183202166817,3571.3330078125,0.05035209396258503,-9.325149
11,233,0.4510784,1983.284130810766,2422.3308518749964,4545.6816393517765,0.06389227000488917,5.1439457
12,635,0.48521057,1648.411538033614,1915.7883601265037,3396.764086466414,0.07343157726551482,-0.2568816
13,499,0.28739485,1187.223865943227,1655.791686861149,2538.86596095619,0.04699843313895534,-1.0744021
14,746,0.38784337,1981.1552542985808,2228.919210388617,4271.225709553007,0.07664249689195299,9.432167
15,571,0.3958529,2136.7487227977003,2852.3667048231764,5024.27699742425,0.06607286389321902,-11.427203
16,1776,0.41512182,2305.3597354125113,2776.1036112789707,5520.376957007952,0.08173226267395627,4.0551653
17,1540,0.35626838,2244.0381555454537,2940.8491971163353,5142.70454633354,0.08403900448638614,-11.028823
18,197,0.3471411,1786.5293501602607,2274.259665009437,4146.3914721278,0.04680760469035649,4.417999
19,300,0.39529118,2358.4452331460875,2902.217661624108,5713.449779909049,0.06522927355410447,1.2909627
2,485,0.31409872,1431.7375584786614,1862.4760711789495,3053.1005859375,0.050937561098800835,-8.944684
20,314,0.46400777,2639.298474963085,2811.440589973795,5938.062118902439,0.08924233041158537,4.678004
3,464,0.3217057,1980.50645316325,2903.540803700378,5051.077889599493,0.050944398866348446,-8.848023
4,784,0.3571709,1813.6934906039846,2457.5496299217884,4363.350296866339,0.056536147969789355,-8.7048435
5,435,0.32070214,1908.1474522776905,2962.8406502867183,5026.1915902590845,0.05018716352624495,-10.827553
6,949,0.3562067,2292.0932107481863,2840.522468821169,5281.7061574835525,0.06740606398809523,-10.575299
7,640,0.49334154,2536.389727911959,2568.2058261928314,5275.1327858093855,0.11144744774919614,1.713485
8,317,0.32890972,1486.4607810486154,1901.155328567498,3061.840237564777,0.05162531407035176,-10.608275
9,979,0.3479545,1661.411686981945,2100.2562894344787,3482.359538229467,0.06327182209113832,1.4227561
平均值,10.5,684.25,0.372239008,1965.3779324035809,2461.320671007515,4475.165637215663,0.06766381600328067
