视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,573,0.20704357,1661.0568842799232,2201.0508960369352,3859.8730679216055,0.06468884698275862,-3.673432
10,2092,0.24552114,1421.2213119484597,1644.3382605753147,2835.7775354677915,0.06436101059240798,-4.7169347
11,1338,0.46526572,1993.2981137554116,2472.607215272525,4589.224906589674,0.05646764291465378,7.9409714
12,867,0.41155496,1007.6961750711196,1490.4702512470199,1966.2177853467988,0.04250258601916376,4.890181
13,511,0.1780685,1459.3165907309185,1691.1494410660366,2625.398156998005,0.06676986369680851,-8.409942
14,1307,0.45050222,2315.0902127126037,2661.7063344041007,5338.533293442919,0.07033319785645473,6.377562
15,477,0.5014337,2465.906290553882,2649.051150433361,5365.279146634615,0.08487905649038462,5.0548162
16,707,0.42438564,2148.3463279037132,2557.622197136858,4854.396268905694,0.07591643961298933,2.1562612
17,1718,0.5302059,3005.8547144786203,2963.9737951298707,6725.032338255893,0.11520947039219474,5.1819634
18,592,0.38196176,2382.0284615145415,2550.895435251417,5316.088079637097,0.09801027265745008,7.1943226
19,4529,0.3386995,1649.9668382373427,1165.473817439438,2683.652809131524,0.11922483689485627,-3.168434
2,399,0.39339325,936.65181255037,1313.3253740825664,1903.9929487573818,0.03736440903871391,2.1300652
20,300,0.4580185,1291.0077149085455,1552.8786575828394,2478.4716796875,0.06293402777777778,0.41184786
21,653,0.35900372,1827.4324758275036,2222.3255744371963,4264.35096756012,0.06360964115731463,5.7677712
22,859,0.33161756,1858.3056363755354,2244.116173534611,4178.569493932974,0.0867575717449923,-0.44249654
23,197,0.46247402,1710.3107174059617,2238.1269394130736,4082.412828592491,0.04898657760356732,3.271234
24,858,0.1772786,2071.124082183244,1962.6110134965893,4242.465505292339,0.11945301999327956,-4.5761714
25,493,0.25340915,1069.7120333494904,1472.8744209810343,2216.8602914927505,0.03794005382249561,-2.0141907
3,394,0.45448557,1881.3424872346952,2130.4524777618376,3990.2055946945843,0.07661464892947104,-3.1248045
4,462,0.38000864,1537.6094482508927,1962.9761468599559,3433.9505103326615,0.053081647225422426,4.0951905
5,1192,0.3941608,2031.6299755759708,2597.4585592948606,4994.04990403071,0.0714352657149712,4.9943714
6,644,0.20181452,1549.7999547005377,1826.7063839860757,2901.1587983385552,0.06725397839709762,-7.8515425
7,858,0.24541715,2571.2581696503235,2515.7216938895917,5470.830786319179,0.14671733361164122,-0.5528037
8,1255,0.29307202,1675.0024710870541,1890.9978015603197,3087.1654714336833,0.07381122773536895,-12.855031
9,1140,0.19942124,1308.3281963195375,1666.5370300928053,2312.700746597782,0.06927214591733871,-1.262588
平均值,13.0,976.6,0.349528694,1793.1718838642482,2065.817881638649,3828.666356615772,0.07494379091118299
