视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,1102,0.40573412,2306.2443375743583,2420.3964733479716,4865.507666345973,0.10948007740424041,-10.052063
10,0,0.42341882,2297.1031869664284,2363.164199531755,4740.857957267245,0.10794294089659777,-10.900742
11,2735,0.33154014,1667.8750861932763,1910.679006729599,3360.801923453273,0.08347400425676096,-10.634415
12,765,0.30512702,1462.2173386687239,1731.170766114742,2914.6159121112055,0.07293714519144408,-11.039518
13,201,0.4349092,2248.332849109098,2426.9471733658834,4862.068061329461,0.10314013251687199,-9.225532
14,0,0.4539085,3009.720438391642,2755.93310086008,6116.28393272444,0.1627119984667458,-7.120462
15,427,0.38660187,1687.3085385336092,2082.0656403462094,3541.9260750829644,0.07041345597847949,-8.728815
2,0,0.38659248,1791.857634905603,2257.298384446335,3873.99246553048,0.07132792417122921,-9.918589
3,2404,0.45411056,3049.5107991645295,2838.1851683194254,6620.914188508064,0.1343688496063748,3.8339398
4,2141,0.36879742,1823.576817123504,2074.5563609049864,3663.5880925105166,0.08771418644831731,-11.58792
5,0,0.4132938,2231.9095760728223,2233.552415141954,4423.748791413894,0.11246487449260847,-9.218372
6,1004,0.2537113,1752.1501841447837,1840.7203106876698,3360.066749379733,0.10873949480120257,-15.902247
7,0,0.37323588,2534.9916644846508,2244.5450590645705,4694.139763327206,0.15481845298883443,-11.314622
8,954,0.3188269,1931.7184483816627,2127.762037444719,3891.7151162790697,0.09667997866353607,-10.340119
9,156,0.45465288,1928.6194535314821,2097.564274978789,3921.5201484375,0.08158184375,-11.752175
d27bc316cf7d4d94501ec8c7b6f60841,0,0.3174569,1586.3354815572054,1789.859602954765,3086.403777159335,0.08275740637590873,-10.847203
平均值,743.0625,0.380119861875,2081.8419896752107,2199.6499983899657,4246.134413803772,0.10253454787557201,-9.671803387499999
