视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,355,0.3311046,3069.9117661676305,2233.5673503547528,5354.126581125692,0.20187522638962066,-5.479803
10,1061,0.40070808,2439.3504667889088,2378.4285944998337,4922.562701885517,0.11977386474609375,-0.4175419
11,1886,0.31964722,1994.6916590772166,1924.8326476756413,3828.380189534841,0.11575603316514438,-5.9026065
12,1386,0.48408315,2580.128034276073,2279.089458480099,5024.463081173781,0.14375666920731708,-0.93194896
12c4909c6a4842388827fc22b0ebe68c,546,0.40484238,1869.4245143507671,2057.391805312108,3940.576171875,0.08186848958333333,-1.2301545
13,871,0.30930337,2377.583861902325,2243.754752911795,4819.203606682855,0.1299415382179054,-4.1599236
14,948,0.31133115,2215.2564623064864,1934.262290421306,4112.256655485734,0.1282905910326087,-2.559638
15,172,0.4092079,2501.108820532602,2219.9065754601384,4816.3618275150275,0.13958001753167013,-2.6042273
16,3184,0.27393058,2108.3972070173963,1861.1849388392109,3865.6114085358945,0.12475927304505438,-4.4996066
17,372,0.27981183,1667.4218431857507,1575.3743665193126,3010.7608994861575,0.1032921298238255,-4.8236036
18,2957,0.46661445,2782.572656835093,2616.6849109966024,5708.857706523262,0.1446429197029148,-0.19133279
19,519,0.30246302,2075.6630161639273,1834.389424538728,3799.7273037522286,0.12319114556800816,-3.6844952
2,2898,0.4754138,3225.4827031019213,2473.8707643927673,5935.890469131718,0.2100738624796417,-6.1675124
20,1444,0.39649528,1878.0386036081943,2033.2486093459645,3828.4353258400442,0.08695554135190992,-3.8404825
21,2560,0.29944357,2073.076044430315,1716.9289755398797,3664.113462001928,0.13124179921808055,-7.2416368
22,203,0.419496,1847.470705155924,2065.3110873369787,3799.2970118029366,0.09695203057650863,-1.4885478
3,491,0.49343848,2607.3655404123556,2571.8121499553686,5446.982500630041,0.12422145017281105,2.2902806
3fc23caad0e8fae27282ae85aca19047,491,0.44355214,2336.389686591392,2303.4283479456435,4870.65735474856,0.1119039837487475,-1.1566551
4,863,0.4855177,2476.89075957059,2464.6286630432096,5160.543507543103,0.11316659611042693,2.0605214
5,390,0.25186372,2962.3352271354956,2474.796932552858,5730.673627461472,0.17035575413812784,-4.6954846
6,1594,0.49080446,1992.8405834146429,2056.783812717962,4021.597436758188,0.10679039588341346,0.05727012
6ae4b6af54521a913a6283026ac535f2,1202,0.3878889,2103.1618147958116,2012.4286781134194,4161.836570765785,0.10717467914533561,-6.1048255
7,865,0.29803616,1531.3521090999243,1603.5809002323974,3063.109198536961,0.1154950590349076,-2.3618119
8,350,0.5120538,2321.915060388332,2419.2260997307576,4869.6530777887,0.10320357771109272,2.4593108
9,1160,0.40974143,2458.19724634648,2499.0469154235334,5128.139438713175,0.11769460266382159,0.45473966
平均值,1150.72,0.3862717268000001,2299.841055706222,2154.158362093611,4515.352684611943,0.12607828920993286,-2.4887886388
