视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,285,0.26241043,1405.2471192919904,2035.3094799855826,3036.109089401533,0.039069080609838276,-9.538581
10,590,0.32236576,1762.1574046453457,1965.1971538617101,3579.1540345149256,0.09806922419154229,-6.156951
11,535,0.33287746,1703.8251194322581,2074.95006186853,3640.773226789419,0.08631758947095436,-5.575414
12,694,0.31787184,1875.9443406491419,2202.046167509858,3945.643772610434,0.09504935619763899,-7.316326
13,379,0.3787497,1440.9768517352823,2297.880151113496,3347.2721904914292,0.05171781083036509,1.1590611
14,1005,0.31955048,1968.141397303258,2023.6344170756631,4012.638993696733,0.10214154132000812,-4.9302664
15,921,0.32736722,1938.5167402851896,2128.9379627635867,4325.506151948381,0.08729203567813765,-0.3731988
16,153,0.3265377,1027.5313431143923,1602.9445396312833,2114.3661499023438,0.04135301378038195,-3.3079696
17,169,0.4131965,1707.5001288953852,2272.7179920890417,3879.242498224432,0.05400580864448052,1.1778878
18,460,0.21511656,572.2505025778954,668.877209600322,891.5730901632586,0.040149859828496046,-6.8601694
19,157,0.50355124,2099.8478228723134,2499.2280899353213,4856.871825400092,0.0940777504280822,-8.531479
2,142,0.32684207,1143.7953527962084,1723.7017926284902,2422.013619019813,0.0474755985220683,-1.6820223
20,257,0.37942106,1440.9988406257687,2338.4395974506156,3316.629944792473,0.0502872998500387,1.5959592
21,442,0.39188582,1781.011572677163,2136.122580666111,4063.6407104060845,0.07339531457045052,-3.8496192
3,210,0.29934064,1321.6500005761313,1732.6436861942068,2704.1590041257023,0.04907171699438202,-8.020122
4,598,0.26572755,2139.6965058257806,2344.3006573617877,4450.7747816890615,0.10896076675401427,-11.342452
41a232de7c00a6b4d7630132557cbdfe,442,0.3555253,1580.9176808939278,2056.6904562145232,3774.727174741196,0.05623322005611455,-10.470136
5,563,0.34827688,1737.0008441353136,2086.7110845234793,3758.29394077738,0.08590008526025542,-3.8884902
6,416,0.26990357,2135.1578967992186,2391.9066760750816,4485.057101911069,0.10033019368331716,-11.002134
7,585,0.36735582,2257.7618926653277,2461.8449141073825,4918.984943546661,0.10251453695776255,-4.652095
8,453,0.26219636,1250.8214715965005,1870.8613692138097,2645.55372551306,0.03680120602345416,-7.668454
8b2fb50cca131478e21c194debf1ee3c,384,0.37526646,2288.010310280536,2461.551373650835,5122.135992229465,0.11186842547000896,-11.189827
9,266,0.32497266,1097.1072527164768,1635.8392343558119,2260.282144201807,0.04525467943201377,-2.937094
c38f7fb1a5e5ff873f66cfd87590483b,210,0.2828549,1234.685890385474,1600.33977562196,2547.2723747702207,0.044966873468137256,-10.9766245
平均值,429.8333333333333,0.3320484991666667,1621.2730951156782,2025.5281843124367,3504.1115200361237,0.07092929116758095,-5.680688220833335
