视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,788,0.27968636,1147.5575534767363,1550.9671449353534,2102.7260384908536,0.05498990278275945,-4.5585675
10,989,0.3405351,1776.390722851625,1986.870034905259,3535.997006487803,0.09738332131227148,-1.7461823
11,583,0.2906054,1059.9489063914011,1447.8989088576354,2079.3138675765686,0.04776129855577689,-5.6204476
12,921,0.31077713,2154.6514837402037,1983.6978810670812,4021.2836092560933,0.1274058547151378,-3.264066
13,0,0.36081788,1297.2903602451454,1845.4750990712805,2554.4888721442285,0.06640451079697239,-3.7957335
14,577,0.28036866,1682.054902861524,1978.9359924207363,3359.4352877869896,0.07872675935807996,-3.170751
15,0,0.4493534,2764.0046570189625,2825.3089581343393,6146.605019820364,0.09506064967105263,2.190662
16,0,0.3295608,1940.8912961768065,1879.372978034301,3707.9358064675635,0.12205615653072682,-1.3857311
17,431,0.36163563,1681.1989051887283,2206.7223201622814,3686.5336228620367,0.06741419650778785,-1.7618144
18,638,0.30806634,1660.2683430673758,2127.4181193913582,3518.335877573678,0.06317791651947921,-2.4267633
19,0,0.34094882,1738.2281766336482,2269.6632107267415,3818.192005269536,0.06880481449520172,-2.7909243
2,0,0.3269587,1148.4404162823635,1645.5269497554234,2227.350273283103,0.0529101948493083,-7.2511806
20,0,0.35390982,1509.6251381751695,1960.8330071448622,3138.115830308809,0.06401333012084427,-1.72013
20ad68bd15aeea087b68c264c9823353,521,0.2941691,1354.5630877959309,1784.1568811932793,2729.919368257276,0.05551052178579394,-4.147835
21,0,0.3534056,2034.2765824957041,2308.8427109739687,4262.597713026889,0.09005700399709303,-1.7402447
22,721,0.32496366,1843.530192656937,2197.985114561025,3988.7656175453244,0.06718236455682781,-2.7435968
3,689,0.28371292,1210.9018234869552,1692.800354001663,2408.6253607451026,0.0596233513422471,-5.07023
3aee17a43d86b92af30ffcf63bfd7226,317,0.39619124,2353.7572867531403,2383.577624380047,5046.935259650735,0.08909007352941177,0.7307194
4,967,0.31808,1869.057544726564,1860.0799249646777,3596.9118057196674,0.11739276057884787,-1.9012215
5,1408,0.28059387,1254.1480132349293,1427.7557640991463,2474.890568401584,0.06501143479862476,-3.3807704
6,241,0.3111063,1701.9735869819115,1953.327275233408,3550.5907438039876,0.08830259391321817,-3.3462472
7,666,0.36855048,1331.3827258033573,1878.4587916660985,2773.416162152855,0.047822648249666075,-2.0257607
8,237,0.34291402,1881.2350193985367,2261.654319192731,4194.294945043224,0.08414239977338854,0.06496182
9,989,0.31432,1380.0679933519275,1547.9011666767067,2650.482720751779,0.07135837565490312,-1.2343955
a011e044047c0bb268a8cb705216c97e,0,0.291947,1697.9516635487375,1876.9700760668768,3495.936484232436,0.08847810694190998,-5.5818024
平均值,467.32,0.32852712919999993,1658.9358552937729,1955.2880243046511,3402.7871946663386,0.07720322165349323,-2.7071221032
