视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,2497,0.34006405,2331.3262168913916,2176.3104773744194,4622.818647540984,0.13010566086065573,-9.165318
10,2212,0.23605509,2232.385332849431,2293.9653780656204,4343.667738303917,0.11870032186895552,-15.732921
11,408,0.36868903,2048.8385248478885,2542.6209461818726,4609.173049771463,0.07051809210526316,-8.119546
12,542,0.35985604,2883.801919137179,2470.8180903235298,5523.089988540024,0.1654476872324245,-15.96945
13,2719,0.31597957,1573.308221990281,1860.1426636477497,3117.6398928144663,0.0836539697785576,-8.787629
14,745,0.40724272,3496.711645684322,2697.4030018580447,6470.862867032714,0.20255719360819663,-18.633327
15,0,0.34579062,1550.5520762873314,1980.0410083299364,3181.6907034151436,0.06879840818021891,-9.759912
16,783,0.3723197,3147.7245187109747,2677.209459945311,6088.8849233101455,0.17100531968778945,-16.995579
17,438,0.44184947,3934.0387802008686,2593.893022971068,6747.930834784734,0.2852329966920609,-16.07548
18,1951,0.4590005,5010.433036762676,2529.015224225211,7790.1901849027045,0.4021176461494063,-26.633394
19,1263,0.45677805,2897.605976817204,2452.5948846632823,5649.4048770111385,0.1771639077970297,-7.9479117
2,521,0.4275652,2978.933774846894,2602.4436748554663,5788.8949239259055,0.15712852299997349,-17.032295
20,0,0.30324146,1721.2180435705668,2184.5301010804683,3522.1586048003082,0.05950828162964249,-15.12114
21,2367,0.37929252,3837.640872195004,2723.879102636709,6833.67977142334,0.2501052379608154,-18.637209
22,1069,0.3241767,2884.8575020092735,2440.660297798395,5450.922437558447,0.16774388897547798,-20.356245
3,2304,0.47370243,2831.9840873829357,2589.2140943849695,5532.115863120719,0.14344741921930493,-16.83165
4,325,0.3415026,1093.5569069123396,1422.6123949057187,2161.4192683089377,0.052270895938348196,-8.651967
5,1034,0.3795122,3658.85915926949,2757.786320123146,6776.711229649885,0.22712910172099,-22.638477
6,3834,0.27006844,2396.762722526113,2245.356353193871,4509.36749567751,0.12392715982183515,-16.37869
7,1326,0.4298188,4015.961778887817,2754.664394517766,7167.731117435503,0.26942663633543584,-21.376379
8,1016,0.36941987,2098.995280227256,2272.2415941098698,4408.434561751526,0.10119162638932373,-10.006465
9,1112,0.32275358,2852.2364460846165,2339.2394771549284,5236.928196957237,0.16782080187786838,-17.158386
平均值,11.5,1293.909090909091,0.3693035745454545,2794.4424010950843,2391.210998288516,5251.53259900167,0.16340912621952605
