视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,869,0.45571783,2173.245422509863,2445.35107181299,4716.892390839041,0.08878157106164383,4.3795013
10,626,0.32199067,914.7989881065603,1694.2973931150732,1549.6429443359375,0.034233940972222224,0.62025565
11,392,0.35021546,1004.4477344881794,1523.2524561779294,1970.2599747062663,0.031075340649477808,2.5310338
12,1080,0.33880594,1992.7155137187806,2311.8274275784074,4371.599977625298,0.07336687984785203,2.115838
13,857,0.32440472,1292.3158809791453,1857.4273847960706,2734.537850588643,0.046043163521468145,-1.4557774
14,339,0.3743906,2000.76651588073,2302.2529959570147,4425.7687590843025,0.07164107921511628,1.5069598
15,826,0.22304538,1035.9393888366549,1169.6830047866954,1957.5945073908026,0.057389692826704544,-2.204682
16,1134,0.3166335,2102.1246126804,2351.7185581544377,4596.436638006285,0.07936479792248603,4.6667614
17,889,0.48585072,2258.574836961636,2654.254060063598,5155.357167418574,0.08017784441021127,2.9745035
18,595,0.33272162,1458.075276551454,2096.597020868523,3191.1740186737807,0.05036971756436314,5.806818
19,1134,0.31812233,2064.1399403305554,2331.0292749538903,4506.117921834204,0.077870022845953,4.9653325
2,333,0.2259647,1291.983166004262,1571.1466993908962,2516.183884079392,0.05672220515970516,2.16943
20,1134,0.31741032,2106.3088405462145,2355.327623066592,4607.195615096831,0.0795045664612676,4.6310024
3,1444,0.24878271,2152.068677492254,2186.200870362293,4392.210812240201,0.10542931635985749,-2.4884088
4,229,0.58439505,1339.4918871932398,1787.296692697276,2945.320468981825,0.04944246105341246,-9.007217
441bee6c186e8605b622e0cce20fed64,526,0.29350188,1669.737723263814,1837.310595271216,3642.4973846360567,0.06620829814189189,-1.2069453
5,734,0.32368085,2294.2647216838204,2007.14063818207,3889.385426372563,0.15648854106938073,-17.951473
5fd6aca9ec4789b7302f82c47995f0aa,526,0.30078283,1848.1015510436703,1998.9062144050874,4044.6061869723267,0.07409782481238274,1.2669697
6,625,0.37100115,2138.4355406449085,2301.443493821429,4683.042026573504,0.10132752897593897,-11.637038
7,848,0.3243551,1983.135490267332,2301.365680896435,4355.81424778423,0.07185733114303179,2.4554691
7e64477ad993df81447385927604546e,2812,0.31291157,1625.2042532412145,1836.6814484327165,3282.052900206368,0.06808375712460692,-2.682
8,1201,0.42877528,3334.2451958725946,3203.0026493934433,7450.303842679336,0.12617103854389722,0.7542572
9,1155,0.42991444,3339.9972524921272,3221.5213891896965,7477.113504352455,0.1241085686998998,0.5643824
c8ef1cc9d4bb4c4b1ac440b505410638,737,0.36040515,1407.3108526832027,1658.822334416198,2811.9685772630255,0.061723538747810856,-10.472473
平均值,876.875,0.348490825,1867.809552644692,2125.160707407915,3969.711542822552,0.07631162613044092,-0.7373958229166667
