视频,过零点数量,色度频率,谱质心,谱宽度,谱滚降,过零率,梅尔频率倒谱系数
1,344,0.2460741,1242.4740725849401,1617.7045867866264,2292.128935085507,0.05835268516240157,-8.057328
10,636,0.40194857,1219.8352178076473,1671.211214077518,2539.186412883255,0.05416609634714735,-6.8651595
11,149,0.29014954,1376.7946173412602,1814.2972268206179,2882.9487493418605,0.05892491663569541,-9.8048725
12,169,0.39214087,905.9688706830896,1350.6246358207475,1946.3576964861807,0.03479492939859399,-6.808694
13,331,0.31467837,1056.5229540494731,1320.9460891945457,2083.0255126953125,0.054679749503968256,-9.9882555
14,919,0.43207064,1040.2715769789227,1404.338875248309,2022.9730699522695,0.052273392471181554,-1.7726727
15,173,0.34243512,1283.385914228286,1687.374569575841,2601.8184772019267,0.05262606762690822,-9.039075
16,971,0.39540097,1965.2274430926989,2233.916898260534,4015.218448229614,0.07112141228540772,-2.9334528
17,301,0.37144953,1552.4393452264494,1992.8754537456884,3502.648563708289,0.0544532609620914,-11.343153
18,397,0.39357933,1698.4727546773934,2040.589328126731,3670.436494888798,0.06490616336945565,-5.143145
19,875,0.3591932,1411.08110080879,1662.4311391960875,2925.845739976415,0.0697461288465858,-9.202082
2,605,0.3144067,2468.499396063751,2410.608761776764,5049.770958600986,0.12209511316103974,-11.666681
20,154,0.31906995,1636.0310662055647,1818.1363995128233,3184.6666309931506,0.08610259618259404,-14.03463
21,2130,0.3300072,1359.458469905084,1646.02693905388,2706.4591899671054,0.06538965934011164,-10.836265
3,300,0.33350492,1480.420005000228,1860.9327477629888,3259.709239455889,0.05626548911040684,-5.6058006
4,344,0.2460741,1242.4740725849401,1617.7045867866264,2292.128935085507,0.05835268516240157,-8.057328
5,174,0.36606422,1727.094480700719,1997.8629676504563,3643.008441574003,0.08292835052066516,-10.045944
6,1100,0.39657688,1918.0445174237589,2219.764564042259,3933.0997943194047,0.06925817678443329,-2.8321786
7,194,0.31743658,1508.007172841741,1802.1191817454164,3214.302416491019,0.07247993417033236,-9.274481
8,488,0.27960855,1282.295075980236,1578.2544028896414,2433.1339380994414,0.06487374951693367,-12.375511
9,249,0.33206335,1301.1837336116178,1696.5985740282727,2736.9373845597047,0.059424712127263045,-6.73016
平均值,11.0,523.952380952381,0.34161584238095244,1460.7610408474568,1783.0628162905891,2996.943096647412,0.06491501279455325
